substrate,coupling_partner,Solvent,Time,temperature,catalyst_precursor,reagent,effective_reagents,effective_reagents_covalent,ligand,effective_ligand,PRODUCT,isolated_yield,couplingpartner_class,DOI,origin,eq_substrate,eq_coupling_partner,eq_catalyst,eq_ligand,eq_reagent,2_steps,scheme_table,review,Mechanism,reaction_condition,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CN(C=O)C,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,30,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,COC,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC1=CC=CC=C1,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,78,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCCC1,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC#N,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,50,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,C1COCCO1,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,98,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,82,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC(C)(O)C,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,36,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,O=C([O-])[O-].[K+].[K+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,70,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-2].[Na+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,35,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,O=C([O-])[O-].[Cs+].[Cs+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,75,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,CC(C)(C)[O-].[Na+],,,N[C@H]1[C@H](N)CCCC1,,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,30,Acetophenone,https://doi.org/10.1002/slct.201600894,optimization,1.2,1,0.2,0.6,2,,table.1,Research_Article,sonogashira,N2,
