substrate,coupling partner,Solvent,Time,temperature,catalyst_precursor,reagent,effective_reagents,effective_reagents_covalent,ligand,effective_ligand,PRODUCT,isolated_yield,couplingpartner_class,DOI,origin,eq_substrate,eq_coupling_partner,eq_catalyst,eq_ligand,eq_reagent,2_steps,scheme_table,review,Mechanism,reaction_condition,eq_TBAB
SC1=CC=CC=C1,IC1=CC=C(C)C=C1.O=[C],COC,20,80,[Zn],O=[C]OO[K].[K],,,O=C(O)C1NCCC1,,CC1=CC=C(SC2=CC=CC=C2)C=C1.O=[C],0,,doi.org/10.1039/C5RA03869C,Optimization,2.2,2,0.1,0.2,2,,table1,article,Ullmann,N2,
SC1=CC=CC=C1,IC1=CC=C(C)C=C1.O=[C],COC,20,80,[Zn],O=[C]OO[K].[K],,,O=C(O)C1NCCC1,,CC1=CC=C(SC2=CC=CC=C2)C=C1.O=[C],0,,doi.org/10.1039/C5RA03869C,Optimization,2.2,2,0.1,0.2,2,,table1,article,Ullmann,N2,
SC1=CC=CC=C1,IC1=CC=C(C)C=C1.O=[C],COC,20,80,O=C(O[Zn]OC(C)=O)C,O=[C]OO[K].[K],,,O=C(O)C1NCCC1,,CC1=CC=C(SC2=CC=CC=C2)C=C1.O=[C],0,,doi.org/10.1039/C5RA03869C,Optimization,2.2,2,0.1,0.2,2,,table1,article,Ullmann,N2,
SC1=CC=CC=C1,IC1=CC=C(C)C=C1.O=[C],COC,20,80,CC[Zn]CC,O=[C]OO[K].[K],,,O=C(O)C1NCCC1,,CC1=CC=C(SC2=CC=CC=C2)C=C1.O=[C],54,,doi.org/10.1039/C5RA03869C,Optimization,2.2,2,0.1,0.2,2,,table1,article,Ullmann,N2,
SC1=CC=CC=C1,IC1=CC=C(C)C=C1.O=[C],COC,20,80,CC[Zn]CC,O=[C]OO[K].[K],,,O=C(O)C1NCCC1,,CC1=CC=C(SC2=CC=CC=C2)C=C1.O=[C],54,,doi.org/10.1039/C5RA03869C,Optimization,2.2,2,0.1,0.2,2,,table2,article,Ullmann,N2,
SC1=CC=CC=C1,IC1=CC=C(C)C=C1.O=[C],COC,20,80,CC[Zn]CC,O=[C]OO[K].[K],,,O=C(O)C1NCCC1,,CC1=CC=C(SC2=CC=CC=C2)C=C1.O=[C],53,,doi.org/10.1039/C5RA03869C,Optimization,2.2,2,0.08,0.16,2,,table2,article,Ullmann,N2,
SC1=CC=CC=C1,IC1=CC=C(C)C=C1.O=[C],COC,20,80,CC[Zn]CC,O=[C]OO[K].[K],,,O=C(O)C1NCCC1,,CC1=CC=C(SC2=CC=CC=C2)C=C1.O=[C],35,,doi.org/10.1039/C5RA03869C,Optimization,2.2,2,0.06,0.12,2,,table2,article,Ullmann,N2,
SC1=CC=CC=C1,IC1=CC=C(C)C=C1.O=[C],COC,20,80,CC[Zn]CC,O=[C]OO[K].[K],,,O=C(O)C1NCCC1,,CC1=CC=C(SC2=CC=CC=C2)C=C1.O=[C],19,,doi.org/10.1039/C5RA03869C,Optimization,2.2,2,0.04,0.08,2,,table2,article,Ullmann,N2,
SC1=CC=CC=C1,IC1=CC=C(C)C=C1.O=[C],COC,20,80,CC[Zn]CC,O=[C]OO[K].[K],,,O=C(O)C1NCCC1,,CC1=CC=C(SC2=CC=CC=C2)C=C1.O=[C],10,,doi.org/10.1039/C5RA03869C,Optimization,2.2,2,0.02,0.04,2,,table2,article,Ullmann,N2,
SC1=CC=CC=C1,IC1=CC=C(C)C=C1.O=[C],COC,20,80,CC[Zn]CC,O=[C]OO[K].[K],,,O=C(O)C1NCCC1,,CC1=CC=C(SC2=CC=CC=C2)C=C1.O=[C],54,,doi.org/10.1039/C5RA03869C,Optimization,2.2,2,0.08,0.16,2,,table3,article,Ullmann,N2,
