,PRODUCT
O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,107
O=[N+](C(C=C1)=CC=C1OC2=CC=CC=C2)[O-],76
O=C(C)C1=CC=C(OC2=CC=CC=C2)C=C1,65
CC1=CC=C(C#CC2=CC=CC=C2)C=C1,63
C1(C#CC2=CC=CC=C2)=CC=CC=C1,59
CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,44
COC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,34
COC2=CC=C(C=C2)C#CC1=CC=CC=C1,28
COC(C=C1)=CC=C1SC2=CC=CC=C2,27
O=C(C)C1=CC=C(SC2=CC=CC=C2)C=C1,26
C1(OC2=CC=CC=C2)=CC=CC=C1,24
COC1=CC=C(C=C1)C2=CC=CC=C2,20
C1(C2=CC=CC=C2)=CC=CC=N1,19
COC(C=C1)=CC=C1OC2=CC=CC=C2,10
CC2=CC=C(C=C2)C#CC1=CC=C(OC)C=C1,7
C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,6
C1(C#CC2=CC=CC=C2)=CC=CN=C1,6
COC(C=C1)=CC=C1C2=CC=CC=C2,5
O=[N+](C(C=C1)=CC=C1C#CC2=CC=CC=C2)[O-],5
ClC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2,5
CC1=CC=C(OC2=CC=CC=C2)C=C1,4
O=[N+](C1=CC=C(OC2=CC=C(C=CC=C3)C3=C2)C=C1)[O-],4
CC1=CC(C)=CC(C#CC2=CC=CC=C2)=C1,4
CC(C=C1)=CC=C1OC2=CC=C([N+]([O-])=O)C=C2,4
COC(C=C1)=CC=C1C#CC#CC2=CC=CC=N2,4
CC(C=C1)=CC=C1C#CC#CC2=CC=C(OC)C=C2,4
C1(C#CC#CC2=CC=CC=C2)=CC=CC=N1,4
CC1=CC=C(OC2=CC=CC=C2)C=C1OC,4
COC1=CC=C(C#CC2=CC=CC=C2)C=C1,4
CC(C1=CC=C(SCC2=CC=CC=C2)C=C1)=O,4
CC1=CC=C(C#CC2=CC=C(C=O)C=C2)C=C1,4
COC1=CC=CC=C1OC2=CC=CC=C2,4
ClC(C=C2)=CC=C2C#CC1=CC=C(OC)C=C1,4
N#CC1=CC=C(OC2=CC=C(OC)C=C2)C=C1,3
CC(C=C2)=CC=C2C#CC1=CC=C(C)C=C1,3
[C-]#[N+]C2=CC=C(C=C2)C#CC1=CC=CC=C1,3
O=C(C)C1=CC=C(OC2=CC=C(C)C=C2)C=C1,3
COC1=CC=C(C#CC2=CN=CC=C2)C=C1,3
COC1=C(SC2=CC=CC=C2)C=CC=C1,3
CC1=CC(OC2=CC=CC=C2)=CC=C1,3
FC(C1=C(C2=CC=CC=C2)N=CC=C1)(F)F,3
O=CC1=CC=C(SC2=CC=CC=C2)C=C1,3
N#CC1=CC=C(OC2=CC=CC=C2)C=C1,3
COC(C=C1)=CC=C1C2=CC=CC=N2,2
[C-]#[N+]C1=CC=C(SC2=CC=CC=C2)C=C1,2
CC(C1=CC=C(OC2=CC=CC=C2)C=C1)(C)C,2
CC1=CC=CC=C1OC2=CC=C(C#N)C=C2,2
