,coupling_partner
IC1=CC=C(C(C)=O)C=C1,210
BrC#CC1=CC=CC=C1,111
IC1=CC=C([N+]([O-])=O)C=C1,108
IC1=CC=CC=C1,93
IC1=CC=C(OC)C=C1,66
BrC#CC1=CC=C(C)C=C1,62
IC1=CC=C(C)C=C1,38
ClC1=CC=CC=N1,25
BrC(C=C1)=CC=C1OC,23
IC1=CC=C(C#N)C=C1,21
BrC#CC1=CC=C(OC)C=C1,15
BrC1=CC=CC=C1,8
CC1=CC=CC=C1Br,8
BrC1=CC=C(C(C)=O)C=C1,8
CC1=CC=C(Br)C=C1,7
N#CC1=CC=C(I)C=C1,7
IC1=CN=CC=C1,6
IC1=CC=CC=C1OC,6
CC1=C(I)C=CC=C1,5
BrC#CC1=CC=CC=N1,5
IC1=CC=CC(C(F)(F)F)=C1,5
IC1=CC(C)=CC(C)=C1,5
IC1=CC=C(Cl)C=C1,4
CC1=CC(I)=CC=C1,4
IC1=CC(Cl)=CC=C1,3
IC1=CC=C(F)C=C1,3
ClC1=CC=CC=C1,3
IC1=CC=C(C(F)(F)F)C=C1,3
BrC1=CC=C(C#N)C=C1,3
BrC1=CC=C(C(F)(F)F)C=C1,3
ClC1=CC=C(C(C)=O)C=C1,3
IC1=CC=C(N)C=C1,3
BrC1=CC=C([N+]([O-])=O)C=C1,3
BrC#CC1=CC=NC=C1,3
CC1=C(I)C=CC([N+]([O-])=O)=C1,2
IC1=CC=C(C(C)C)C=C1,2
IC1=CC=C(C=C1)OC,2
IC1=CC=CC2=C1C=CC=C2,2
BrC1=CC=CC=C1OC,2
IC1=CC(OC)=CC=C1,2
IC1=CC=C(Br)C=C1,2
CC(C1=CC=CC(Br)=C1)=O,2
ClC1=CC=C2C(N=CC=C2C)=C1,2
IC1=CC=C(C(OCC)=O)C=C1,2
IC1=CC=C(I)C=C1,2
IC1=CC=C(C=C1)NCC2=CC=CC=C2,1
BrC1=CC=C(Cl)C=C1,1
IC1=CC(F)=CC(F)=C1,1
CCCCCCC#CBr,1
CCCCC#CBr,1
ClC1=CC=C([N+]([O-])=O)C=C1,1
IC1=CC=C(C2=CC=CC=C2)C=C1,1
BrC1=CC2=CC=CC=C2C=C1,1
ClC1=NC2=CC=CC=C2C=C1,1
IC1=CC=CC(F)=C1,1
BrC1=CC=C(F)C=C1,1
IC1=CC=CC=N1,1
CC1=C(I)C=CC=C1C,1
IC1=C(C(OC)=O)C=CC=C1,1
FC(C=C1)=CC=C1OC2=CC=CC=C2,1
IC1=C(OC)C=CC=C1,1
ClC1=C(I)C=CC=C1,1
BrC1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,1
IC1=CC=C(C=C1C#N)C,1
BrC1=CC=C(C=C1)C(C)(C)C,1
BrC1=CC=CC(C)=C1,1
BrC1=CC=C(C=C1)Cl,1
BrC1=CC=CC(C(O)=O)=C1,1
BrC1=CC=C(C=C1)[N+]([O-])=O,1
BrC1=CC=C(C=C1)C2=CC=CC=C2,1
IC1=CC=CC([N+]([O-])=O)=C1,1
IC1=CC=CC=C1I,1
BrC1=CC(C(F)(F)F)=CC=C1,1
BrC1=CC2=C(C=C1)N=CC=C2,1
BrC1=C(C(F)(F)F)C=CC=N1,1
ClC1=CC=C(Br)C=N1,1
ClC1=CC=C(Cl)C=N1,1
BrC1=COC=C1,1
BrC1=CC=CS1,1
BrC1=CC=CC2=C1N=CC=C2,1
BrC1=CC2=C(C=CC=C2)N=C1,1
BrC(C=C1)=CC=C1C2=CC=CC=C2,1
BrC1=CN(C)C=N1,1
BrC1=CN=CN=C1,1
BrC1=CC=C(OC)N=C1,1
BrC1=CC=CN=C1,1
ClC1=CC=CN=C1,1
ClC1=NC=CN=C1,1
BrC1=CC(C(F)(F)F)=CC=N1,1
O=S(OC1=CC=CC=C1)(C(F)(F)F)=O,1
CC1=CC=C(S(OC2=CC=CC=C2)(=O)=O)C=C1,1
ClC1=CC=C(C(F)(F)F)C=C1,1
ClC1=CC=C(C(OC)=O)C=N1,1
BrC1=CC(C)=CC=N1,1
IC1=CC=CC=C1O,1
BrC1=CC([N+]([O-])=O)=CC=C1,1
BrC1=CC=CC(OC)=N1,1
ClC1=CC=CC(C)=N1,1
ClC1=C(Br)C=CC=N1,1
BrC1=CC=CC=N1,1
IC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,1
IC1=CC=NC(Cl)C1,1
IC1=CN=CC=N1,1
BrC1=CC=CC=C1I,1
ClC1=NC(C)=CC=N1,1
CC1=CSC=C1,1
