,isolated_yield
0,85
1,57
75,26
78,24
83,21
80,20
70,20
90,20
85,20
50,16
86,16
31,15
65,15
96,15
95,14
74,14
99,14
72,12
94,12
92,12
45,12
35,12
98,12
43,11
76,11
34,11
63,11
60,11
81,11
77,11
73,11
53,11
52,11
66,10
49,10
82,10
88,10
54,9
25,9
93,9
89,9
84,9
97,9
20,9
51,8
91,8
33,8
58,8
36,8
69,8
10,7
29,7
71,7
44,7
46,7
56,7
23,7
48,7
67,7
64,7
18,6
40,6
61,6
41,6
30,6
42,6
62,6
47,6
38,6
55,6
17,5
11,5
87,5
26,5
8,5
12,5
39,5
28,5
27,4
37,4
24,4
79,4
68,3
7,3
59,3
21,3
14,3
15,2
4,2
9,2
32,2
19,2
2,1
5,1
57,1
16,1
6,1
22,1
13,1
