,reagent
O=C([O-])[O-].[Cs+].[Cs+],250
[O-]P([O-])([O-])=O.[K+].[K+].[K+],163
O=C([O-])[O-].[K+].[K+],143
C[O-].[K+],62
C(=O)([O-])[O-].[K+].[K+]  ,45
C(=O)([O-])[O-].[K+].[K+] ,35
[OH-].[Na+]  ,32
C(=O)([O-])[O-].[Cs+].[Cs+]  ,29
 CC(C)(C)[O-].[Na+]  ,27
C[Si](C)(C)N([Li])[Si](C)(C)C,26
C(=O)([O-])[O-].[Cs+].[Cs+] ,22
[OH-].[K+],18
[Cs]F,17
[OH-].[K+]  ,14
CC(C)(C)[O-].[K+],11
CCN(CC)CC,11
CC(C)(C)[O-].[Na+],6
[OH-].[Na+],5
[K+].[I-]  ,4
[2H-].[Na+],3
O=P(OO[K])=O.[K][K],3
CC(C)([O-])C.[K+],3
 ,2
C(=O)([O-])[O-].[Na+].[Na+]  ,2
 [H-].[Na+] ,2
C(=O)([O-])[O-].[Na+].[Na+],2
C(=O)(O)[O-].[Na+],1
C(=O)([O-])[O-].[Na+].[Na+].[O],1
 CC(C)(C)[O-].[K+] ,1
 [O-]P(=O)([O-])[O-].[K+].[K+].[K+] ,1
[O-2].[Na+],1
 CC(C)(C)[O-].[Na+]  ,1
[F-].[K+],1
[K]OC(C)(C)C,1
[Na]OC(C)(C)C,1
[Li]OC(C)(C)C,1
C1CN2CCN1CC2,1
 [O-]P(=O)([O-])[O-].[K+].[K+].[K+]  ,1
[K]O,1
[OH-].[Na+]  ,1
CC(C)(C)[O-].[Na+]  ,1
[2H-].[Na+]  ,1
C(=O)([O-])[O-].[Na+].[Na+]  ,1
CC[O-].[K+],1
CC(C)([O-])C.[Na+],1
C1CN2CCN1CC2 ,1
 C(=O)(O)[O-].[Na+] ,1
[O-]P(=O)([O-])[O-].[K+].[K+].[K+] ,1
[OH-][K+],1
C(=O)([O-])[O-].[Cs+].[Cs+]  ,1
