,substrate_class
aryl acetylene,243
phenol,190
phenyl boronic acid,94
benzenethiol,78
ethynylmethylbenzene,65
borinane,62
ethynylmethoxybenzene,40
benzene,29
cresol,19
methoxyphenol,18
silane,15
pyridine,14
Ibenzene,13
naphthol,9
alkyl phenol,8
alkynone,7
CbenzeneO,7
phenyl aniline,6
benzonitrile,5
halobenzene,5
alkyne,5
SCbenzene,5
benzyl thiol,5
boronic acid,3
oxane,2
CCO[Si](benzene)(OCC)OCC,2
nitrophenol,2
phenolCl,2
[H]ethynylmethoxybenzene,2
thiophenol,1
ether,1
B(benzene)(O)O,1
CC/C([B@@]2phenolO2)=C\CC,1
biphenyl,1
acetophenone,1
halo phenol,1
miscellaneous,1
