,substrate,coupling_partner,Solvent,Time,temperature,catalyst_precursor,reagent,ligand,PRODUCT,isolated_yield,DOI,origin,eq_substrate,eq_coupling_partner,eq_catalyst,eq_ligand,eq_reagent,scheme_table,review,Mechanism,substrate_class,coupling_partner_class,reaction_condition,Unnamed: 23
0,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CN(C=O)C,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,30,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
1,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,COC,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
2,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC1=CC=CC=C1,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,78,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
3,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCCC1,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
4,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC#N,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,50,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
5,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,C1COCCO1,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,98,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
6,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,82,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
7,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC(C)(O)C,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,36,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
8,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,O=C([O-])[O-].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,70,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
9,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-2].[Na+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,35,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
