FileName,number_of_atoms,charge,multiplicity,dipole,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,homo_energy,lumo_energy,electronegativity,hardness
C#CC1=CC=CC=C1,14,0,1,0.7219,1151.001,952.6726,-308.4147732,0.109437,0.115891,0.116836,0.079014,-308.305388,-308.298934,-308.297989,-308.335811,-0.24264,-0.04485,0.143745,0.098895
COC1=CC=C(C#C)C=C1,17,0,2,7.5216,1422.119,1680.7343,-422.237191,0.129033,0.137671,0.138616,0.094342,-422.108158,-422.09952,-422.098575,-422.142849,0,0,0,0
CC1=CC=C(C#C)C=C1,16,0,2,7.85,1150.693,1306.8935,-347.0324292,0.124535,0.133066,0.134011,0.089102,-346.907894,-346.899363,-346.898419,-346.943327,0,0,0,0
OB(C1=CC=C(C=O)C=C1)O,18,0,1,6.0415,993.095,2198.8875,-521.6258511,0.134031,0.143885,0.144829,0.098307,-521.49182,-521.481966,-521.481022,-521.527544,-0.26455,-0.08178,0.173165,0.091385
C#CC1=CN=CC=C1,12,0,2,7.4808,961.14,863.8135,-323.7307341,0.084496,0.090382,0.091326,0.053602,-323.651239,-323.645352,-323.644408,-323.682133,0,0,0,0
OB(C1=CC=CC=C1)O,16,0,1,2.3509,1038.807,1270.9691,-408.2930097,0.124702,0.13257,0.133515,0.091954,-408.168308,-408.160439,-408.159495,-408.201055,-0.25034,-0.03241,0.141375,0.108965
OB(O)C1=CC=C(OC)C=C1,20,0,1,2.0275,1121.094,2284.1812,-522.8254743,0.157403,0.167832,0.168776,0.121214,-522.668072,-522.657642,-522.656698,-522.70426,-0.22381,-0.02807,0.12594,0.09787
OB(O)C1=CC=C(Cl)C=C1,16,0,1,4.3251,1349.24,2192.1768,-867.8919696,0.115148,0.124203,0.125147,0.080225,-867.776821,-867.767767,-867.766823,-867.811745,-0.25055,-0.04273,0.14664,0.10391
ClC(C=C2)=CC=C2B1OCC(C)(C)CO1,29,0,1,5.3716,1937.532,8039.0501,-1063.246471,0.237378,0.251357,0.252302,0.195951,-1063.028829,-1063.014849,-1063.013905,-1063.070256,-0.24903,-0.03888,0.143955,0.105075
OB(O)C1=CC=C(C(C)=O)C=C1,21,0,1,5.4711,1511.18,2853.1331,-560.9500771,0.162312,0.173659,0.174603,0.12443,-560.789792,-560.778445,-560.777501,-560.827674,-0.25677,-0.07806,0.167415,0.089355
OB(O)C1=CC=CN=C1,15,0,1,4.1554,1085.111,1979.6131,-424.3284024,0.11298,0.120739,0.121683,0.08028,-424.21704,-424.209281,-424.208337,-424.24974,-0.25581,-0.0477,0.151755,0.104055
CC/C([B@@]2OC1=CC=CC=C1O2)=C\CC,30,0,1,0.4918,2160.204,4386.1892,-641.7519587,0.250437,0.264755,0.265699,0.207259,-641.503998,-641.48968,-641.488736,-641.547176,-0.2327,-0.03912,0.13591,0.09679
FC1=CC=C(B2OCC(C)(C)CO2)C=C1,29,0,1,4.9676,1546.278,7643.3786,-702.8923948,0.23866,0.252265,0.253209,0.198126,-702.672536,-702.658931,-702.657987,-702.713069,-0.24881,-0.03115,0.13998,0.10883
C#CC1=CC=CC=N1,13,0,1,2.4959,868.776,1815.7128,-324.4480265,0.097526,0.103848,0.104792,0.067155,-324.350908,-324.344586,-324.343642,-324.381279,-0.25514,-0.06014,0.15764,0.0975
C#CCC1CCCCC1,23,0,1,0.7863,1251.534,2352.6904,-351.3529433,0.20837,0.217558,0.218502,0.174311,-351.144723,-351.135536,-351.134592,-351.178783,-0.26779,-0.00069,0.13424,0.13355
C#CCOC,11,0,1,1.7773,697.833,1179.3791,-231.176442,0.089135,0.095218,0.096162,0.060183,-231.088619,-231.082536,-231.081592,-231.117571,-0.26838,-0.00153,0.134955,0.133425
FC1=CC=C(B(O)O)C=C1,19,0,1,2.4504,1285.892,2469.1775,-447.6100272,0.152686,0.162037,0.162981,0.118057,-447.458591,-447.44924,-447.448296,-447.49322,-0.23983,-0.03405,0.13694,0.10289
OB(O)C1=CC=CC=C1C,16,0,1,4.1259,1068.984,2415.6224,-867.8887118,0.115132,0.124184,0.125128,0.080188,-867.776459,-867.767407,-867.766463,-867.811403,-0.25295,-0.04793,0.15044,0.10251
OB(O)C1=CC=CC(Cl)=C1,16,0,1,4.2829,1150.43,2174.6085,-507.5351384,0.116411,0.125108,0.126053,0.08238,-507.420647,-507.411949,-507.411005,-507.454678,-0.25529,-0.03835,0.14682,0.10847
CC(C)C(B(O)O)\C=C/CC,28,0,1,1.9676,1680.554,2566.223,-490.5308856,0.24701,0.261064,0.262008,0.205887,-490.285358,-490.271304,-490.27036,-490.32648,-0.23331,-0.02587,0.12959,0.10372
OC1=CC=CC=C1,13,0,1,1.6719,776.277,864.8635,-307.4807858,0.103544,0.108723,0.109667,0.074723,-307.377777,-307.372599,-307.371655,-307.406598,-0.25105,-0.01976,0.135405,0.115645
OC1=CC=C(OC)C=C1,16,0,1,1.5272,989.748,1388.5854,-346.7892038,0.132525,0.138826,0.13977,0.102064,-346.657803,-346.651502,-346.650558,-346.688264,-0.24785,-0.01766,0.132755,0.115095
CC1=CC=CC=C1O,16,0,1,1.7945,1051.046,1273.5181,-346.8078513,0.132296,0.139479,0.140423,0.101292,-346.67605,-346.668868,-346.667924,-346.707055,-0.22821,-0.01317,0.12069,0.10752
OC1=CC=C(C)C=C1,16,0,1,1.8968,1090.871,1109.593,-346.8015508,0.130995,0.138065,0.139009,0.098581,-346.671105,-346.664035,-346.663091,-346.703519,-0.24012,-0.01815,0.129135,0.110985
OC1=CC=C(Cl)C=C1,13,0,1,2.212,827.25,1358.8855,-767.0764499,0.09399,0.100338,0.101282,0.062912,-766.984565,-766.978217,-766.977273,-767.015644,-0.25449,-0.03545,0.14497,0.10952
OC1=CC=CC=C1Cl,13,0,1,3.0559,1059.516,1082.3256,-767.0810748,0.095042,0.101725,0.10267,0.063843,-766.986033,-766.979349,-766.978405,-767.017231,-0.2389,-0.02942,0.13416,0.10474
OC1=CC=C(C=CC=C2)C2=C1,12,0,1,3.6847,740.264,643.0577,-323.5213721,0.092698,0.098132,0.099076,0.063725,-323.428674,-323.423241,-323.422296,-323.457647,-0.24702,-0.04003,0.143525,0.103495
OC1=CN=CC=C1,19,0,1,1.6331,1145.549,1713.3021,-461.140553,0.151223,0.159348,0.160293,0.118486,-460.98933,-460.981205,-460.98026,-461.022067,-0.21467,-0.04817,0.13142,0.08325
OC1=CC=C(C#N)C=C1,14,0,1,4.2624,1019.972,1307.5943,-399.7206798,0.103182,0.110471,0.111415,0.07142,-399.633131,-399.625843,-399.624898,-399.664894,-0.27913,-0.05935,0.16924,0.10989
OC1=CC=C([N+]([O-])=O)C=C1,15,0,1,5.6209,1179.984,1542.7403,-512.0037189,0.107246,0.115198,0.116142,0.073998,-511.896473,-511.888521,-511.887577,-511.929721,-0.26786,-0.10063,0.184245,0.083615
ClC1=CC=C(O)C=C1,13,0,1,2.0362,949.46,1274.8494,-767.078556,0.093982,0.100329,0.101273,0.062906,-766.984574,-766.978227,-766.977283,-767.01565,-0.25004,-0.03276,0.1414,0.10864
OC1=CC=CC(C)=C1,16,0,1,1.0822,1072.258,976.2596,-346.8081836,0.131854,0.13839,0.139335,0.101408,-346.67633,-346.669793,-346.668849,-346.706776,-0.2285,-0.0164,0.12245,0.10605
OC1=CC=CC2=C1C=CC=C2,19,0,1,1.2935,1232.807,1559.6273,-461.1415402,0.151724,0.159717,0.160661,0.119155,-460.989816,-460.981823,-460.980879,-461.022386,-0.21141,-0.04383,0.12762,0.08379
