si no.,Smiles
1,a
2,O=C(C)C1=CC=C(I)C=C1
3,IC1=CC=CC=C1O
4,BrC1=CC=C(C(C)=O)C=C1
5,IC1=CC=CC=C1
6,IC1=CC=C(OC)C=C1
7,IC1=CC=C(C)C=C1
8,IC1=CC=C(C(C)=O)C=C1
9,IC1=CN=CC=C1
10,IC1=CC=C([N+]#[C-])C=C1
11,IC1=CC=C(N)C=C1
12,BrC#CC1=CC=CC=C1
13,CC1=CC=C(C#CBr)C=C1
14,BrC#CC1=CC=C(OC)C=C1
15,BrC#CC1=CC=NC=C1
16,CCCCC#CBr
17,BrC#CC1=CC=C(C)C=C1
18,BrC#CC1=CC=CC=N1
19,C#CC1=CC=C(OC)C=C1
20,C#CC1=CC=CC=C1
21,C#CC1=CC=C(C)C=C1
22,CCCCCCC#C
23,C#CC1=CC=CC=N1
24,IC1=CC=C([N+]([O-])=O)C=C1
25,IC1=CC(C)=CC(C)=C1
26,IC1=CC=CC(C(F)(F)F)=C1
27,IC1=CC=CN=C1
28,BrC1=CC=C([N+]([O-])=O)C=C1
29,ClC1=CC=C([N+]([O-])=O)C=C1
30,CC1=C(I)C=CC([N+]([O-])=O)=C1
31,IC1=CC=C(C#N)C=C1
32,CC1=CC=C(I)C=C1
33,CC1=C(I)C=CC=C1
34,CC1=CC(I)=CC=C1
35,IC1=CC=C(C=C1)[N+]([O-])=O
,CC(C=C([N+]([O-])=O)C=C1)=C1OC2=CC=CC=C2
