si no.,Smiles
1,BrC#CC1=CC=C(C)C=C1
2,BrC#CC1=CC=C(OC)C=C1
3,BrC#CC1=CC=CC=C1
4,BrC#CC1=CC=CC=N1
5,BrC#CC1=CC=NC=C1
6,BrC1=CC=C([N+]([O-])=O)C=C1
7,BrC1=CC=C(C(C)=O)C=C1
8,IC1=CC=C(C(C)=O)C=C1
9,CC1=C(I)C=CC([N+]([O-])=O)=C1
10,CC1=C(I)C=CC=C1
11,CCCCC#CBr
12,ClC1=CC=C([N+]([O-])=O)C=C1
13,IC1=CC(C)=CC(C)=C1
14,IC1=CC=C([N+]([O-])=O)C=C1
15,IC1=CC=C(C#N)C=C1
16,IC1=CC=C(C)C=C1
17,IC1=CC=C(N)C=C1
18,IC1=CC=C(OC)C=C1
19,IC1=CC=CC(C(F)(F)F)=C1
20,IC1=CC=CC=C1
21,IC1=CC=CC=C1O
22,IC1=CN=CC=C1
23,CC1=CC(I)=CC=C1
24,CCCCCCC#CBr
