si no.,Smiles
1,BrC#CC1=CC=C(C)C=C1
2,BrC#CC1=CC=C(OC)C=C1
3,BrC#CC1=CC=CC=C1
4,BrC#CC1=CC=CC=N1
5,BrC#CC1=CC=NC=C1
6,BrC1=CC=C([N+]([O-])=O)C=C1
7,BrC1=CC=C(C(C)=O)C=C1
8,C#CC1=CC=C(C)C=C1
9,C#CC1=CC=C(OC)C=C1
10,C#CC1=CC=CC=C1
11,C#CC1=CC=CC=N1
12,CC(C=C([N+]([O-])=O)C=C1)=C1OC2=CC=CC=C2
13,CC1=C(I)C=CC([N+]([O-])=O)=C1
14,CC1=C(I)C=CC=C1
15,CC1=CC=C(C#CBr)C=C1
16,CCCCC#CBr
17,CCCCCCC#C
18,ClC1=CC=C([N+]([O-])=O)C=C1
19,IC1=CC(C)=CC(C)=C1
20,IC1=CC=C([N+]([O-])=O)C=C1
21,IC1=CC=C(C#N)C=C1
22,IC1=CC=C(C)C=C1
23,IC1=CC=C(N)C=C1
24,IC1=CC=C(OC)C=C1
25,IC1=CC=CC(C(F)(F)F)=C1
26,IC1=CC=CC=C1
27,IC1=CC=CC=C1O
28,IC1=CN=CC=C1
29,O=C(C)C1=CC=C(I)C=C1
30,CC1=CC(I)=CC=C1
