,FileName,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,homo_energy,lumo_energy,electronegativity,hardness
0,molecule_1.log,13,0,1,3.3973,,,590.6044,-323.737439977,0.10697,0.11343,0.114374,0.076725,-323.650498,-323.644037,-323.643093,-323.680742,C3H7NO2,-0.26538,-0.04119,0.153285,0.112095
1,molecule_10.log,20,0,1,0.0012,,,772.4546,-345.355660745,0.184069,0.190333,0.191277,0.154346,-345.171657,-345.165393,-345.164449,-345.201379,C6H12N2,-0.1911,0.00581,0.09264499999999999,0.098455
2,molecule_11.log,22,0,1,4.5595,,,1430.4518,-441.688433731,0.194441,0.204938,0.205883,0.158374,-441.522533,-441.512036,-441.511092,-441.558601,C6H13NO2,-0.27778,-0.03487,0.15632500000000002,0.12145500000000001
3,molecule_12.log,22,0,1,5.1664,,,1558.2961,-441.608395858,0.194647,0.204948,0.205892,0.158735,-441.524432,-441.514131,-441.513187,-441.560344,C6H13NO2,-0.27271,-0.03027,0.15149,0.12122000000000001
4,molecule_13.log,12,0,1,2.252,,,340.0885,-190.531974352,0.111372,0.116656,0.117601,0.083975,-190.420984,-190.4157,-190.414755,-190.448381,C2H8N2,-0.23399,-0.00023,0.11711,0.11688
5,molecule_14.log,20,0,1,2.6333,,,951.7762,-386.341212946,0.179762,0.187582,0.188526,0.148209,-386.161573,-386.153753,-386.152808,-386.193125,C6H12O2,-0.26874,-0.00717,0.137955,0.13078499999999998
6,molecule_15.log,14,0,1,6.9466,,,1181.1877,-436.851981681,0.103031,0.11021,0.111154,0.070727,-436.765678,-436.758499,-436.757555,-436.797983,C6H5NO2,-0.27798,-0.08905,0.183515,0.094465
7,molecule_16.log,17,0,1,2.314,,,954.5005,-401.181406233,0.144962,0.152535,0.153479,0.111669,-401.036656,-401.029082,-401.028138,-401.069948,C5H9NO2,-0.233,-0.01373,0.123365,0.10963500000000001
8,MOLECULE_17.log,36,0,1,1.4243,,,5860.8244,-921.088059241,0.282913,0.299741,0.300685,0.238553,-920.805149,-920.788321,-920.787377,-920.849509,C20H14O2,-0.20898,-0.04478,0.12688,0.0821
9,molecule_18.log,18,0,1,2.9428,,,1552.7117,-477.161464771,0.139657,0.147528,0.148473,0.107127,-477.03502,-477.027149,-477.026205,-477.06755,C9H7NO,-0.22825,-0.06715,0.1477,0.08055000000000001
10,molecule_19.log,10,0,1,0.0,,,345.9091,-230.260158355,0.084826,0.090252,0.091196,0.057111,-230.175399,-230.169974,-230.169029,-230.203114,C2H6O2,-0.28352,-0.00618,0.14485,0.13867
11,molecule_2.log,20,0,1,3.4862,,,2197.8263,-495.385682654,0.157784,0.166485,0.167429,0.123079,-495.250589,-495.241888,-495.240944,-495.285295,C10H8N2,-0.24678,-0.0633,0.15504,0.09174
12,MOLECULE_3.LOG,34,0,1,1.393,,,5488.3551,-1036.35599088,0.273959,0.289835,0.290779,0.22797,-1036.082257,-1036.066381,-1036.065437,-1036.128246,C18H15P,-0.22022,-0.03279,0.126505,0.09371499999999999
13,molecule_4.log,22,0,1,3.4497,,,2515.738,-571.645586289,0.170623,0.179812,0.180757,0.135907,-571.475039,-571.46585,-571.464905,-571.509755,C12H8N2,-0.23967,-0.06442,0.15204499999999999,0.087625
14,molecule_6.log,19,0,1,6.0889,,,1059.9668,-402.361536513,0.16573,0.174886,0.17583,0.131601,-402.235477,-402.226321,-402.225377,-402.269607,C5H11NO2,-0.25584,-0.04113,0.148485,0.107355
15,molecule_7.log,15,0,1,4.3297,,,1014.4202,-345.600053678,0.122022,0.128793,0.129737,0.090666,-345.693877,-345.687106,-345.686162,-345.725233,C5H8O2,-0.22424,-0.08093,0.152585,0.071655
16,molecule_8.log,12,0,1,2.252,,,340.0885,-190.531974352,0.111372,0.116656,0.117601,0.083975,-190.420984,-190.4157,-190.414755,-190.448381,C2H8N2,-0.23399,-0.00023,0.11711,0.11688
17,molecule_9.log,20,0,1,0.38,,,1002.5087,-345.278357278,0.180884,0.189076,0.190021,0.148711,-345.203182,-345.194989,-345.194045,-345.235354,C6H12N2,-0.14584,-0.03547,0.090655,0.055185
