,Yields,Baseline,Predicted Yields,Origin,Coupling Partner
0,45.0,38.68284789644013,39.76863095238095,optimization,Phenylacetylene
1,0.0,38.68284789644013,24.312379685673804,optimization,Acetophenone
2,31.0,38.68284789644013,50.71307575757575,optimization,1-ethynyl-4-methylbenzene
3,58.0,38.68284789644013,44.97016922349237,optimization,1-ethynyl-4-methylbenzene
4,53.0,38.68284789644013,53.71666666666667,optimization,Nitrobenzene
5,33.0,38.68284789644013,23.501214261787403,optimization,1-ethynyl-4-methylbenzene
6,0.0,38.68284789644013,13.30525105042017,optimization,Acetophenone
7,42.0,38.68284789644013,23.15,optimization,Phenylacetylene
8,37.0,38.68284789644013,59.04713852813852,optimization,phenylacetylene
9,56.0,38.68284789644013,61.55441666666667,optimization,Phenylacetylene
10,0.0,38.68284789644013,13.30525105042017,optimization,Acetophenone
11,0.0,38.68284789644013,37.48395995670995,optimization,Acetophenone
12,1.0,38.68284789644013,38.74460464535464,optimization,1-ethynyl-4-methylbenzene
13,86.0,38.68284789644013,83.93511904761907,optimization,Phenylacetylene
14,72.0,38.68284789644013,81.55770052170053,optimization,Acetophenone
15,1.0,38.68284789644013,44.97016922349237,optimization,1-ethynyl-4-methylbenzene
16,74.0,38.68284789644013,64.92833333333333,optimization,Nitrobenzene
17,35.0,38.68284789644013,38.3327619047619,optimization,Nitrobenzene
18,49.0,38.68284789644013,54.04266305916306,optimization,Acetophenone
19,1.0,38.68284789644013,62.82970238095237,optimization,Nitrobenzene
20,68.0,38.68284789644013,53.71666666666667,optimization,Nitrobenzene
21,1.0,38.68284789644013,81.55770052170053,optimization,Acetophenone
22,0.0,38.68284789644013,22.52153174603175,optimization,Acetophenone
23,26.0,38.68284789644013,64.29884523809524,optimization,Phenylacetylene
24,1.0,38.68284789644013,30.43031746031746,optimization,Acetophenone
25,1.0,38.68284789644013,29.472666666666665,optimization,Acetophenone
26,0.0,38.68284789644013,23.01973809523809,optimization,Phenylacetylene
27,58.0,38.68284789644013,50.21333333333333,optimization,Nitrobenzene
28,0.0,38.68284789644013,6.46,optimization,Acetophenone
29,23.0,38.68284789644013,26.45834090909091,optimization,Acetophenone
30,96.0,38.68284789644013,78.6427095959596,optimization,Nitrobenzene
31,27.0,38.68284789644013,19.607310814185816,optimization,1-ethynyl-4-methylbenzene
32,0.0,38.68284789644013,10.125833333333334,optimization,Nitrobenzene
33,1.0,38.68284789644013,21.32,optimization,Nitrobenzene
34,0.0,38.68284789644013,26.69953174603175,optimization,Acetophenone
35,96.0,38.68284789644013,44.97016922349237,optimization,1-ethynyl-4-methylbenzene
36,69.0,38.68284789644013,67.7392987012987,optimization,1-ethynyl-4-methylbenzene
37,56.0,38.68284789644013,44.074511144986765,optimization,Acetophenone
38,15.0,38.68284789644013,7.556203007518798,optimization,1-ethynyl-4-methylbenzene
39,45.0,38.68284789644013,48.38,optimization,Nitrobenzene
40,65.0,38.68284789644013,82.41095238095238,optimization,Phenylacetylene
41,93.0,38.68284789644013,64.32954365079365,optimization,Phenylacetylene
42,28.0,38.68284789644013,51.686126984126986,optimization,Nitrobenzene
43,92.0,38.68284789644013,81.55770052170053,optimization,Acetophenone
44,67.0,38.68284789644013,40.603112942612945,optimization,Acetophenone
45,70.0,38.68284789644013,68.15491017316019,optimization,Acetophenone
46,17.0,38.68284789644013,30.07658333333334,optimization,1-ethynyl-4-methylbenzene
47,65.0,38.68284789644013,50.81577245956657,optimization,Acetophenone
48,0.0,38.68284789644013,39.44799937154348,optimization,Acetophenone
49,1.0,38.68284789644013,4.866203007518797,optimization,1-ethynyl-4-methylbenzene
50,46.0,38.68284789644013,32.156666666666666,optimization,Nitrobenzene
51,39.0,38.68284789644013,29.614394230769225,optimization,Acetophenone
52,47.0,38.68284789644013,2.595,optimization,1-ethynyl-4-methylbenzene
53,98.0,38.68284789644013,34.37578896103896,optimization,Acetophenone
54,0.0,38.68284789644013,58.020586940836935,optimization,Phenylacetylene
55,42.0,38.68284789644013,39.165,optimization,Nitrobenzene
56,42.0,38.68284789644013,14.347833333333334,optimization,Nitrobenzene
57,69.0,38.68284789644013,71.38142424242423,optimization,phenylacetylene
58,0.0,38.68284789644013,34.032333333333334,optimization,Nitrobenzene
59,65.0,38.68284789644013,68.81380952380952,optimization,phenylacetylene
60,64.0,38.68284789644013,81.55770052170053,optimization,Acetophenone
61,20.0,38.68284789644013,10.156,optimization,Acetophenone
62,50.0,38.68284789644013,43.31,optimization,Nitrobenzene
63,1.0,38.68284789644013,9.344285714285714,optimization,Nitrobenzene
64,49.0,38.68284789644013,31.832666666666665,optimization,Acetophenone
65,43.0,38.68284789644013,78.69398412698412,optimization,Phenylacetylene
66,24.0,38.68284789644013,24.8524880952381,optimization,1-ethynyl-4-methylbenzene
67,25.0,38.68284789644013,36.69961097236097,optimization,Acetophenone
68,21.0,38.68284789644013,12.307991702741704,optimization,Acetophenone
69,69.0,38.68284789644013,70.03833333333334,optimization,1-ethynyl-4-methylbenzene
70,0.0,38.68284789644013,38.1049365079365,optimization,Acetophenone
71,44.0,38.68284789644013,34.28355555555555,optimization,1-ethynyl-4-methylbenzene
72,77.0,38.68284789644013,54.68767060717057,optimization,1-ethynyl-4-methylbenzene
73,28.0,38.68284789644013,30.642357142857144,optimization,Acetophenone
74,75.0,38.68284789644013,51.34095238095237,optimization,Nitrobenzene
75,26.0,38.68284789644013,6.647166666666666,optimization,Phenylacetylene
76,11.0,38.68284789644013,20.211177128427124,optimization,Acetophenone
77,41.0,38.68284789644013,53.48968517593519,optimization,Acetophenone
78,0.0,38.68284789644013,37.159411477411474,optimization,Acetophenone
79,1.0,38.68284789644013,54.68767060717057,optimization,1-ethynyl-4-methylbenzene
80,0.0,38.68284789644013,11.456726190476191,optimization,Acetophenone
81,98.0,38.68284789644013,68.96085909923407,optimization,Acetophenone
82,56.0,38.68284789644013,40.89570909645909,optimization,Acetophenone
83,30.0,38.68284789644013,66.27321428571427,optimization,Acetophenone
84,56.0,38.68284789644013,40.89570909645909,optimization,Acetophenone
85,31.0,38.68284789644013,36.99552200577201,optimization,Acetophenone
86,35.0,38.68284789644013,12.125,optimization,Acetophenone
87,31.0,38.68284789644013,24.37,optimization,Acetophenone
88,1.0,38.68284789644013,10.642000000000001,optimization,Acetophenone
89,0.0,38.68284789644013,25.6,optimization,Acetophenone
90,55.0,38.68284789644013,41.52666666666667,optimization,phenylacetylene
91,75.0,38.68284789644013,30.642357142857144,optimization,Acetophenone
92,1.0,38.68284789644013,34.32863292263292,optimization,Acetophenone
93,58.0,38.68284789644013,42.33808333333332,optimization,Nitrobenzene
94,74.0,38.68284789644013,34.89190476190476,optimization,phenylacetylene
95,33.0,38.68284789644013,62.752213203463214,optimization,Acetophenone
96,75.0,38.68284789644013,61.20057142857142,optimization,phenylacetylene
97,83.0,38.68284789644013,53.48968517593519,optimization,Acetophenone
98,43.0,38.68284789644013,30.642357142857144,optimization,Acetophenone
99,0.0,38.68284789644013,29.060357142857143,optimization,Acetophenone
100,0.0,38.68284789644013,30.792357142857146,optimization,Acetophenone
101,95.0,38.68284789644013,78.96469047619048,optimization,Nitrobenzene
102,0.0,38.68284789644013,65.13048412698414,optimization,Phenylacetylene
103,30.0,38.68284789644013,14.177999999999999,optimization,Acetophenone
104,0.0,38.68284789644013,3.9,optimization,Acetophenone
105,1.0,38.68284789644013,63.26748412698413,optimization,Phenylacetylene
106,1.0,38.68284789644013,12.859694444444441,optimization,Acetophenone
107,31.0,38.68284789644013,31.78,optimization,Nitrobenzene
108,1.0,38.68284789644013,25.066384920634924,optimization,Nitrobenzene
109,1.0,38.68284789644013,54.68767060717057,optimization,1-ethynyl-4-methylbenzene
110,1.0,38.68284789644013,74.36107142857142,optimization,Nitrobenzene
111,99.0,38.68284789644013,51.31365476190476,optimization,Nitrobenzene
112,50.0,38.68284789644013,70.72548799811298,optimization,Acetophenone
113,63.0,38.68284789644013,51.293362054612025,optimization,1-ethynyl-4-methoxybenzene
114,0.0,38.68284789644013,30.9395,optimization,Acetophenone
115,1.0,38.68284789644013,84.18096320346322,optimization,Phenylacetylene
116,48.0,38.68284789644013,40.89570909645909,optimization,Acetophenone
117,53.0,38.68284789644013,74.34,optimization,Nitrobenzene
118,35.0,38.68284789644013,67.50912687312685,optimization,Acetophenone
119,25.0,38.68284789644013,7.257000000000001,optimization,Acetophenone
120,87.0,38.68284789644013,68.96085909923407,optimization,Acetophenone
121,0.0,38.68284789644013,6.431845238095238,optimization,Acetophenone
122,50.0,38.68284789644013,36.7,optimization,Nitrobenzene
123,30.0,38.68284789644013,68.11079996392495,optimization,Acetophenone
124,98.0,38.68284789644013,47.969122238872245,optimization,phenylacetylene
125,23.0,38.68284789644013,26.43985209235209,optimization,Acetophenone
126,36.0,38.68284789644013,64.04846406371406,optimization,Acetophenone
127,60.0,38.68284789644013,20.4535,optimization,Acetophenone
128,49.0,38.68284789644013,26.407047619047617,optimization,Acetophenone
129,25.0,38.68284789644013,45.80024155011655,optimization,Acetophenone
130,88.0,38.68284789644013,52.746,optimization,Nitrobenzene
131,47.0,38.68284789644013,2.97,optimization,1-ethynyl-4-methylbenzene
132,83.0,38.68284789644013,24.244762237762238,optimization,1-ethynyl-4-methylbenzene
133,0.0,38.68284789644013,1.41,optimization,Acetophenone
134,55.0,38.68284789644013,44.665,optimization,phenylacetylene
135,44.0,38.68284789644013,14.800785714285716,optimization,Acetophenone
136,18.0,38.68284789644013,22.749040043290048,optimization,Acetophenone
137,42.0,38.68284789644013,19.895,optimization,Phenylacetylene
138,20.0,38.68284789644013,35.505,optimization,Nitrobenzene
139,29.0,38.68284789644013,41.60644047619047,optimization,Nitrobenzene
140,67.0,38.68284789644013,82.87081529581528,optimization,Nitrobenzene
141,42.0,38.68284789644013,13.332261904761905,optimization,Nitrobenzene
142,45.0,38.68284789644013,32.654666666666664,optimization,Acetophenone
143,0.0,38.68284789644013,15.24957647907648,optimization,Acetophenone
144,0.0,38.68284789644013,60.50666727716729,optimization,Acetophenone
145,56.0,38.68284789644013,72.00314682539683,optimization,Phenylacetylene
146,80.0,38.68284789644013,66.94599114774115,optimization,phenylacetylene
147,11.0,38.68284789644013,15.624029165279167,optimization,Acetophenone
