,Yields,Baseline,Predicted Yields,Origin,Coupling Partner
0,54.0,65.51968503937007,54.809,scope,Toluene
1,43.0,49.42857142857143,55.65,Scope,Phenylacetylene
2,48.0,38.68284789644013,25.07770063270063,optimization,Acetophenone
3,95.0,38.68284789644013,82.06488492063488,optimization,Nitrobenzene
4,1.0,38.68284789644013,82.82789998889999,optimization,Acetophenone
5,80.0,65.51968503937007,76.35666666666665,scope,1-ethynyl-4-methoxybenzene
6,1.0,38.68284789644013,39.01166666666667,optimization,Acetophenone
7,5.0,38.68284789644013,21.40818497000076,optimization,Acetophenone
8,65.0,65.51968503937007,70.16833333333334,scope,Acetophenone
9,0.0,38.68284789644013,11.44,optimization,Nitrobenzene
10,15.0,38.68284789644013,12.535000000000002,optimization,1-ethynyl-4-methylbenzene
11,42.0,38.68284789644013,27.836666666666666,optimization,Phenylacetylene
12,83.0,38.68284789644013,57.165658369408376,optimization,1-ethynyl-4-methylbenzene
13,70.0,38.68284789644013,66.67,optimization,Nitrobenzene
14,77.0,38.68284789644013,45.489971903096915,optimization,1-ethynyl-4-methylbenzene
15,1.0,38.68284789644013,38.9367977994228,optimization,1-ethynyl-4-methylbenzene
16,38.0,38.68284789644013,34.67765931372549,optimization,Acetophenone
17,50.0,38.68284789644013,34.035,optimization,Nitrobenzene
18,43.0,65.51968503937007,49.518571428571434,scope,Nitrobenzene
19,81.0,65.51968503937007,70.69416666666667,scope,Benzonitrile
20,10.0,38.68284789644013,17.355000000000004,optimization,1-ethynyl-4-methylbenzene
21,10.0,30.097560975609756,17.92,Optimization,Phenylacetylene
22,50.0,30.097560975609756,47.137093485830995,Optimization,Phenylacetylene
23,1.0,38.68284789644013,12.78,optimization,Acetophenone
24,29.0,30.097560975609756,23.736879397692093,Optimization,Phenylacetylene
25,40.0,38.68284789644013,41.60794047619048,optimization,Acetophenone
26,49.0,65.51968503937007,38.02857142857143,scope,Benzonitrile
27,60.0,65.51968503937007,69.73326984126983,scope,Nitrobenzene
28,41.0,38.68284789644013,69.3872380952381,optimization,Acetophenone
29,1.0,38.68284789644013,17.94086111111111,optimization,1-ethynyl-4-methylbenzene
30,72.0,38.68284789644013,63.21466666666667,optimization,Nitrobenzene
31,60.0,38.68284789644013,82.82789998889999,optimization,Acetophenone
32,36.0,38.68284789644013,69.3872380952381,optimization,Acetophenone
33,0.0,30.097560975609756,34.959095238095244,Optimization,Phenylacetylene
34,1.0,38.68284789644013,47.95058333333333,optimization,Nitrobenzene
35,1.0,38.68284789644013,28.221984848484844,optimization,Acetophenone
36,83.0,49.42857142857143,34.953770507270505,Scope,Phenylacetylene
37,0.0,38.68284789644013,30.441869047619047,optimization,Phenylacetylene
38,76.0,38.68284789644013,49.378,optimization,Nitrobenzene
39,1.0,38.68284789644013,32.45083333333333,optimization,Nitrobenzene
40,86.0,38.68284789644013,84.59945238095239,optimization,Phenylacetylene
41,1.0,38.68284789644013,21.71,optimization,Acetophenone
42,1.0,38.68284789644013,16.580074314574315,optimization,1-ethynyl-4-methylbenzene
43,0.0,38.68284789644013,23.315,optimization,Acetophenone
44,0.0,65.51968503937007,72.57380952380953,scope,4-ethynylpyridine
45,99.0,38.68284789644013,48.87047619047618,optimization,Nitrobenzene
46,69.0,65.51968503937007,77.796,scope,1-ethynyl-4-methylbenzene
47,75.0,38.68284789644013,57.38562093462092,optimization,Acetophenone
48,82.0,38.68284789644013,67.75,optimization,Nitrobenzene
49,67.0,30.097560975609756,32.99559813079937,Optimization,Phenylacetylene
50,1.0,38.68284789644013,56.28747619047619,optimization,Nitrobenzene
51,1.0,38.68284789644013,47.81224999999999,optimization,Nitrobenzene
52,0.0,38.68284789644013,7.591428571428571,optimization,1-ethynyl-4-methylbenzene
53,45.0,65.51968503937007,32.42,scope,benzonitrile
54,0.0,38.68284789644013,78.70895135420137,optimization,Acetophenone
55,50.0,38.68284789644013,40.62,optimization,Nitrobenzene
56,58.0,38.68284789644013,32.3675,optimization,Nitrobenzene
57,49.0,38.68284789644013,39.675,optimization,Nitrobenzene
58,38.0,38.68284789644013,24.998928571428568,optimization,Acetophenone
59,72.0,65.51968503937007,68.83180952380953,scope,1-ethynyl-4-methoxybenzene
60,0.0,38.68284789644013,30.536071428571432,optimization,Acetophenone
61,31.0,38.68284789644013,45.489971903096915,optimization,1-ethynyl-4-methylbenzene
62,0.0,38.68284789644013,27.25,optimization,Acetophenone
63,67.0,38.68284789644013,82.06488492063488,optimization,Nitrobenzene
64,66.0,65.51968503937007,63.47200000000001,scope,(trifluoromethyl)benzene
65,71.0,65.51968503937007,50.44492857142857,scope,Nitrobenzene
66,92.0,38.68284789644013,45.489971903096915,optimization,1-ethynyl-4-methylbenzene
67,44.0,38.68284789644013,45.04195238095239,optimization,Phenylacetylene
68,1.0,38.68284789644013,45.489971903096915,optimization,1-ethynyl-4-methylbenzene
69,70.0,65.51968503937007,73.93576190476192,scope,Phenylacetylene
70,66.0,65.51968503937007,58.576,scope,Nitrobenzene
71,18.0,65.51968503937007,52.90778571428571,scope,Nitrobenzene
72,84.0,65.51968503937007,64.78524999999999,scope,Nitrobenzene
73,49.0,38.68284789644013,55.83314285714286,optimization,Acetophenone
74,23.0,38.68284789644013,46.365345238095244,optimization,Nitrobenzene
75,34.0,30.097560975609756,28.893636363636364,Optimization,Phenylacetylene
76,1.0,38.68284789644013,23.011757936507937,optimization,Nitrobenzene
77,77.0,38.68284789644013,55.19504761904761,optimization,phenylacetylene
78,64.0,65.51968503937007,77.54559523809523,scope,Phenylacetylene
79,0.0,38.68284789644013,11.733146825396824,optimization,Acetophenone
80,45.0,65.51968503937007,46.767513451460815,scope,Acetophenone
81,46.0,38.68284789644013,43.72754306293121,optimization,Acetophenone
82,82.0,38.68284789644013,69.3872380952381,optimization,Acetophenone
83,83.0,38.68284789644013,74.05285714285715,optimization,phenylacetylene
84,91.0,65.51968503937007,74.51840476190476,scope,(trifluoromethyl)benzene
85,73.0,65.51968503937007,66.66947619047619,scope,phenylacetylene
86,91.0,65.51968503937007,86.31,scope,Acetophenone
87,1.0,38.68284789644013,23.99,optimization,Acetophenone
88,99.0,65.51968503937007,80.30764285714285,scope,1-ethynyl-4-methylbenzene
89,63.0,65.51968503937007,76.90166666666667,scope,Benzonitrile
90,82.0,38.68284789644013,82.82789998889999,optimization,Acetophenone
91,1.0,38.68284789644013,69.3872380952381,optimization,Acetophenone
92,18.0,49.42857142857143,17.766717273954114,Scope,Phenylacetylene
93,89.0,38.68284789644013,71.2264797979798,optimization,phenylacetylene
94,1.0,30.097560975609756,24.473636363636366,Optimization,Phenylacetylene
95,0.0,38.68284789644013,27.015833333333333,optimization,Nitrobenzene
96,36.0,38.68284789644013,54.277001803751794,optimization,Acetophenone
97,66.0,38.68284789644013,71.71436904761904,optimization,Phenylacetylene
98,70.0,38.68284789644013,66.09822663447662,optimization,Acetophenone
99,1.0,38.68284789644013,33.35916666666667,optimization,Acetophenone
100,0.0,38.68284789644013,21.102103174603176,optimization,Phenylacetylene
101,55.0,30.097560975609756,39.38320244375506,Optimization,Phenylacetylene
102,25.0,38.68284789644013,4.97,optimization,Acetophenone
103,80.0,38.68284789644013,85.96222222222221,optimization,Nitrobenzene
104,60.0,30.097560975609756,39.38320244375506,Optimization,Phenylacetylene
105,35.0,65.51968503937007,47.89577777777779,scope,Nitrobenzene
106,53.0,49.42857142857143,39.38320244375506,Scope,Phenylacetylene
107,58.0,65.51968503937007,72.20200882450885,scope,Acetophenone
108,78.0,38.68284789644013,85.96222222222221,optimization,Nitrobenzene
109,82.0,65.51968503937007,74.54065223665222,scope,1-ethynyl-4-methylbenzene
110,76.0,38.68284789644013,81.00266666666667,optimization,Phenylacetylene
111,83.0,38.68284789644013,10.327773504273505,optimization,1-ethynyl-4-methylbenzene
112,54.0,65.51968503937007,58.28785714285715,scope,Benzene
113,49.0,65.51968503937007,39.548,scope,Benzonitrile
114,58.0,38.68284789644013,38.75223809523809,optimization,Nitrobenzene
115,82.0,38.68284789644013,43.7012857142857,optimization,Acetophenone
116,1.0,38.68284789644013,31.84673809523809,optimization,Nitrobenzene
117,0.0,30.097560975609756,29.137970307470304,Optimization,Phenylacetylene
118,0.0,38.68284789644013,15.854222222222225,optimization,Acetophenone
119,75.0,65.51968503937007,74.83,scope,Benzonitrile
120,51.0,65.51968503937007,87.5575,scope,Benzene
121,41.0,38.68284789644013,43.7012857142857,optimization,Acetophenone
122,39.0,38.68284789644013,57.50824225774226,optimization,1-ethynyl-4-methylbenzene
123,0.0,38.68284789644013,27.61447619047619,optimization,Acetophenone
124,57.0,30.097560975609756,26.32,Optimization,Phenylacetylene
125,39.0,38.68284789644013,50.8184126984127,optimization,Nitrobenzene
126,0.0,38.68284789644013,3.4335555555555555,optimization,Acetophenone
127,1.0,30.097560975609756,22.943,Optimization,Phenylacetylene
128,75.0,38.68284789644013,53.730555555555554,optimization,Nitrobenzene
129,23.0,38.68284789644013,19.05,optimization,Acetophenone
130,35.0,38.68284789644013,19.48238095238095,optimization,Acetophenone
131,1.0,38.68284789644013,49.086394993895,optimization,1-ethynyl-4-methylbenzene
132,50.0,38.68284789644013,61.51882331557331,optimization,Acetophenone
133,75.0,38.68284789644013,67.29943162393162,optimization,phenylacetylene
134,98.0,65.51968503937007,62.218329365079356,scope,Nitrobenzene
135,1.0,38.68284789644013,14.057877955377954,optimization,Acetophenone
136,51.0,38.68284789644013,53.81,optimization,1-ethynyl-4-methoxybenzene
137,0.0,38.68284789644013,9.438243506493507,optimization,1-ethynyl-4-methylbenzene
138,45.0,65.51968503937007,55.69274603174604,scope,Toluene
139,50.0,38.68284789644013,43.49,optimization,Nitrobenzene
140,65.0,38.68284789644013,72.81869841269841,optimization,phenylacetylene
141,62.0,38.68284789644013,52.75166666666666,optimization,Acetophenone
142,1.0,65.51968503937007,69.22370634920634,scope,phenylacetylene
143,56.0,65.51968503937007,72.85343650793651,scope,Toluene
144,67.0,30.097560975609756,30.361069735819733,Optimization,Phenylacetylene
145,96.0,65.51968503937007,84.91430952380954,scope,phenylacetylene
146,0.0,65.51968503937007,77.34547619047619,scope,Nitrobenzene
147,98.0,38.68284789644013,19.302151515151515,optimization,Acetophenone
148,76.0,38.68284789644013,51.04,optimization,Nitrobenzene
149,70.0,65.51968503937007,72.38714285714285,scope,1-ethynyl-4-methylbenzene
150,1.0,38.68284789644013,16.871880952380952,optimization,Nitrobenzene
151,55.0,65.51968503937007,39.73142857142857,scope,benzonitrile
152,68.0,38.68284789644013,50.815555555555555,optimization,Nitrobenzene
153,92.0,38.68284789644013,72.31718714618717,optimization,Acetophenone
154,1.0,38.68284789644013,25.87922222222222,optimization,Acetophenone
155,74.0,65.51968503937007,76.77166666666668,scope,Anisole
156,89.0,38.68284789644013,74.74263114663114,optimization,phenylacetylene
157,0.0,38.68284789644013,1.05,optimization,Acetophenone
158,1.0,38.68284789644013,5.893692307692309,optimization,1-ethynyl-4-methylbenzene
159,32.0,65.51968503937007,36.857119947046414,scope,Acetophenone
160,80.0,65.51968503937007,75.09621428571428,scope,phenylacetylene
161,52.0,38.68284789644013,35.94548340548341,optimization,Acetophenone
162,50.0,38.68284789644013,37.57333333333334,optimization,Nitrobenzene
163,70.0,38.68284789644013,37.06420717681012,optimization,Acetophenone
164,48.0,38.68284789644013,43.7012857142857,optimization,Acetophenone
165,1.0,38.68284789644013,18.888333333333332,optimization,Nitrobenzene
166,31.0,30.097560975609756,28.592230769230774,Optimization,Phenylacetylene
167,52.0,38.68284789644013,22.620838827838824,optimization,1-ethynyl-4-methylbenzene
168,65.0,65.51968503937007,68.31243861693862,scope,Acetophenone
169,97.0,49.42857142857143,39.38320244375506,Scope,Phenylacetylene
170,1.0,38.68284789644013,18.935425213675213,optimization,Acetophenone
171,0.0,38.68284789644013,12.850214285714287,optimization,Nitrobenzene
172,60.0,65.51968503937007,74.53083333333333,scope,Nitrobenzene
173,92.0,38.68284789644013,49.086394993895,optimization,1-ethynyl-4-methylbenzene
174,66.0,38.68284789644013,71.76116666666667,optimization,Phenylacetylene
175,55.0,38.68284789644013,54.206153846153846,optimization,phenylacetylene
176,83.0,38.68284789644013,43.7012857142857,optimization,Acetophenone
177,41.0,38.68284789644013,23.31625,optimization,Acetophenone
178,1.0,38.68284789644013,13.74,optimization,Acetophenone
179,86.0,38.68284789644013,81.36666666666666,optimization,Phenylacetylene
180,47.0,38.68284789644013,48.91555555555556,optimization,Nitrobenzene
181,41.0,38.68284789644013,36.4345,optimization,Acetophenone
182,0.0,38.68284789644013,37.431000000000004,optimization,Acetophenone
183,0.0,38.68284789644013,21.382484126984128,optimization,Phenylacetylene
184,0.0,38.68284789644013,30.91836965811966,optimization,Acetophenone
185,48.0,38.68284789644013,37.06420717681012,optimization,Acetophenone
186,38.0,38.68284789644013,28.234174410556765,optimization,1-ethynyl-4-methylbenzene
187,94.0,65.51968503937007,86.46290476190475,scope,Nitrobenzene
188,82.0,38.68284789644013,72.31718714618717,optimization,Acetophenone
189,56.0,38.68284789644013,37.06420717681012,optimization,Acetophenone
190,30.0,38.68284789644013,66.8847553002553,optimization,Acetophenone
191,82.0,38.68284789644013,70.65,optimization,Nitrobenzene
192,85.0,38.68284789644013,81.36666666666666,optimization,Phenylacetylene
193,67.0,38.68284789644013,85.96222222222221,optimization,Nitrobenzene
194,90.0,65.51968503937007,90.36180952380951,scope,1-ethynyl-4-methoxybenzene
195,69.0,38.68284789644013,39.64738350375115,optimization,1-ethynyl-4-methylbenzene
196,49.0,65.51968503937007,80.18623809523811,scope,Nitrobenzene
197,42.0,65.51968503937007,82.78623809523812,scope,Nitrobenzene
198,31.0,49.42857142857143,52.10185414340562,Scope,Phenylacetylene
199,38.0,38.68284789644013,17.353171717171715,optimization,Acetophenone
200,55.0,30.097560975609756,49.42856642484623,Optimization,Phenylacetylene
201,1.0,38.68284789644013,60.861273809523816,optimization,Phenylacetylene
202,18.0,49.42857142857143,30.606582251082244,Scope,Phenylacetylene
203,45.0,38.68284789644013,52.54214285714286,optimization,Acetophenone
204,46.0,49.42857142857143,48.888457989164266,Scope,Phenylacetylene
205,47.0,38.68284789644013,4.856722222222222,optimization,1-ethynyl-4-methylbenzene
206,1.0,30.097560975609756,23.79,Optimization,Phenylacetylene
207,83.0,49.42857142857143,49.59978238428238,Scope,Phenylacetylene
208,70.0,65.51968503937007,75.23666666666666,scope,1-ethynyl-4-methylbenzene
209,0.0,38.68284789644013,24.412857142857142,optimization,Acetophenone
210,82.0,38.68284789644013,76.07786904761905,optimization,Phenylacetylene
211,49.0,65.51968503937007,78.17058333333334,scope,Nitrobenzene
212,0.0,30.097560975609756,49.42856642484623,Optimization,Phenylacetylene
213,33.0,38.68284789644013,61.373597402597404,optimization,Acetophenone
214,0.0,38.68284789644013,31.781,optimization,Acetophenone
215,1.0,38.68284789644013,15.331589743589744,optimization,Acetophenone
216,40.0,38.68284789644013,19.20157142857143,optimization,Nitrobenzene
217,98.0,38.68284789644013,72.234974997225,optimization,Acetophenone
218,82.0,65.51968503937007,71.03175,scope,Nitrobenzene
219,77.0,38.68284789644013,42.76,optimization,Nitrobenzene
220,65.0,38.68284789644013,72.234974997225,optimization,Acetophenone
221,53.0,49.42857142857143,49.42856642484623,Scope,Phenylacetylene
222,25.0,30.097560975609756,25.62,Optimization,Phenylacetylene
223,86.0,65.51968503937007,72.97816666666667,scope,Nitrobenzene
224,0.0,38.68284789644013,6.64,optimization,Acetophenone
225,66.0,65.51968503937007,64.11,scope,(trifluoromethyl)benzene
226,79.0,65.51968503937007,63.14,scope,Aniline
227,98.0,38.68284789644013,67.38,optimization,Nitrobenzene
228,83.0,38.68284789644013,66.05493780729076,optimization,1-ethynyl-4-methylbenzene
229,42.0,38.68284789644013,33.3675,optimization,Phenylacetylene
230,72.0,38.68284789644013,69.24,optimization,Nitrobenzene
231,49.0,38.68284789644013,51.5593328893329,optimization,Acetophenone
232,34.0,30.097560975609756,45.727182588653186,Optimization,Phenylacetylene
233,80.0,65.51968503937007,75.49284126984128,scope,phenylacetylene
234,0.0,65.51968503937007,74.8854898989899,scope,Nitrobenzene
235,1.0,65.51968503937007,75.46080952380952,scope,phenylacetylene
236,75.0,65.51968503937007,67.96,scope,Benzonitrile
237,17.0,30.097560975609756,44.11022717805071,Optimization,Phenylacetylene
238,54.0,65.51968503937007,55.64,scope,Benzene
239,10.0,49.42857142857143,31.58802097683018,Scope,Phenylacetylene
240,26.0,30.097560975609756,34.83,Optimization,Phenylacetylene
241,34.0,30.097560975609756,21.123846153846152,Optimization,Phenylacetylene
242,62.0,65.51968503937007,83.70879365079365,scope,Phenylacetylene
243,35.0,65.51968503937007,53.12,scope,benzonitrile
244,78.0,65.51968503937007,51.871682539682546,scope,4-ethynylpyridine
245,88.0,38.68284789644013,66.80875,optimization,Nitrobenzene
246,56.0,38.68284789644013,42.685951600686884,optimization,Acetophenone
247,90.0,65.51968503937007,75.91498484848485,scope,Benzonitrile
248,47.0,38.68284789644013,54.325,optimization,Nitrobenzene
249,70.0,65.51968503937007,72.45100000000001,scope,Benzonitrile
250,65.0,38.68284789644013,48.2238095107507,optimization,Acetophenone
251,39.0,38.68284789644013,55.897308761414024,optimization,1-ethynyl-4-methylbenzene
252,1.0,38.68284789644013,41.43372377622378,optimization,1-ethynyl-4-methylbenzene
253,63.0,38.68284789644013,51.68713375951535,optimization,1-ethynyl-4-methoxybenzene
254,52.0,38.68284789644013,37.61650901875902,optimization,Acetophenone
255,50.0,65.51968503937007,73.49,scope,Benzonitrile
256,96.0,65.51968503937007,54.081103174603165,scope,Anisole
257,21.0,49.42857142857143,51.633026431901435,Scope,Phenylacetylene
258,82.0,65.51968503937007,73.06030158730158,scope,1-ethynyl-4-methylbenzene
259,19.0,38.68284789644013,38.92857142857142,optimization,phenylacetylene
260,41.0,38.68284789644013,30.900352921588215,optimization,Acetophenone
261,31.0,38.68284789644013,59.4682846972429,optimization,1-ethynyl-4-methylbenzene
262,23.0,65.51968503937007,41.896770923520926,scope,Acetophenone
263,37.0,38.68284789644013,44.982,optimization,phenylacetylene
264,58.0,38.68284789644013,52.42,optimization,Nitrobenzene
265,74.0,38.68284789644013,35.02333333333333,optimization,phenylacetylene
266,0.0,38.68284789644013,23.4825,optimization,Phenylacetylene
267,0.0,38.68284789644013,22.62603968253968,optimization,Acetophenone
268,51.0,38.68284789644013,57.364627192982454,optimization,1-ethynyl-4-methoxybenzene
269,0.0,38.68284789644013,42.73715101075395,optimization,1-ethynyl-4-methylbenzene
270,63.0,65.51968503937007,78.8525,scope,1-ethynyl-4-methylbenzene
271,0.0,38.68284789644013,44.77425505050505,optimization,Acetophenone
272,24.0,38.68284789644013,25.17397435897436,optimization,Acetophenone
273,80.0,38.68284789644013,82.198478993229,optimization,Nitrobenzene
274,76.0,65.51968503937007,61.34933151652272,scope,Acetophenone
275,68.0,38.68284789644013,55.335,optimization,Nitrobenzene
276,1.0,38.68284789644013,32.0969486069486,optimization,Acetophenone
277,94.0,38.68284789644013,66.90215873015873,optimization,Phenylacetylene
278,0.0,30.097560975609756,21.16507692307692,Optimization,Phenylacetylene
279,50.0,38.68284789644013,63.12,optimization,Nitrobenzene
280,60.0,38.68284789644013,72.234974997225,optimization,Acetophenone
281,1.0,38.68284789644013,4.996722222222223,optimization,1-ethynyl-4-methylbenzene
282,78.0,38.68284789644013,40.74649009324009,optimization,Acetophenone
283,90.0,65.51968503937007,73.55362490287492,scope,Toluene
284,5.0,38.68284789644013,17.287728243978243,optimization,Acetophenone
285,1.0,38.68284789644013,50.80724529658509,optimization,1-ethynyl-4-methylbenzene
286,91.0,65.51968503937007,70.93053787878789,scope,(trifluoromethyl)benzene
287,31.0,38.68284789644013,13.01,optimization,Acetophenone
288,11.0,38.68284789644013,8.57518745143745,optimization,Acetophenone
289,45.0,38.68284789644013,45.66,optimization,Nitrobenzene
290,75.0,38.68284789644013,67.67804953379954,optimization,phenylacetylene
291,86.0,65.51968503937007,69.98,scope,Benzonitrile
292,12.0,38.68284789644013,34.49313492063492,optimization,Acetophenone
293,43.0,38.68284789644013,73.95377777777777,optimization,phenylacetylene
294,18.0,65.51968503937007,62.8203520923521,scope,Nitrobenzene
295,53.0,38.68284789644013,49.52,optimization,Nitrobenzene
