FileName,number_of_atoms,charge,multiplicity,dipole,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,homo_energy,lumo_energy,electronegativity,hardness
ClC1=CC=CC=N1,11,0,1,3.5083,895.6983,-707.8884873,0.0792,0.084572,0.085516,0.049472,-707.820784,-707.815412,-707.814468,-707.850512,-0.27202,-0.05762,0.16482,0.1072
ClC1=NC2=CC=CC=C2C=C1,17,0,1,3.5948,2160.9594,-861.545316,0.125995,0.133895,0.134839,0.092674,-861.431171,-861.423271,-861.422326,-861.464492,-0.24941,-0.07797,0.16369,0.08572
ClC1=NC(C)=CC=N1,13,0,1,4.1465,1192.1966,-763.2581854,0.09481,0.10182,0.102764,0.062633,-763.168436,-763.161427,-763.160483,-763.200614,-0.27558,-0.0654,0.17049,0.10509
ClC1=CC=CN=C1,11,0,1,2.1671,881.0575,-707.8941691,0.079298,0.084686,0.08563,0.049552,-707.817391,-707.812004,-707.81106,-707.847137,-0.27055,-0.05172,0.161135,0.109415
BrC1=CC=CN=C1,11,0,1,2.22,876.2784,-261.0525568,0.078675,0.084322,0.085266,0.047759,-260.989258,-260.983612,-260.982667,-261.020174,-0.26805,-0.05865,0.16335,0.1047
BrC1=CC=C(OC)N=C1,15,0,1,3.514,1624.5295,-375.5851715,0.11142,0.119613,0.120558,0.077014,-375.490642,-375.482448,-375.481504,-375.525047,-0.25125,-0.0534,0.152325,0.098925
BrC1=CN=CN=C1,10,0,1,0.7624,861.1566,-277.0921199,0.066938,0.072489,0.073433,0.036043,-277.037665,-277.032114,-277.03117,-277.06856,-0.26658,-0.07753,0.172055,0.094525
BrC1=CN(C)C=N1,12,0,1,5.6088,1014.0223,-278.2928625,0.0891,0.095856,0.0968,0.056659,-278.221758,-278.215002,-278.214058,-278.254199,-0.23522,-0.01557,0.125395,0.109825
BrC1=CC2=C(C=CC=C2)N=C1,17,0,1,2.5376,2037.7199,-414.7119372,0.125528,0.133716,0.13466,0.091052,-414.5957,-414.587512,-414.586568,-414.630176,-0.24764,-0.07996,0.1638,0.08384
BrC1=CC2=C(C=C1)N=CC=C2,11,0,1,2.1671,881.0575,-707.8941691,0.079298,0.084686,0.08563,0.049552,-707.817391,-707.812004,-707.81106,-707.847137,-0.27055,-0.05172,0.161135,0.109415
BrC1=CC=CC=N1,11,0,1,3.3716,1228.1136,-2819.417645,0.079002,0.084482,0.085426,0.048305,-2819.350225,-2819.344745,-2819.343801,-2819.380922,-0.26619,-0.05801,0.1621,0.10409
BrC1=CC=CC2=C1N=CC=C2,17,0,1,3.8068,1776.9872,-414.7086745,0.125546,0.133716,0.134661,0.091151,-414.593088,-414.584917,-414.583973,-414.627482,-0.24075,-0.07806,0.159405,0.081345
BrC1=CC=CS1,9,0,1,1.6275,791.8408,-565.7711165,0.056741,0.062216,0.06316,0.025925,-565.719296,-565.713821,-565.712877,-565.750112,-0.24177,-0.03026,0.136015,0.105755
BrC1=COC=C1,9,0,1,1.4565,731.4282,-242.714297,0.060033,0.065063,0.066007,0.03009,-242.739269,-242.734239,-242.733295,-242.769211,-0.25085,-0.05782,0.154335,0.096515
ClC1=CC=C(Cl)C=N1,11,0,1,2.3219,1667.7808,-1167.484074,0.069531,0.076095,0.077039,0.037564,-1167.425262,-1167.418697,-1167.417753,-1167.457228,-0.27188,-0.07068,0.17128,0.1006
ClC1=CC=C(Br)C=N1,11,0,1,2.3462,1593.9309,-720.651925,0.068887,0.075728,0.076672,0.035777,-720.593992,-720.587152,-720.586208,-720.627103,-0.26885,-0.07057,0.16971,0.09914
ClC1=CC=CC=C1,12,0,1,1.8654,909.6239,-691.8612402,0.091095,0.096595,0.097539,0.061309,-691.770965,-691.765466,-691.764521,-691.800751,-0.25591,-0.02764,0.141775,0.114135
BrC1=CC=CC=C1,12,0,1,1.8536,903.5795,-245.0321715,0.090425,0.096191,0.097135,0.059468,-244.943128,-244.937362,-244.936418,-244.974085,-0.25283,-0.02777,0.1403,0.11253
O=S(OC1=CC=CC=C1)(C(F)(F)F)=O,19,0,1,5.2785,2863.8112,-1193.014359,0.118844,0.131242,0.132186,0.077505,-1192.984666,-1192.972268,-1192.971324,-1193.026005,-0.28369,-0.0956,0.189645,0.094045
CC1=CC=C(S(OC2=CC=CC=C2)(=O)=O)C=C1,29,0,1,6.3028,4787.5772,-1126.440035,0.22335,0.238452,0.239396,0.178549,-1126.239437,-1126.224335,-1126.223391,-1126.284238,-0.26344,-0.05989,0.161665,0.101775
ClC1=CC=C(C(F)(F)F)C=C1,15,0,1,0.7977,2424.3777,-1028.922483,0.095508,0.10465,0.105594,0.058542,-1028.830365,-1028.821222,-1028.820278,-1028.86733,-0.27378,-0.05081,0.162295,0.111485
ClC1=C(Br)C=CC=N1,11,0,1,3.4836,1240.9713,-720.6584741,0.068875,0.075677,0.076621,0.035867,-720.59026,-720.583458,-720.582514,-720.623268,-0.26802,-0.06121,0.164615,0.103405
BrC1=CC=C(C(F)(F)F)C=C1,15,0,1,0.841,2232.5291,-582.0850528,0.094786,0.103305,0.104249,0.05948,-581.99988,-581.99136,-581.990416,-582.035185,-0.26845,-0.05105,0.15975,0.1087
BrC1=CC=C(C#N)C=C1,13,0,1,3.1405,1633.8436,-337.2694467,0.088905,0.096483,0.097427,0.055235,-337.188323,-337.180745,-337.179801,-337.221993,-0.27472,-0.0705,0.17261,0.10211
ClC1=CC=C(C(C)=O)C=C1,17,0,1,2.7947,2115.8566,-844.4265272,0.128681,0.137643,0.138587,0.093841,-844.392116,-844.383153,-844.382209,-844.426955,-0.25861,-0.13108,0.194845,0.063765
CC(C1=CC=CC(Br)=C1)=O,17,0,1,4.0872,1963.3637,-397.6686937,0.128006,0.137238,0.138183,0.091997,-397.561095,-397.551863,-397.550919,-397.597104,-0.25554,-0.08041,0.167975,0.087565
BrC1=CC([N+]([O-])=O)=CC=C1,14,0,1,5.6331,1873.4602,-449.4940401,0.092862,0.101156,0.102101,0.057552,-449.44901,-449.440716,-449.439771,-449.48432,-0.27702,-0.13314,0.20508,0.07194
BrC(C=C1)=CC=C1OC,16,0,1,2.2943,1663.3651,-359.5489749,0.123119,0.131466,0.13241,0.08864,-359.439363,-359.431016,-359.430071,-359.473842,-0.2352,-0.0316,0.1334,0.1018
IC1=CC=CC=C1OC,16,0,1,2.8768,1615.6609,-357.5856253,0.123033,0.131446,0.13239,0.08793,-357.475709,-357.467297,-357.466353,-357.510813,-0.23438,-0.03464,0.13451,0.09987
BrC1=CC=CC=C1OC,16,0,1,3.0517,1383.8212,-359.5467176,0.123309,0.131584,0.132528,0.089018,-359.436555,-359.42828,-359.427336,-359.470846,-0.23852,-0.02961,0.134065,0.104455
IC1=CC=C(Cl)C=C1,12,0,1,0.2801,1984.5612,-702.6633193,0.080533,0.087644,0.088588,0.046565,-702.584181,-702.57707,-702.576126,-702.618148,-0.24767,-0.04532,0.146495,0.101175
IC1=CC=C(Br)C=C1,12,0,1,0.2434,1130.1966,-255.8418584,0.079786,0.087199,0.088143,0.044675,-255.763911,-255.756498,-255.755554,-255.799022,-0.24661,-0.04541,0.14601,0.1006
ClC1=CC=CC(C)=N1,14,0,1,3.3856,1254.9237,-747.2123759,0.106672,0.113807,0.114751,0.074484,-747.118271,-747.111137,-747.110193,-747.15046,-0.26421,-0.05306,0.158635,0.105575
IC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,18,0,1,1.2857,4135.205,-917.1846317,0.098783,0.11026,0.111204,0.059061,-917.091503,-917.080026,-917.079081,-917.131224,-0.26908,-0.0673,0.16819,0.10089
ClC1=CC=C2C(N=CC=C2C)=C1,20,0,1,3.9304,2596.6321,-900.8629521,0.154165,0.163638,0.164582,0.119066,-900.722273,-900.712801,-900.711856,-900.757372,-0.24554,-0.07482,0.16018,0.08536
IC1=CC=NC(Cl)C1,11,0,1,2.4435,1796.0008,-718.6892739,0.068584,0.075531,0.076475,0.034653,-718.633127,-718.62618,-718.625235,-718.667057,-0.2727,-0.06802,0.17036,0.10234
IC1=CN=CC=N1,10,0,1,1.2553,1071.0365,-275.1357123,0.066191,0.071876,0.07282,0.034471,-275.072351,-275.066667,-275.065723,-275.104071,-0.26485,-0.08054,0.172695,0.092155
BrC1=CC=CC=C1I,12,0,1,2.3484,1325.4167,-255.834506,0.079727,0.087111,0.088055,0.044784,-255.758911,-255.751527,-255.750583,-255.793855,-0.25118,-0.0555,0.15334,0.09784
IC1=CC=C(I)C=C1,12,0,1,0.0005,1118.8551,-253.8797524,0.079503,0.087064,0.088008,0.043571,-253.801948,-253.794387,-253.793443,-253.83788,-0.24339,-0.04979,0.14659,0.0968
IC1=CC=CC=C1I,12,0,1,2.0669,1427.9768,-253.8700894,0.079433,0.086955,0.087899,0.043715,-253.796487,-253.788965,-253.788021,-253.832205,-0.24914,-0.06433,0.156735,0.092405
BrC(C=C1)=CC=C1C2=CC=CC=C2,22,0,1,2.0573,3411.5393,-476.1010159,0.171543,0.181947,0.182892,0.133648,-475.932115,-475.921711,-475.920767,-475.97001,-0.23463,-0.04749,0.14106,0.09357
BrC1=CC(C(F)(F)F)=CC=C1,15,0,1,2.2195,2080.1976,-582.0902841,0.09484,0.103329,0.104273,0.059732,-581.999312,-581.990823,-581.989879,-582.03442,-0.26792,-0.05162,0.15977,0.10815
IC1=CC=C(C(C)C)C=C1,21,0,1,4.4263,2518.6968,-360.6552994,0.174998,0.18521,0.186155,0.137272,-360.851419,-360.841206,-360.840262,-360.889145,-0.16249,-0.02805,0.09527,0.06722
BrC1=CC=CC(OC)=N1,12,0,1,4.7226,1636.2231,-2894.639205,0.083186,0.089753,0.090698,0.051108,-2894.574978,-2894.56841,-2894.567466,-2894.607056,-0.25936,-0.05958,0.15947,0.09989
IC1=CC=C(C2=CC=CC=C2)C=C1,22,0,1,1.869,4016.8519,-474.1387242,0.171272,0.181821,0.182766,0.132568,-473.970087,-473.959538,-473.958594,-474.008791,-0.23186,-0.04778,0.13982,0.09204
IC1=CC(Cl)=CC=C1,12,0,1,1.6306,1811.9759,-702.6631377,0.08054,0.087629,0.088573,0.046558,-702.584147,-702.577058,-702.576114,-702.618129,-0.2533,-0.05055,0.151925,0.101375
IC1=CC=C(F)C=C1,12,0,1,0.1109,1520.7292,-342.3102605,0.081851,0.088588,0.089532,0.048791,-342.230017,-342.223281,-342.222337,-342.263078,-0.24762,-0.04414,0.14588,0.10174
IC1=CC(F)=CC(F)=C1,12,0,1,0.4471,1743.4727,-441.548406,0.07356,0.081122,0.082066,0.03926,-441.477944,-441.470382,-441.469438,-441.512244,-0.26161,-0.05692,0.159265,0.102345
BrC1=CC=C(Cl)C=C1,12,0,1,0.0405,1608.8835,-704.6257996,0.080799,0.087773,0.088717,0.047645,-704.546142,-704.539168,-704.538224,-704.579296,-0.2543,-0.0407,0.1475,0.1068
BrC1=CC2=CC=CC=C2C=C1,18,0,1,2.0362,2055.1841,-398.6829983,0.137406,0.145725,0.146669,0.102883,-398.547394,-398.539076,-398.538131,-398.581917,-0.2315,-0.05805,0.144775,0.086725
IC1=CC(OC)=CC=C1,16,0,1,2.0588,1864.8439,-357.5903243,0.122889,0.131337,0.132281,0.087645,-357.477958,-357.46951,-357.468566,-357.513202,-0.24711,-0.04173,0.14442,0.10269
IC1=CC=CC2=C1C=CC=C2,18,0,1,1.5804,2072.5793,-396.716654,0.137204,0.145644,0.146588,0.101973,-396.584062,-396.575622,-396.574678,-396.619293,-0.22772,-0.05853,0.143125,0.084595
IC1=CC=C(C(F)(F)F)C=C1,15,0,1,1.1165,2734.7969,-580.1286166,0.09453,0.104115,0.10506,0.05532,-580.037844,-580.028258,-580.027314,-580.077054,-0.25958,-0.05107,0.155325,0.104255
CC1=CC=C(Br)C=C1,15,0,1,2.3514,1300.1721,-284.3506237,0.117869,0.125528,0.126473,0.083754,-284.236241,-284.228582,-284.227638,-284.270356,-0.24388,-0.02663,0.135255,0.108625
BrC1=CC(C)=CC=N1,14,0,1,4.1835,1197.2159,-300.3928624,0.105999,0.112644,0.113588,0.073681,-300.287504,-300.280859,-300.279915,-300.319822,-0.26123,-0.0476,0.154415,0.106815
IC1=CC=C(C=C1)NCC2=CC=CC=C2,24,0,1,2.0715,4348.1529,-529.4763214,0.187542,0.199571,0.200515,0.146285,-529.303323,-529.291295,-529.29035,-529.34458,-0.22978,-0.03787,0.133825,0.095955
IC1=CC=CC(F)=C1,12,0,1,1.5801,1436.8909,-342.3100127,0.081909,0.088618,0.089562,0.048854,-342.230224,-342.223514,-342.22257,-342.263278,-0.25276,-0.04737,0.150065,0.102695
IC1=CC=CC([N+]([O-])=O)=C1,14,0,1,3.5449,2153.3534,-447.4835822,0.092614,0.101042,0.101986,0.056507,-447.48719,-447.478762,-447.477818,-447.523296,-0.26534,-0.19092,0.22813,0.03721
IC1=CC=C(C=C1C#N)C,16,0,1,4.8452,2029.0825,-374.491295,0.116027,0.125641,0.126585,0.078447,-374.51744,-374.507825,-374.506881,-374.55502,-0.25582,-0.13496,0.19539,0.06043
BrC1=CC=C(C=C1)[N+]([O-])=O,14,0,1,3.8656,1939.1491,-449.5395318,0.092897,0.101187,0.102131,0.05765,-449.450008,-449.441718,-449.440773,-449.485254,-0.28581,-0.11754,0.201675,0.084135
BrC1=CC=CC(C(O)=O)=C1,15,0,1,3.9198,1811.222,-433.4896761,0.104761,0.11349,0.114434,0.069161,-433.49976,-433.491031,-433.490087,-433.53536,-0.27205,-0.14611,0.20908,0.06297
BrC1=CC=C(C=C1)Cl,12,0,1,0.0405,1608.8835,-704.6257996,0.080799,0.087773,0.088717,0.047645,-704.546142,-704.539168,-704.538224,-704.579296,-0.2543,-0.0407,0.1475,0.1068
CC1=CC=CC=C1Br,15,0,1,1.578,1114.2169,-284.3511117,0.118338,0.125667,0.126611,0.085605,-284.237016,-284.229687,-284.228743,-284.269749,-0.2489,-0.02521,0.137055,0.111845
BrC1=CC=CC(C)=C1,15,0,1,2.121,1238.0822,-284.3510671,0.117927,0.125539,0.126483,0.084084,-284.236514,-284.228902,-284.227957,-284.270356,-0.24877,-0.02698,0.137875,0.110895
BrC1=CC=C(C=C1)C(C)(C)C,24,0,1,2.49,2436.309,-402.2947583,,,,,,,,,-0.24249,-0.02424,0.133365,0.109125
ClC1=CC=C(C(OC)=O)C=N1,17,0,1,2.2046,2718.5863,-935.6698601,0.122205,0.132081,0.133025,0.085686,-935.671703,-935.661827,-935.660883,-935.708222,-0.27637,-0.1452,0.210785,0.065585
BrC1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,34,0,1,1.722,5926.7496,-762.4530678,0.268571,0.284886,0.28583,0.221824,-762.246629,-762.230314,-762.22937,-762.293376,-0.22994,-0.04106,0.1355,0.09444
BrC1=CC=C(F)C=C1,12,0,1,0.1157,1225.4015,-344.2725108,0.082121,0.088723,0.089667,0.049875,-344.191945,-344.185343,-344.184399,-344.224192,-0.25441,-0.03957,0.14699,0.10742
ClC1=C(I)C=CC=C1,12,0,1,2.4482,1480.151,-702.6580799,0.08053,0.087597,0.088541,0.046707,-702.58013,-702.573063,-702.572118,-702.613953,-0.25133,-0.05077,0.15105,0.10028
IC1=C(OC)C=CC=C1,13,0,1,2.4584,1289.157,-318.2834501,0.094109,0.10114,0.102084,0.061022,-318.200353,-318.193322,-318.192377,-318.23344,-0.24649,-0.03968,0.143085,0.103405
FC(C=C1)=CC=C1OC2=CC=CC=C2,23,0,1,1.6962,3225.3424,-637.7800271,0.177035,0.187877,0.188821,0.138341,-637.613534,-637.602692,-637.601747,-637.652228,-0.25214,-0.03574,0.14394,0.1082
IC1=CC=C(C(OCC)=O)C=C1,21,0,1,2.5166,2224.3528,-499.367038,0.172272,0.182329,0.183274,0.135833,-499.30951,-499.299452,-499.298508,-499.345949,-0.261,-0.12758,0.19429,0.06671
IC1=C(C(OC)=O)C=CC=C1,18,0,1,3.3401,2275.4457,-470.8389128,0.132979,0.143404,0.144348,0.094444,-470.819626,-470.809201,-470.808257,-470.858161,-0.24105,-0.13305,0.18705,0.054
CC1=C(I)C=CC=C1C,18,0,1,1.8669,1678.2408,-321.7027435,0.146119,0.155129,0.156073,0.110742,-321.564829,-321.555819,-321.554875,-321.600206,-0.23974,-0.0331,0.13642,0.10332
IC1=CC=CC=N1,11,0,1,3.2095,1114.239,-259.0964408,0.07819,0.083976,0.08492,0.046451,-259.0296,-259.023814,-259.02287,-259.061338,-0.25611,-0.05683,0.15647,0.09964
CC1=CSC=C1,12,0,1,0.8368,664.399,-592.3300574,0.094528,0.100296,0.10124,0.064928,-592.241979,-592.236211,-592.235267,-592.271579,-0.23608,-0.01167,0.123875,0.112205
BrC1=CC(C(F)(F)F)=CC=N1,14,0,1,1.5496,2036.9244,-598.128046,0.082891,0.091257,0.092201,0.047803,-598.045748,-598.037382,-598.036438,-598.080836,-0.28103,-0.0808,0.180915,0.100115
BrC1=C(C(F)(F)F)C=CC=N1,14,0,1,3.5672,1702.7975,-598.1082711,0.082927,0.092104,0.093048,0.0467,-598.041294,-598.032118,-598.031174,-598.077521,-0.27983,-0.07324,0.176535,0.103295
BrC#CC1=CC=C(C)C=C1,17,0,1,1.6324,2561.8398,-360.4905055,0.12775,0.137717,0.138662,0.089041,-360.362756,-360.352788,-360.351844,-360.401464,-0.23178,-0.04108,0.13643,0.09535
CC1=C(I)C=CC=C1,15,0,1,1.6649,1043.6954,-282.3926392,0.118098,0.125507,0.126451,0.08465,-282.274541,-282.267132,-282.266188,-282.307989,-0.24393,-0.04387,0.1439,0.10003
CCCCC#CBr,16,0,1,1.4417,1931.9758,-247.3708643,0.133166,0.142192,0.143136,0.097463,-247.237699,-247.228672,-247.227728,-247.273402,-0.25868,-0.02634,0.14251,0.11617
ClC1=CC=C([N+]([O-])=O)C=C1,14,0,1,3.4077,2301.3724,-896.3749118,0.093569,0.10157,0.102514,0.059475,-896.281343,-896.273342,-896.272398,-896.315437,-0.28756,-0.11449,0.201025,0.086535
IC1=CC(C)=CC(C)=C1,18,0,1,2.3089,1913.2384,-321.7128773,0.144982,0.15382,0.154764,0.108232,-321.567896,-321.559057,-321.558113,-321.604646,-0.2405,-0.04168,0.14109,0.09941
IC1=CC=C([N+]([O-])=O)C=C1,14,0,1,3.6796,2138.9606,-447.5807384,0.092629,0.101055,0.101999,0.056589,-447.488109,-447.479684,-447.47874,-447.524149,-0.27267,-0.11468,0.193675,0.078995
IC1=CC=C(C#N)C=C1,13,0,1,3.3154,1967.9707,-335.3150274,0.088647,0.096357,0.097301,0.054831,-335.226381,-335.218671,-335.217726,-335.260196,-0.26511,-0.07623,0.17067,0.09444
IC1=CC=C(C)C=C1,15,0,1,2.3368,1293.6905,-282.3918518,0.117551,0.124472,0.125416,0.084384,-282.274301,-282.26738,-282.266436,-282.307468,-0.23952,-0.04362,0.14157,0.09795
IC1=CC=C(N)C=C1,14,0,1,3.4826,1579.7614,-298.4297671,0.106758,0.114153,0.115097,0.073352,-298.323009,-298.315614,-298.31467,-298.356415,-0.21471,-0.03912,0.126915,0.087795
IC1=CC=C(OC)C=C1,15,0,1,1.6649,1043.6954,-282.3926392,0.118098,0.125507,0.126451,0.08465,-282.274541,-282.267132,-282.266188,-282.307989,-0.24393,-0.04387,0.1439,0.10003
IC1=CC=CC(C(F)(F)F)=C1,15,0,1,2.598,2707.7738,-580.1320328,0.094588,0.104137,0.105081,0.055691,-580.037444,-580.027896,-580.026952,-580.076341,-0.26155,-0.05847,0.16001,0.10154
BrC#CC1=CC=C(OC)C=C1,18,0,1,1.7095,3109.93,-435.6945863,0.133113,0.143705,0.14465,0.094813,-435.566741,-435.556149,-435.555204,-435.605041,-0.2338,-0.04268,0.13824,0.09556
IC1=CC=CC=C1,12,0,1,1.8314,797.0348,-243.0711991,0.09017,0.096062,0.097007,0.058401,-242.981029,-242.975137,-242.974193,-243.012798,-0.24649,-0.04577,0.14613,0.10036
IC1=CC=CC=C1O,13,0,1,2.9347,1298.7996,-318.2906634,0.094099,0.101178,0.102122,0.060959,-318.196564,-318.189486,-318.188542,-318.229705,-0.23561,-0.0412,0.138405,0.097205
IC1=CN=CC=C1,11,0,1,2.1251,767.2801,-259.1062035,0.078419,0.084193,0.085137,0.046692,-259.027785,-259.022011,-259.021067,-259.059512,-0.25825,-0.05377,0.15601,0.10224
CC1=CC(I)=CC=C1,15,0,1,2.1238,1212.761,-282.3920592,0.117566,0.12447,0.125414,0.0844,-282.274493,-282.267589,-282.266645,-282.30766,-0.24331,-0.04399,0.14365,0.09966
CCCCCCC#CBr,22,0,1,1.4916,3607.8561,-326.0044832,0.190392,0.202101,0.203045,0.150278,-325.814092,-325.802382,-325.801438,-325.854205,-0.25824,-0.02617,0.142205,0.116035
BrC#CC1=CC=CC=C1,14,0,1,1.0264,1946.2761,-321.1697669,0.100393,0.108392,0.109336,0.065632,-321.069374,-321.061375,-321.06043,-321.104135,-0.23893,-0.04543,0.14218,0.09675
BrC#CC1=CC=CC=N1,13,0,1,2.6117,1893.5213,-337.2031633,0.088436,0.096294,0.097238,0.053777,-337.114728,-337.106869,-337.105925,-337.149386,-0.24992,-0.05912,0.15452,0.0954
BrC#CC1=CC=NC=C1,13,0,1,1.9826,1923.8184,-337.2045998,0.088606,0.096477,0.097421,0.053924,-337.115994,-337.108123,-337.107179,-337.150675,-0.26205,-0.06702,0.164535,0.097515
BrC1=CC=C([N+]([O-])=O)C=C1,14,0,1,3.3129,2281.6089,-449.5429152,0.092886,0.101174,0.102118,0.057659,-449.450029,-449.441741,-449.440797,-449.485256,-0.28431,-0.11543,0.19987,0.08444
BrC1=CC=C(C(C)=O)C=C1,17,0,1,2.4785,2450.4566,-397.6896387,0.127978,0.137235,0.138179,0.091952,-397.56166,-397.552403,-397.551459,-397.597687,-0.26567,-0.07928,0.172475,0.093195
IC1=CC=C(C(C)=O)C=C1,17,0,1,2.5223,2485.8364,-395.7273112,0.127725,0.137116,0.13806,0.090898,-395.599587,-395.590195,-395.589251,-395.636413,-0.25708,-0.07914,0.16811,0.08897
CC1=C(I)C=CC([N+]([O-])=O)=C1,17,0,1,4.0239,2558.6089,-486.9030023,0.120547,0.130529,0.131473,0.082855,-486.782455,-486.772474,-486.771529,-486.820147,-0.27007,-0.11162,0.190845,0.079225
