FileName,number_of_atoms,charge,multiplicity,dipole,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,homo_energy,lumo_energy,electronegativity,hardness
CC(P(CC1=CC=CC(CP(C(C)(C)C)C(C)(C)C)=N1)C(C)(C)C)(C)C,69,0,1,1.5196,14665.9883,-1639.719329,0.621406,0.653581,0.654525,0.560943,-1639.300846,-1639.268671,-1639.267726,-1639.361309,-0.18423,-0.03331,0.10877,0.07546
C12=CC=CC=C1C=CC(NCC3=CC=CC=C3)=C2C4=C(C=CC=C5)C5=CC=C4NCC6=CC=CC=C6,64,0,1,0.2713,16364.5158,-1422.079863,0.528685,0.557436,0.55838,0.465138,-1421.593015,-1421.564264,-1421.56332,-1421.656562,-0.20927,-0.04971,0.12949,0.07978
OC1=C(/C=N\C2=C(C3=C(C=CC=C4)C4=CC=C3/N=C\C5=CC=CC=C5O)C6=CC=CC=C6C=C2)C=CC=C1,62,0,1,2.6293,17307.9419,-1569.847639,0.487652,0.518132,0.519076,0.422228,-1569.655325,-1569.624845,-1569.623901,-1569.720748,-0.18971,-0.10688,0.148295,0.041415
CNCC(O)=O,13,0,1,5.1683,735.0801,-323.7225059,0.107602,0.11447,0.115414,0.076638,-323.638516,-323.631649,-323.630705,-323.669481,-0.24318,-0.03747,0.140325,0.102855
CN(C)CC(O)=O.Cl,18,0,1,6.0775,1417.9943,-823.8439771,0.144633,0.155996,0.15694,0.105924,-823.728125,-823.716762,-823.715818,-823.766833,-0.22429,-0.04399,0.13414,0.09015
CN(C)CCN(C)C,24,0,1,1.441,1348.8047,-347.7485217,0.223693,0.234055,0.234999,0.187978,-347.550979,-347.540617,-347.539673,-347.586694,-0.20844,0.00428,0.10208,0.10636
COCCOC,16,0,1,0,804.192,-308.8554717,0.141993,0.150014,0.150958,0.108874,-308.734372,-308.726352,-308.725407,-308.767491,-0.2548,0.00883,0.122985,0.131815
CC(C)(NCCNC(C)(C)C)C,36,0,1,0.2431,2980.4755,-504.9181424,0.33743,0.352893,0.353837,0.295269,-504.728408,-504.712945,-504.712001,-504.77057,-0.20935,0.00232,0.103515,0.105835
CN(C)C(O)=O.Cl,15,0,1,2.9475,1154.1158,-784.4761952,0.117098,0.126846,0.12779,0.079991,-784.470789,-784.461041,-784.460097,-784.507896,-0.24932,-0.03964,0.14448,0.10484
O=C(C(C)(C)C)CC(C(C)(C)C)=O,33,0,1,5.2372,3205.5807,-581.6911155,0.293298,0.308214,0.309159,0.252431,-581.427885,-581.412969,-581.412025,-581.468752,-0.22304,-0.04105,0.132045,0.090995
CN[C@H]1[C@@H](CCCC1)NC,28,0,1,1.7402,1685.19,-425.179038,0.262139,0.273117,0.274061,0.225733,-424.948976,-424.937998,-424.937054,-424.985382,-0.21613,-0.00038,0.108255,0.107875
C/C(C1=CC=CC(/C(C)=N/C2=CC=CC=C2)=N1)=N\C3=CC=CC=C3,43,0,1,5.1914,11889.2828,-975.6273416,0.349164,0.370112,0.371057,0.295909,-975.621154,-975.600205,-975.599261,-975.674408,-0.20343,-0.14395,0.17369,0.02974
