FileName,number_of_atoms,charge,multiplicity,dipole,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,homo_energy,lumo_energy,electronegativity,hardness
OC1=CC=CC=C1Cl,13,0,1,3.0559,1082.3256,-767.0810748,0.095042,0.101725,0.10267,0.063843,-766.986033,-766.979349,-766.978405,-767.017231,-0.2389,-0.02942,0.13416,0.10474
OC1=CC=C(C=CC=C2)C2=C1,12,0,1,3.6847,643.0577,-323.5213721,0.092698,0.098132,0.099076,0.063725,-323.428674,-323.423241,-323.422296,-323.457647,-0.24702,-0.04003,0.143525,0.103495
OC1=CN=CC=C1,19,0,1,1.6331,1713.3021,-461.140553,0.151223,0.159348,0.160293,0.118486,-460.98933,-460.981205,-460.98026,-461.022067,-0.21467,-0.04817,0.13142,0.08325
OC1=CC=C(C#N)C=C1,14,0,1,4.2624,1307.5943,-399.7206798,0.103182,0.110471,0.111415,0.07142,-399.633131,-399.625843,-399.624898,-399.664894,-0.27913,-0.05935,0.16924,0.10989
OC1=CC=C([N+]([O-])=O)C=C1,15,0,1,5.6209,1542.7403,-512.0037189,0.107246,0.115198,0.116142,0.073998,-511.896473,-511.888521,-511.887577,-511.929721,-0.26786,-0.10063,0.184245,0.083615
ClC1=CC=C(O)C=C1,13,0,1,2.0362,1274.8494,-767.078556,0.093982,0.100329,0.101273,0.062906,-766.984574,-766.978227,-766.977283,-767.01565,-0.25004,-0.03276,0.1414,0.10864
OC1=CC=CC(C)=C1,16,0,1,1.0822,976.2596,-346.8081836,0.131854,0.13839,0.139335,0.101408,-346.67633,-346.669793,-346.668849,-346.706776,-0.2285,-0.0164,0.12245,0.10605
OC1=CC=CC2=C1C=CC=C2,19,0,1,1.2935,1559.6273,-461.1415402,0.151724,0.159717,0.160661,0.119155,-460.989816,-460.981823,-460.980879,-461.022386,-0.21141,-0.04383,0.12762,0.08379
C#CC1=CC=CC=C1,14,0,1,0.7219,952.6726,-308.4147732,0.109437,0.115891,0.116836,0.079014,-308.305388,-308.298934,-308.297989,-308.335811,-0.24264,-0.04485,0.143745,0.098895
ClC(C=C2)=CC=C2B1OCC(C)(C)CO1,29,0,1,5.3716,8039.0501,-1063.246471,0.237378,0.251357,0.252302,0.195951,-1063.028829,-1063.014849,-1063.013905,-1063.070256,-0.24903,-0.03888,0.143955,0.105075
OB(O)C1=CC=C(C(C)=O)C=C1,21,0,1,5.4711,2853.1331,-560.9500771,0.162312,0.173659,0.174603,0.12443,-560.789792,-560.778445,-560.777501,-560.827674,-0.25677,-0.07806,0.167415,0.089355
OB(O)C1=CC=CN=C1,15,0,1,4.1554,1979.6131,-424.3284024,0.11298,0.120739,0.121683,0.08028,-424.21704,-424.209281,-424.208337,-424.24974,-0.25581,-0.0477,0.151755,0.104055
CC/C([B@@]2OC1=CC=CC=C1O2)=C\CC,30,0,1,0.4918,4386.1892,-641.7519587,0.250437,0.264755,0.265699,0.207259,-641.503998,-641.48968,-641.488736,-641.547176,-0.2327,-0.03912,0.13591,0.09679
FC1=CC=C(B2OCC(C)(C)CO2)C=C1,29,0,1,4.9676,7643.3786,-702.8923948,0.23866,0.252265,0.253209,0.198126,-702.672536,-702.658931,-702.657987,-702.713069,-0.24881,-0.03115,0.13998,0.10883
C#CC1=CC=CC=N1,13,0,1,2.4959,1815.7128,-324.4480265,0.097526,0.103848,0.104792,0.067155,-324.350908,-324.344586,-324.343642,-324.381279,-0.25514,-0.06014,0.15764,0.0975
C#CCC1CCCCC1,23,0,1,0.7863,2352.6904,-351.3529433,0.20837,0.217558,0.218502,0.174311,-351.144723,-351.135536,-351.134592,-351.178783,-0.26779,-0.00069,0.13424,0.13355
