si no,Smiles
1,a
2,C#CC1=CC=CC=C1
3,COC1=CC=C(C#C)C=C1
4,CC1=CC=C(C#C)C=C1
5,C#CC1=CC=C(OC)C=C1
6,C#CC1=CN=CC=C1
7,IC1=CC=C(C(C)=O)C=C1
8,OB(C1=CC=CC=C1)O
9,OB(O)C1=CC=C(OC)C=C1
10,OB(O)C1=CC=C(Cl)C=C1
11,ClC(C=C2)=CC=C2B1OCC(C)(C)CO1
12,OB(O)C1=CC=C(C=O)C=C1
13,OB(O)C1=CC=C(C(C)=O)C=C1
14,OB(O)C1=CC=CN=C1
15,CC/C([B@@]2OC1=CC=CC=C1O2)=C\CC
16,OB(C1=CC=C(OC)C=C1)O
17,OB(C1=CC=C(C=O)C=C1)O
18,ClC1=CC=C(B(O)O)C=C1
19,FC1=CC=C(B2OCC(C)(C)CO2)C=C1
20,OB(C1=CN=CC=C1)O
21,COC1=CC=C(B(O)O)C=C1
22,O=CC1=CC=C(B(O)O)C=C1
23,C#CC1=CC=CC=N1
24,C#CCC1CCCCC1
25,C#CCOC
26,C#CC1=CC=C(C)C=C1
27,CC1=CC=C(C#C[H])C=C1
28,BrC#CC1=CC=C(OC)C=C1
29,BrC#CC1=CC=C(C)C=C1
30,CCCCCCC#CBr
31,BrC#CC1=CC=CC=N1
32,[H]C#CC1=CC=CC=C1
33,[H]C#CC1=CC=C(OC)C=C1
34,[H]C#CC1=CC=C(C)C=C1
35,OB(O)C1=CC=CC=C1
36,FC1=CC=C(B(O)O)C=C1
37,OB(O)C1=CC=CC=C1C
38,OB(O)C1=CC=CC(Cl)=C1
39,CC(C)C(B(O)O)\C=C/CC
40,OC1=CC=CC=C1
41,OC1=CC=C(OC)C=C1
42,CC1=CC=CC=C1O
43,OC1=CC=C(C)C=C1
44,OC1=CC=C(Cl)C=C1
45,OC1=CC=CC=C1Cl
46,OC1=CC=C(C=CC=C2)C2=C1
47,OC1=CN=CC=C1
48,OC1=CC=C(C#N)C=C1
49,OC1=CC=C([N+]([O-])=O)C=C1
50,OC1=CC=CC=C1C
51,OC1=CC=CC=C1 
52,ClC1=CC=C(O)C=C1
53,CC1=CC=C(O)C=C1
54,ClC1=CC=CC=C1O
55,OC1=CC=CC(C)=C1
56,OC1=CC=CC2=C1C=CC=C2
57,OC1=CC2=C(C=CC=C2)C=C1
58,OC1=C(C)C=CC=C1
59,OC1=CC(C)=CC=C1
,ClC1=C(O)C=CC=C1
