,Substrate,Origin,Predicted Yields,Global baseline,Yields
0,BrC#CC1=CC=C(C)C=C1,scope,48.35540504260438,45.002049180327866,97.0
1,BrC#CC1=CC=C(C)C=C1,scope,43.85239689572441,45.002049180327866,53.0
2,BrC#CC1=CC=C(C)C=C1,scope,50.216444316926555,45.002049180327866,89.0
3,BrC#CC1=CC=C(C)C=C1,scope,49.11651755339231,45.002049180327866,97.0
4,BrC#CC1=CC=C(C)C=C1,scope,44.045867656457006,45.002049180327866,53.0
5,BrC#CC1=CC=C(C)C=C1,scope,53.434316375414284,45.002049180327866,89.0
6,BrC#CC1=CC=C(C)C=C1,scope,49.0467939334282,45.002049180327866,97.0
7,BrC#CC1=CC=C(C)C=C1,scope,42.002243002667456,45.002049180327866,53.0
8,BrC#CC1=CC=C(C)C=C1,scope,53.422868569596915,45.002049180327866,89.0
9,BrC#CC1=CC=C(C)C=C1,scope,55.354529757923245,45.002049180327866,97.0
10,BrC#CC1=CC=C(C)C=C1,scope,44.05680698683468,45.002049180327866,53.0
11,BrC#CC1=CC=C(C)C=C1,scope,51.37082520379593,45.002049180327866,89.0
12,BrC#CC1=CC=C(C)C=C1,scope,49.359271951851866,45.002049180327866,97.0
13,BrC#CC1=CC=C(C)C=C1,scope,43.45271739669845,45.002049180327866,53.0
14,BrC#CC1=CC=C(C)C=C1,scope,49.83790522642903,45.002049180327866,89.0
15,BrC#CC1=CC=C(C)C=C1,scope,47.82734004903616,45.002049180327866,97.0
16,BrC#CC1=CC=C(C)C=C1,scope,42.517013165466324,45.002049180327866,53.0
17,BrC#CC1=CC=C(C)C=C1,scope,48.46409003189643,45.002049180327866,89.0
18,BrC#CC1=CC=C(C)C=C1,scope,50.34418527371583,45.002049180327866,97.0
19,BrC#CC1=CC=C(C)C=C1,scope,44.04315047454659,45.002049180327866,53.0
20,BrC#CC1=CC=C(C)C=C1,scope,54.9693752477014,45.002049180327866,89.0
21,BrC#CC1=CC=C(C)C=C1,scope,48.37777781012883,45.002049180327866,97.0
22,BrC#CC1=CC=C(C)C=C1,scope,41.36476984940453,45.002049180327866,53.0
23,BrC#CC1=CC=C(C)C=C1,scope,50.88158802283121,45.002049180327866,89.0
24,BrC#CC1=CC=C(C)C=C1,scope,47.07138222296292,45.002049180327866,97.0
25,BrC#CC1=CC=C(C)C=C1,scope,43.97727100890464,45.002049180327866,53.0
26,BrC#CC1=CC=C(C)C=C1,scope,46.206864317971906,45.002049180327866,89.0
27,BrC#CC1=CC=C(C)C=C1,scope,46.61101954304576,45.002049180327866,97.0
28,BrC#CC1=CC=C(C)C=C1,scope,43.343682440478716,45.002049180327866,53.0
29,BrC#CC1=CC=C(C)C=C1,scope,51.86014519027435,45.002049180327866,89.0
30,BrC#CC1=CC=C(OC)C=C1,scope,44.82924271462971,45.17659137577002,52.0
31,BrC#CC1=CC=C(OC)C=C1,scope,78.0820776942356,45.17659137577002,83.0
32,BrC#CC1=CC=C(OC)C=C1,scope,62.96,45.17659137577002,21.0
33,BrC#CC1=CC=C(OC)C=C1,scope,42.31370627738275,45.17659137577002,43.0
34,BrC#CC1=CC=C(OC)C=C1,scope,38.922357197583594,45.17659137577002,52.0
35,BrC#CC1=CC=C(OC)C=C1,scope,73.92609629588678,45.17659137577002,83.0
36,BrC#CC1=CC=C(OC)C=C1,scope,59.69347254901961,45.17659137577002,21.0
37,BrC#CC1=CC=C(OC)C=C1,scope,37.85465378412586,45.17659137577002,43.0
38,BrC#CC1=CC=C(OC)C=C1,scope,42.117091308909075,45.17659137577002,52.0
39,BrC#CC1=CC=C(OC)C=C1,scope,75.88365422077923,45.17659137577002,83.0
40,BrC#CC1=CC=C(OC)C=C1,scope,60.31174945887446,45.17659137577002,21.0
41,BrC#CC1=CC=C(OC)C=C1,scope,41.57552209398787,45.17659137577002,43.0
42,BrC#CC1=CC=C(OC)C=C1,scope,40.71105646804176,45.17659137577002,52.0
43,BrC#CC1=CC=C(OC)C=C1,scope,81.79097115384614,45.17659137577002,83.0
44,BrC#CC1=CC=C(OC)C=C1,scope,62.267908496732026,45.17659137577002,21.0
45,BrC#CC1=CC=C(OC)C=C1,scope,35.97831932773109,45.17659137577002,43.0
46,BrC#CC1=CC=C(OC)C=C1,scope,42.76609745517641,45.17659137577002,52.0
47,BrC#CC1=CC=C(OC)C=C1,scope,75.12233535543405,45.17659137577002,83.0
48,BrC#CC1=CC=C(OC)C=C1,scope,52.60029166666667,45.17659137577002,21.0
49,BrC#CC1=CC=C(OC)C=C1,scope,39.97244528126336,45.17659137577002,43.0
50,BrC#CC1=CC=C(OC)C=C1,scope,44.25344009061115,45.17659137577002,52.0
51,BrC#CC1=CC=C(OC)C=C1,scope,78.32757105263157,45.17659137577002,83.0
52,BrC#CC1=CC=C(OC)C=C1,scope,52.11175,45.17659137577002,21.0
53,BrC#CC1=CC=C(OC)C=C1,scope,40.98734660154088,45.17659137577002,43.0
54,BrC#CC1=CC=C(OC)C=C1,scope,44.24997622657663,45.17659137577002,52.0
55,BrC#CC1=CC=C(OC)C=C1,scope,79.7707638888889,45.17659137577002,83.0
56,BrC#CC1=CC=C(OC)C=C1,scope,59.989375,45.17659137577002,21.0
57,BrC#CC1=CC=C(OC)C=C1,scope,39.41552886988275,45.17659137577002,43.0
58,BrC#CC1=CC=C(OC)C=C1,scope,44.83439175090326,45.17659137577002,52.0
59,BrC#CC1=CC=C(OC)C=C1,scope,76.56716311452118,45.17659137577002,83.0
