,Yields,Predicted Yields
0,54.0,68.431145
1,43.0,65.54586
2,48.0,35.196686
3,95.0,52.785183
4,1.0,50.638004
5,80.0,74.5044
6,1.0,28.996567
7,5.0,24.97735
8,65.0,85.38055
9,0.0,54.404324
10,15.0,39.953533
11,42.0,51.99978
12,83.0,48.318798
13,70.0,43.003246
14,77.0,34.432858
15,1.0,32.463417
16,38.0,22.93924
17,50.0,53.46914
18,43.0,65.47118
19,81.0,54.002453
20,10.0,22.85363
21,10.0,32.575146
22,50.0,32.78991
23,1.0,22.129175
24,29.0,30.47175
25,40.0,21.025253
26,49.0,69.689964
27,60.0,54.998188
28,41.0,47.943665
29,1.0,39.68621
30,72.0,56.9982
31,60.0,48.379803
32,36.0,47.46686
33,0.0,49.13957
34,1.0,54.701313
35,1.0,50.367603
36,83.0,42.70973
37,0.0,51.91
38,76.0,55.408043
39,1.0,51.08422
40,86.0,52.17944
41,1.0,22.091742
42,1.0,28.124615
43,0.0,25.074207
44,0.0,63.816402
45,99.0,54.73245
46,69.0,109.1491
47,75.0,50.60055
48,82.0,66.21137
49,67.0,32.67137
50,1.0,54.607765
51,1.0,54.82896
52,0.0,32.73961
53,45.0,59.664234
54,0.0,50.40518
55,50.0,55.44131
56,58.0,51.366165
57,49.0,51.38784
58,38.0,22.140347
59,72.0,56.84338
60,0.0,36.975475
61,31.0,32.753284
62,0.0,22.049685
63,67.0,51.336445
64,66.0,59.217793
65,71.0,65.88247
66,92.0,32.660553
67,44.0,52.093857
68,1.0,35.21256
69,70.0,50.701958
70,66.0,48.889454
71,18.0,102.27471
72,84.0,108.07526
73,49.0,47.76269
74,23.0,54.765976
75,34.0,32.568443
76,1.0,51.055897
77,77.0,59.66379
78,64.0,44.766766
79,0.0,21.960466
80,45.0,35.608093
81,46.0,25.875078
82,82.0,47.93066
83,83.0,59.624767
84,91.0,70.30642
85,73.0,65.46911
86,91.0,60.123333
87,1.0,22.072916
88,99.0,57.51538
89,63.0,45.59044
90,82.0,50.638004
91,1.0,46.526268
92,18.0,51.897247
93,89.0,83.805504
94,1.0,32.707085
95,0.0,50.885765
96,36.0,50.459167
97,66.0,52.132256
98,70.0,50.47993
99,1.0,37.17935
100,0.0,53.832047
101,55.0,30.433113
102,25.0,19.258474
103,80.0,40.9301
104,60.0,30.432957
105,35.0,61.903435
106,53.0,27.246893
107,58.0,40.498474
108,78.0,43.865948
109,82.0,32.04914
110,76.0,47.927288
111,83.0,24.283112
112,54.0,85.02328
113,49.0,80.14238
114,58.0,40.84517
