,Dataset,model_type,featurisation_method,epoch,learnin_rate,test_size,iterations,Stratification_type,RMSE,MAE,Correlation,Accuracy,Precession
0,Dataset,knn_classification,DRFP,,,0.2,10,mechanism,,,,0.47150259067357514,0.4821296296296296
1,Dataset,knn_classification,DRFP,,,0.2,10,substrate_class,,,,0.43523316062176165,0.4191008953317952
2,Dataset,knn_classification,DRFP,,,0.2,10,coupling_partner_class,,,,0.47668393782383417,0.47080459770114946
3,Dataset,knn_classification,DRFP,,,0.2,10,no_stratification,,,,0.40414507772020725,0.3635158540442563
4,Dataset,knn_classification,RDkitFP,,,0.2,10,mechanism,,,,0.41450777202072536,0.41763624666850474
5,Dataset,knn_classification,RDkitFP,,,0.2,10,substrate_class,,,,0.42487046632124353,0.4370770471573959
6,Dataset,knn_classification,RDkitFP,,,0.2,10,coupling_partner_class,,,,0.39896373056994816,0.3749489379084967
7,Dataset,knn_classification,RDkitFP,,,0.2,10,no_stratification,,,,0.35751295336787564,0.3453667953667954
8,Dataset,knn_classification_HPT,DRFP,,,0.2,10,mechanism,,,,0.47150259067357514,0.47766414141414143
9,Dataset,knn_classification_HPT,DRFP,,,0.2,10,substrate_class,,,,0.47668393782383417,0.4595767575322812
10,Dataset,knn_classification_HPT,DRFP,,,0.2,10,coupling_partner_class,,,,0.5181347150259067,0.4956053459119497
11,Dataset,knn_classification_HPT,DRFP,,,0.2,10,no_stratification,,,,0.44041450777202074,0.402744181157366
12,Dataset,knn_classification_HPT,RDkitFP,,,0.2,10,mechanism,,,,0.43523316062176165,0.4279258098223615
13,Dataset,knn_classification_HPT,RDkitFP,,,0.2,10,substrate_class,,,,0.37305699481865284,0.389968623108158
14,Dataset,knn_classification_HPT,RDkitFP,,,0.2,10,coupling_partner_class,,,,0.44041450777202074,0.41148574561403506
15,Dataset,knn_classification_HPT,RDkitFP,,,0.2,10,no_stratification,,,,0.44559585492227977,0.40758414830525114
16,Dataset,knn_classification,DRFP,,,0.2,5,mechanism,,,,0.44559585492227977,0.45682513315403683
17,Dataset,knn_classification,DRFP,,,0.2,5,substrate_class,,,,0.44041450777202074,0.43921703296703296
18,Dataset,knn_classification,DRFP,,,0.2,5,coupling_partner_class,,,,0.44559585492227977,0.4414267098906687
19,Dataset,knn_classification,DRFP,,,0.2,5,no_stratification,,,,0.5077720207253886,0.5147811646124989
20,Dataset,knn_classification,RDkitFP,,,0.2,5,mechanism,,,,0.40414507772020725,0.3968715518919972
21,Dataset,knn_classification,RDkitFP,,,0.2,5,substrate_class,,,,0.43005181347150256,0.43272293215872804
22,Dataset,knn_classification,RDkitFP,,,0.2,5,coupling_partner_class,,,,0.44559585492227977,0.4396362344123538
