,Yields,Predicted Yields
0,POOR YIELD,POOR YIELD
1,POOR YIELD,BELOW AVERAGE YIELD
2,BELOW AVERAGE YIELD,AVERAGE YIELD
3,POOR YIELD,GOOD YIELD
4,GOOD YIELD,BELOW AVERAGE YIELD
5,GOOD YIELD,GOOD YIELD
6,GOOD YIELD,GOOD YIELD
7,BELOW AVERAGE YIELD,GOOD YIELD
8,AVERAGE YIELD,GOOD YIELD
9,AVERAGE YIELD,GOOD YIELD
10,GOOD YIELD,GOOD YIELD
11,AVERAGE YIELD,GOOD YIELD
12,AVERAGE YIELD,AVERAGE YIELD
13,GOOD YIELD,GOOD YIELD
14,GOOD YIELD,AVERAGE YIELD
15,POOR YIELD,BELOW AVERAGE YIELD
16,BELOW AVERAGE YIELD,GOOD YIELD
17,AVERAGE YIELD,BELOW AVERAGE YIELD
18,AVERAGE YIELD,AVERAGE YIELD
19,GOOD YIELD,GOOD YIELD
20,AVERAGE YIELD,GOOD YIELD
21,GOOD YIELD,GOOD YIELD
22,POOR YIELD,POOR YIELD
23,AVERAGE YIELD,AVERAGE YIELD
24,GOOD YIELD,GOOD YIELD
25,AVERAGE YIELD,AVERAGE YIELD
26,GOOD YIELD,GOOD YIELD
27,BELOW AVERAGE YIELD,AVERAGE YIELD
28,POOR YIELD,BELOW AVERAGE YIELD
29,POOR YIELD,BELOW AVERAGE YIELD
30,AVERAGE YIELD,GOOD YIELD
31,GOOD YIELD,GOOD YIELD
32,AVERAGE YIELD,GOOD YIELD
33,BELOW AVERAGE YIELD,GOOD YIELD
34,AVERAGE YIELD,AVERAGE YIELD
35,GOOD YIELD,BELOW AVERAGE YIELD
36,GOOD YIELD,GOOD YIELD
37,BELOW AVERAGE YIELD,AVERAGE YIELD
38,BELOW AVERAGE YIELD,GOOD YIELD
39,AVERAGE YIELD,AVERAGE YIELD
40,AVERAGE YIELD,AVERAGE YIELD
41,AVERAGE YIELD,GOOD YIELD
42,GOOD YIELD,AVERAGE YIELD
43,AVERAGE YIELD,GOOD YIELD
44,GOOD YIELD,GOOD YIELD
45,BELOW AVERAGE YIELD,GOOD YIELD
46,AVERAGE YIELD,GOOD YIELD
47,POOR YIELD,POOR YIELD
48,BELOW AVERAGE YIELD,GOOD YIELD
49,BELOW AVERAGE YIELD,AVERAGE YIELD
50,POOR YIELD,AVERAGE YIELD
51,AVERAGE YIELD,GOOD YIELD
52,POOR YIELD,POOR YIELD
53,BELOW AVERAGE YIELD,AVERAGE YIELD
54,BELOW AVERAGE YIELD,AVERAGE YIELD
55,AVERAGE YIELD,AVERAGE YIELD
56,AVERAGE YIELD,GOOD YIELD
57,BELOW AVERAGE YIELD,AVERAGE YIELD
58,POOR YIELD,POOR YIELD
59,AVERAGE YIELD,AVERAGE YIELD
60,GOOD YIELD,GOOD YIELD
61,BELOW AVERAGE YIELD,AVERAGE YIELD
62,GOOD YIELD,GOOD YIELD
63,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
64,AVERAGE YIELD,AVERAGE YIELD
65,BELOW AVERAGE YIELD,AVERAGE YIELD
66,POOR YIELD,POOR YIELD
67,AVERAGE YIELD,AVERAGE YIELD
68,AVERAGE YIELD,GOOD YIELD
69,AVERAGE YIELD,GOOD YIELD
70,POOR YIELD,GOOD YIELD
71,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
72,BELOW AVERAGE YIELD,POOR YIELD
73,BELOW AVERAGE YIELD,GOOD YIELD
