,Yields,Predicted Yields
0,AVERAGE YIELD,GOOD YIELD
1,GOOD YIELD,POOR YIELD
2,POOR YIELD,POOR YIELD
3,BELOW AVERAGE YIELD,GOOD YIELD
4,GOOD YIELD,AVERAGE YIELD
5,GOOD YIELD,AVERAGE YIELD
6,GOOD YIELD,GOOD YIELD
7,GOOD YIELD,BELOW AVERAGE YIELD
8,POOR YIELD,POOR YIELD
9,GOOD YIELD,GOOD YIELD
10,POOR YIELD,POOR YIELD
11,BELOW AVERAGE YIELD,GOOD YIELD
12,GOOD YIELD,POOR YIELD
13,AVERAGE YIELD,AVERAGE YIELD
14,BELOW AVERAGE YIELD,AVERAGE YIELD
15,POOR YIELD,AVERAGE YIELD
16,GOOD YIELD,AVERAGE YIELD
17,POOR YIELD,POOR YIELD
18,BELOW AVERAGE YIELD,GOOD YIELD
19,BELOW AVERAGE YIELD,POOR YIELD
20,GOOD YIELD,GOOD YIELD
21,POOR YIELD,BELOW AVERAGE YIELD
22,GOOD YIELD,AVERAGE YIELD
23,AVERAGE YIELD,GOOD YIELD
24,POOR YIELD,AVERAGE YIELD
25,GOOD YIELD,GOOD YIELD
26,POOR YIELD,GOOD YIELD
27,POOR YIELD,GOOD YIELD
28,BELOW AVERAGE YIELD,AVERAGE YIELD
29,GOOD YIELD,GOOD YIELD
30,AVERAGE YIELD,AVERAGE YIELD
31,GOOD YIELD,AVERAGE YIELD
32,BELOW AVERAGE YIELD,GOOD YIELD
33,BELOW AVERAGE YIELD,GOOD YIELD
34,BELOW AVERAGE YIELD,GOOD YIELD
35,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
36,GOOD YIELD,GOOD YIELD
37,AVERAGE YIELD,GOOD YIELD
38,GOOD YIELD,GOOD YIELD
39,GOOD YIELD,BELOW AVERAGE YIELD
40,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
41,BELOW AVERAGE YIELD,GOOD YIELD
42,POOR YIELD,GOOD YIELD
43,BELOW AVERAGE YIELD,POOR YIELD
44,AVERAGE YIELD,AVERAGE YIELD
45,GOOD YIELD,AVERAGE YIELD
46,AVERAGE YIELD,POOR YIELD
47,BELOW AVERAGE YIELD,GOOD YIELD
48,GOOD YIELD,GOOD YIELD
49,GOOD YIELD,GOOD YIELD
50,GOOD YIELD,POOR YIELD
51,POOR YIELD,POOR YIELD
52,POOR YIELD,POOR YIELD
53,POOR YIELD,GOOD YIELD
54,GOOD YIELD,GOOD YIELD
55,GOOD YIELD,GOOD YIELD
56,BELOW AVERAGE YIELD,POOR YIELD
57,GOOD YIELD,GOOD YIELD
58,AVERAGE YIELD,GOOD YIELD
59,AVERAGE YIELD,AVERAGE YIELD
60,AVERAGE YIELD,GOOD YIELD
61,GOOD YIELD,GOOD YIELD
62,AVERAGE YIELD,AVERAGE YIELD
63,POOR YIELD,BELOW AVERAGE YIELD
64,GOOD YIELD,GOOD YIELD
65,POOR YIELD,POOR YIELD
66,POOR YIELD,AVERAGE YIELD
67,GOOD YIELD,AVERAGE YIELD
68,BELOW AVERAGE YIELD,POOR YIELD
69,GOOD YIELD,POOR YIELD
70,GOOD YIELD,GOOD YIELD
71,BELOW AVERAGE YIELD,GOOD YIELD
72,GOOD YIELD,GOOD YIELD
73,GOOD YIELD,AVERAGE YIELD
74,POOR YIELD,POOR YIELD
75,GOOD YIELD,GOOD YIELD
76,AVERAGE YIELD,AVERAGE YIELD
77,POOR YIELD,BELOW AVERAGE YIELD
78,GOOD YIELD,GOOD YIELD
79,GOOD YIELD,GOOD YIELD
80,BELOW AVERAGE YIELD,POOR YIELD
81,BELOW AVERAGE YIELD,AVERAGE YIELD
82,POOR YIELD,POOR YIELD
83,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
84,AVERAGE YIELD,GOOD YIELD
85,BELOW AVERAGE YIELD,GOOD YIELD
86,POOR YIELD,AVERAGE YIELD
87,GOOD YIELD,GOOD YIELD
88,GOOD YIELD,POOR YIELD
89,POOR YIELD,POOR YIELD
90,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
91,BELOW AVERAGE YIELD,POOR YIELD
92,POOR YIELD,AVERAGE YIELD
93,POOR YIELD,POOR YIELD
94,POOR YIELD,POOR YIELD
95,AVERAGE YIELD,AVERAGE YIELD
96,POOR YIELD,POOR YIELD
97,AVERAGE YIELD,GOOD YIELD
98,POOR YIELD,POOR YIELD
99,POOR YIELD,AVERAGE YIELD
100,GOOD YIELD,POOR YIELD
101,BELOW AVERAGE YIELD,GOOD YIELD
102,POOR YIELD,AVERAGE YIELD
103,BELOW AVERAGE YIELD,AVERAGE YIELD
104,AVERAGE YIELD,AVERAGE YIELD
105,AVERAGE YIELD,GOOD YIELD
106,POOR YIELD,POOR YIELD
107,BELOW AVERAGE YIELD,GOOD YIELD
108,POOR YIELD,POOR YIELD
109,AVERAGE YIELD,AVERAGE YIELD
110,AVERAGE YIELD,BELOW AVERAGE YIELD
111,BELOW AVERAGE YIELD,GOOD YIELD
112,GOOD YIELD,BELOW AVERAGE YIELD
113,GOOD YIELD,AVERAGE YIELD
114,POOR YIELD,AVERAGE YIELD
115,AVERAGE YIELD,POOR YIELD
116,BELOW AVERAGE YIELD,AVERAGE YIELD
117,GOOD YIELD,GOOD YIELD
118,AVERAGE YIELD,GOOD YIELD
119,BELOW AVERAGE YIELD,POOR YIELD
120,BELOW AVERAGE YIELD,AVERAGE YIELD
121,AVERAGE YIELD,GOOD YIELD
122,GOOD YIELD,GOOD YIELD
123,GOOD YIELD,GOOD YIELD
124,POOR YIELD,POOR YIELD
125,GOOD YIELD,GOOD YIELD
126,GOOD YIELD,GOOD YIELD
127,BELOW AVERAGE YIELD,AVERAGE YIELD
128,POOR YIELD,AVERAGE YIELD
129,POOR YIELD,AVERAGE YIELD
130,GOOD YIELD,GOOD YIELD
131,BELOW AVERAGE YIELD,AVERAGE YIELD
132,AVERAGE YIELD,AVERAGE YIELD
133,GOOD YIELD,AVERAGE YIELD
134,AVERAGE YIELD,AVERAGE YIELD
135,AVERAGE YIELD,AVERAGE YIELD
136,AVERAGE YIELD,AVERAGE YIELD
137,AVERAGE YIELD,AVERAGE YIELD
138,BELOW AVERAGE YIELD,AVERAGE YIELD
139,GOOD YIELD,GOOD YIELD
140,GOOD YIELD,GOOD YIELD
141,AVERAGE YIELD,AVERAGE YIELD
142,AVERAGE YIELD,AVERAGE YIELD
143,GOOD YIELD,GOOD YIELD
144,GOOD YIELD,AVERAGE YIELD
145,BELOW AVERAGE YIELD,POOR YIELD
146,GOOD YIELD,GOOD YIELD
147,POOR YIELD,AVERAGE YIELD
148,AVERAGE YIELD,GOOD YIELD
149,GOOD YIELD,AVERAGE YIELD
150,GOOD YIELD,AVERAGE YIELD
151,GOOD YIELD,GOOD YIELD
152,AVERAGE YIELD,GOOD YIELD
153,GOOD YIELD,AVERAGE YIELD
154,AVERAGE YIELD,AVERAGE YIELD
155,GOOD YIELD,AVERAGE YIELD
156,POOR YIELD,AVERAGE YIELD
157,AVERAGE YIELD,GOOD YIELD
158,POOR YIELD,POOR YIELD
159,BELOW AVERAGE YIELD,POOR YIELD
160,BELOW AVERAGE YIELD,POOR YIELD
161,GOOD YIELD,POOR YIELD
162,AVERAGE YIELD,GOOD YIELD
163,POOR YIELD,BELOW AVERAGE YIELD
164,GOOD YIELD,AVERAGE YIELD
165,GOOD YIELD,GOOD YIELD
166,AVERAGE YIELD,AVERAGE YIELD
167,POOR YIELD,GOOD YIELD
168,GOOD YIELD,BELOW AVERAGE YIELD
169,POOR YIELD,AVERAGE YIELD
170,BELOW AVERAGE YIELD,GOOD YIELD
171,GOOD YIELD,GOOD YIELD
172,AVERAGE YIELD,BELOW AVERAGE YIELD
173,GOOD YIELD,BELOW AVERAGE YIELD
174,GOOD YIELD,AVERAGE YIELD
175,AVERAGE YIELD,GOOD YIELD
176,GOOD YIELD,GOOD YIELD
177,POOR YIELD,POOR YIELD
178,POOR YIELD,GOOD YIELD
179,GOOD YIELD,GOOD YIELD
180,AVERAGE YIELD,POOR YIELD
181,GOOD YIELD,GOOD YIELD
182,POOR YIELD,AVERAGE YIELD
183,GOOD YIELD,GOOD YIELD
184,AVERAGE YIELD,AVERAGE YIELD
185,BELOW AVERAGE YIELD,AVERAGE YIELD
186,BELOW AVERAGE YIELD,AVERAGE YIELD
187,GOOD YIELD,POOR YIELD
188,POOR YIELD,GOOD YIELD
189,AVERAGE YIELD,GOOD YIELD
