,Yields,Predicted Yields
0,GOOD YIELD,BELOW AVERAGE YIELD
1,AVERAGE YIELD,GOOD YIELD
2,GOOD YIELD,AVERAGE YIELD
3,GOOD YIELD,AVERAGE YIELD
4,GOOD YIELD,POOR YIELD
5,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
6,POOR YIELD,AVERAGE YIELD
7,GOOD YIELD,AVERAGE YIELD
8,AVERAGE YIELD,BELOW AVERAGE YIELD
9,GOOD YIELD,AVERAGE YIELD
10,POOR YIELD,GOOD YIELD
11,POOR YIELD,POOR YIELD
12,POOR YIELD,AVERAGE YIELD
13,GOOD YIELD,AVERAGE YIELD
14,GOOD YIELD,GOOD YIELD
15,POOR YIELD,BELOW AVERAGE YIELD
16,AVERAGE YIELD,GOOD YIELD
17,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
18,POOR YIELD,BELOW AVERAGE YIELD
19,GOOD YIELD,GOOD YIELD
20,POOR YIELD,GOOD YIELD
21,BELOW AVERAGE YIELD,POOR YIELD
22,AVERAGE YIELD,AVERAGE YIELD
23,POOR YIELD,POOR YIELD
24,AVERAGE YIELD,GOOD YIELD
25,AVERAGE YIELD,AVERAGE YIELD
26,AVERAGE YIELD,AVERAGE YIELD
27,AVERAGE YIELD,BELOW AVERAGE YIELD
28,AVERAGE YIELD,BELOW AVERAGE YIELD
29,BELOW AVERAGE YIELD,AVERAGE YIELD
30,POOR YIELD,AVERAGE YIELD
31,AVERAGE YIELD,AVERAGE YIELD
32,GOOD YIELD,GOOD YIELD
33,BELOW AVERAGE YIELD,AVERAGE YIELD
34,POOR YIELD,POOR YIELD
35,POOR YIELD,AVERAGE YIELD
36,GOOD YIELD,AVERAGE YIELD
37,BELOW AVERAGE YIELD,AVERAGE YIELD
38,GOOD YIELD,GOOD YIELD
39,POOR YIELD,AVERAGE YIELD
40,GOOD YIELD,GOOD YIELD
41,BELOW AVERAGE YIELD,GOOD YIELD
42,GOOD YIELD,GOOD YIELD
43,GOOD YIELD,GOOD YIELD
44,AVERAGE YIELD,AVERAGE YIELD
45,GOOD YIELD,GOOD YIELD
46,POOR YIELD,POOR YIELD
47,BELOW AVERAGE YIELD,GOOD YIELD
48,POOR YIELD,AVERAGE YIELD
49,GOOD YIELD,AVERAGE YIELD
50,POOR YIELD,AVERAGE YIELD
51,POOR YIELD,BELOW AVERAGE YIELD
52,GOOD YIELD,GOOD YIELD
53,GOOD YIELD,GOOD YIELD
54,POOR YIELD,AVERAGE YIELD
55,AVERAGE YIELD,GOOD YIELD
56,BELOW AVERAGE YIELD,POOR YIELD
57,POOR YIELD,POOR YIELD
58,AVERAGE YIELD,GOOD YIELD
59,POOR YIELD,POOR YIELD
60,BELOW AVERAGE YIELD,AVERAGE YIELD
61,POOR YIELD,POOR YIELD
62,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
63,BELOW AVERAGE YIELD,POOR YIELD
64,POOR YIELD,AVERAGE YIELD
65,GOOD YIELD,AVERAGE YIELD
66,GOOD YIELD,GOOD YIELD
67,AVERAGE YIELD,BELOW AVERAGE YIELD
68,GOOD YIELD,POOR YIELD
69,BELOW AVERAGE YIELD,GOOD YIELD
70,BELOW AVERAGE YIELD,AVERAGE YIELD
71,GOOD YIELD,BELOW AVERAGE YIELD
72,POOR YIELD,BELOW AVERAGE YIELD
73,GOOD YIELD,AVERAGE YIELD
74,POOR YIELD,AVERAGE YIELD
75,POOR YIELD,POOR YIELD
76,BELOW AVERAGE YIELD,AVERAGE YIELD
77,GOOD YIELD,GOOD YIELD
78,AVERAGE YIELD,GOOD YIELD
79,BELOW AVERAGE YIELD,POOR YIELD
80,POOR YIELD,GOOD YIELD
81,GOOD YIELD,AVERAGE YIELD
82,AVERAGE YIELD,GOOD YIELD
83,BELOW AVERAGE YIELD,GOOD YIELD
84,AVERAGE YIELD,GOOD YIELD
85,POOR YIELD,GOOD YIELD
86,GOOD YIELD,AVERAGE YIELD
87,AVERAGE YIELD,BELOW AVERAGE YIELD
88,GOOD YIELD,GOOD YIELD
89,GOOD YIELD,GOOD YIELD
90,AVERAGE YIELD,AVERAGE YIELD
91,AVERAGE YIELD,POOR YIELD
92,GOOD YIELD,GOOD YIELD
93,GOOD YIELD,AVERAGE YIELD
94,AVERAGE YIELD,POOR YIELD
95,GOOD YIELD,POOR YIELD
96,AVERAGE YIELD,GOOD YIELD
97,POOR YIELD,POOR YIELD
98,AVERAGE YIELD,AVERAGE YIELD
99,GOOD YIELD,AVERAGE YIELD
100,AVERAGE YIELD,AVERAGE YIELD
101,BELOW AVERAGE YIELD,POOR YIELD
102,GOOD YIELD,BELOW AVERAGE YIELD
103,GOOD YIELD,GOOD YIELD
104,POOR YIELD,AVERAGE YIELD
105,BELOW AVERAGE YIELD,AVERAGE YIELD
106,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
107,GOOD YIELD,GOOD YIELD
108,GOOD YIELD,GOOD YIELD
109,AVERAGE YIELD,POOR YIELD
110,GOOD YIELD,GOOD YIELD
111,AVERAGE YIELD,AVERAGE YIELD
112,GOOD YIELD,AVERAGE YIELD
113,POOR YIELD,POOR YIELD
114,AVERAGE YIELD,AVERAGE YIELD
115,AVERAGE YIELD,AVERAGE YIELD
116,GOOD YIELD,AVERAGE YIELD
117,AVERAGE YIELD,AVERAGE YIELD
118,AVERAGE YIELD,GOOD YIELD
119,GOOD YIELD,GOOD YIELD
120,BELOW AVERAGE YIELD,AVERAGE YIELD
121,GOOD YIELD,AVERAGE YIELD
122,GOOD YIELD,AVERAGE YIELD
123,GOOD YIELD,AVERAGE YIELD
124,GOOD YIELD,GOOD YIELD
125,GOOD YIELD,AVERAGE YIELD
126,POOR YIELD,BELOW AVERAGE YIELD
127,GOOD YIELD,GOOD YIELD
128,GOOD YIELD,GOOD YIELD
129,AVERAGE YIELD,BELOW AVERAGE YIELD
130,AVERAGE YIELD,GOOD YIELD
131,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
132,BELOW AVERAGE YIELD,AVERAGE YIELD
133,GOOD YIELD,GOOD YIELD
134,GOOD YIELD,AVERAGE YIELD
135,POOR YIELD,BELOW AVERAGE YIELD
136,POOR YIELD,POOR YIELD
137,GOOD YIELD,GOOD YIELD
138,AVERAGE YIELD,GOOD YIELD
139,POOR YIELD,BELOW AVERAGE YIELD
140,POOR YIELD,AVERAGE YIELD
141,BELOW AVERAGE YIELD,AVERAGE YIELD
142,POOR YIELD,GOOD YIELD
143,POOR YIELD,AVERAGE YIELD
144,GOOD YIELD,GOOD YIELD
145,AVERAGE YIELD,BELOW AVERAGE YIELD
146,GOOD YIELD,GOOD YIELD
