,Yields,Predicted Yields
0,BELOW AVERAGE YIELD,POOR YIELD
1,AVERAGE YIELD,AVERAGE YIELD
2,GOOD YIELD,GOOD YIELD
3,POOR YIELD,AVERAGE YIELD
4,POOR YIELD,BELOW AVERAGE YIELD
5,POOR YIELD,POOR YIELD
6,POOR YIELD,BELOW AVERAGE YIELD
7,GOOD YIELD,GOOD YIELD
8,AVERAGE YIELD,AVERAGE YIELD
9,GOOD YIELD,AVERAGE YIELD
10,AVERAGE YIELD,GOOD YIELD
11,GOOD YIELD,AVERAGE YIELD
12,GOOD YIELD,GOOD YIELD
13,GOOD YIELD,GOOD YIELD
14,GOOD YIELD,BELOW AVERAGE YIELD
15,BELOW AVERAGE YIELD,POOR YIELD
16,POOR YIELD,GOOD YIELD
17,BELOW AVERAGE YIELD,AVERAGE YIELD
18,GOOD YIELD,POOR YIELD
19,BELOW AVERAGE YIELD,AVERAGE YIELD
20,GOOD YIELD,AVERAGE YIELD
21,GOOD YIELD,GOOD YIELD
22,GOOD YIELD,AVERAGE YIELD
23,GOOD YIELD,AVERAGE YIELD
24,AVERAGE YIELD,GOOD YIELD
25,GOOD YIELD,GOOD YIELD
26,BELOW AVERAGE YIELD,GOOD YIELD
27,GOOD YIELD,GOOD YIELD
28,GOOD YIELD,GOOD YIELD
29,POOR YIELD,AVERAGE YIELD
30,GOOD YIELD,POOR YIELD
31,AVERAGE YIELD,GOOD YIELD
32,AVERAGE YIELD,AVERAGE YIELD
33,BELOW AVERAGE YIELD,AVERAGE YIELD
34,GOOD YIELD,GOOD YIELD
35,POOR YIELD,GOOD YIELD
36,POOR YIELD,BELOW AVERAGE YIELD
37,POOR YIELD,POOR YIELD
38,AVERAGE YIELD,BELOW AVERAGE YIELD
39,POOR YIELD,POOR YIELD
40,GOOD YIELD,GOOD YIELD
41,AVERAGE YIELD,AVERAGE YIELD
42,BELOW AVERAGE YIELD,GOOD YIELD
43,POOR YIELD,AVERAGE YIELD
44,POOR YIELD,POOR YIELD
45,POOR YIELD,BELOW AVERAGE YIELD
46,BELOW AVERAGE YIELD,GOOD YIELD
47,GOOD YIELD,GOOD YIELD
48,AVERAGE YIELD,GOOD YIELD
49,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
50,POOR YIELD,BELOW AVERAGE YIELD
51,POOR YIELD,POOR YIELD
52,AVERAGE YIELD,GOOD YIELD
53,BELOW AVERAGE YIELD,AVERAGE YIELD
54,GOOD YIELD,BELOW AVERAGE YIELD
55,GOOD YIELD,AVERAGE YIELD
56,AVERAGE YIELD,GOOD YIELD
57,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
58,POOR YIELD,POOR YIELD
59,POOR YIELD,POOR YIELD
60,AVERAGE YIELD,GOOD YIELD
61,BELOW AVERAGE YIELD,AVERAGE YIELD
62,AVERAGE YIELD,GOOD YIELD
63,POOR YIELD,POOR YIELD
64,AVERAGE YIELD,GOOD YIELD
65,BELOW AVERAGE YIELD,AVERAGE YIELD
66,GOOD YIELD,GOOD YIELD
67,AVERAGE YIELD,GOOD YIELD
68,GOOD YIELD,AVERAGE YIELD
69,GOOD YIELD,GOOD YIELD
70,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
71,POOR YIELD,AVERAGE YIELD
72,GOOD YIELD,GOOD YIELD
73,AVERAGE YIELD,GOOD YIELD
74,GOOD YIELD,GOOD YIELD
75,AVERAGE YIELD,GOOD YIELD
76,GOOD YIELD,GOOD YIELD
77,POOR YIELD,GOOD YIELD
78,POOR YIELD,POOR YIELD
79,BELOW AVERAGE YIELD,AVERAGE YIELD
80,AVERAGE YIELD,GOOD YIELD
81,GOOD YIELD,AVERAGE YIELD
82,AVERAGE YIELD,AVERAGE YIELD
83,POOR YIELD,GOOD YIELD
84,AVERAGE YIELD,POOR YIELD
85,GOOD YIELD,GOOD YIELD
86,POOR YIELD,POOR YIELD
87,GOOD YIELD,GOOD YIELD
88,BELOW AVERAGE YIELD,POOR YIELD
89,GOOD YIELD,GOOD YIELD
90,BELOW AVERAGE YIELD,AVERAGE YIELD
91,POOR YIELD,BELOW AVERAGE YIELD
92,AVERAGE YIELD,AVERAGE YIELD
93,POOR YIELD,GOOD YIELD
94,AVERAGE YIELD,GOOD YIELD
95,POOR YIELD,POOR YIELD
96,GOOD YIELD,GOOD YIELD
97,GOOD YIELD,GOOD YIELD
98,GOOD YIELD,AVERAGE YIELD
99,GOOD YIELD,GOOD YIELD
100,GOOD YIELD,GOOD YIELD
101,BELOW AVERAGE YIELD,POOR YIELD
102,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
103,POOR YIELD,POOR YIELD
104,BELOW AVERAGE YIELD,POOR YIELD
105,POOR YIELD,POOR YIELD
106,POOR YIELD,POOR YIELD
107,BELOW AVERAGE YIELD,POOR YIELD
108,GOOD YIELD,GOOD YIELD
109,POOR YIELD,BELOW AVERAGE YIELD
110,GOOD YIELD,GOOD YIELD
111,POOR YIELD,POOR YIELD
112,GOOD YIELD,GOOD YIELD
113,BELOW AVERAGE YIELD,GOOD YIELD
114,GOOD YIELD,GOOD YIELD
115,POOR YIELD,POOR YIELD
116,POOR YIELD,AVERAGE YIELD
117,BELOW AVERAGE YIELD,AVERAGE YIELD
118,AVERAGE YIELD,GOOD YIELD
119,GOOD YIELD,GOOD YIELD
120,GOOD YIELD,AVERAGE YIELD
121,AVERAGE YIELD,POOR YIELD
122,GOOD YIELD,GOOD YIELD
123,AVERAGE YIELD,AVERAGE YIELD
124,AVERAGE YIELD,GOOD YIELD
125,BELOW AVERAGE YIELD,POOR YIELD
126,BELOW AVERAGE YIELD,POOR YIELD
127,GOOD YIELD,AVERAGE YIELD
128,AVERAGE YIELD,AVERAGE YIELD
129,GOOD YIELD,GOOD YIELD
130,GOOD YIELD,AVERAGE YIELD
131,GOOD YIELD,GOOD YIELD
132,AVERAGE YIELD,AVERAGE YIELD
133,AVERAGE YIELD,AVERAGE YIELD
134,GOOD YIELD,AVERAGE YIELD
135,AVERAGE YIELD,BELOW AVERAGE YIELD
136,AVERAGE YIELD,GOOD YIELD
137,GOOD YIELD,AVERAGE YIELD
138,POOR YIELD,AVERAGE YIELD
139,AVERAGE YIELD,GOOD YIELD
140,BELOW AVERAGE YIELD,AVERAGE YIELD
141,GOOD YIELD,GOOD YIELD
142,BELOW AVERAGE YIELD,POOR YIELD
143,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
144,AVERAGE YIELD,GOOD YIELD
145,GOOD YIELD,GOOD YIELD
146,GOOD YIELD,GOOD YIELD
147,GOOD YIELD,GOOD YIELD
148,AVERAGE YIELD,AVERAGE YIELD
149,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
150,AVERAGE YIELD,AVERAGE YIELD
151,POOR YIELD,BELOW AVERAGE YIELD
152,AVERAGE YIELD,GOOD YIELD
