,Yields,Predicted Yields
0,POOR YIELD,BELOW AVERAGE YIELD
1,POOR YIELD,POOR YIELD
2,AVERAGE YIELD,BELOW AVERAGE YIELD
3,POOR YIELD,GOOD YIELD
4,GOOD YIELD,AVERAGE YIELD
5,GOOD YIELD,GOOD YIELD
6,GOOD YIELD,BELOW AVERAGE YIELD
7,GOOD YIELD,GOOD YIELD
8,BELOW AVERAGE YIELD,GOOD YIELD
9,AVERAGE YIELD,BELOW AVERAGE YIELD
10,POOR YIELD,GOOD YIELD
11,POOR YIELD,AVERAGE YIELD
12,AVERAGE YIELD,AVERAGE YIELD
13,GOOD YIELD,POOR YIELD
14,POOR YIELD,POOR YIELD
15,GOOD YIELD,GOOD YIELD
16,GOOD YIELD,POOR YIELD
17,AVERAGE YIELD,AVERAGE YIELD
18,AVERAGE YIELD,GOOD YIELD
19,POOR YIELD,GOOD YIELD
20,GOOD YIELD,AVERAGE YIELD
21,BELOW AVERAGE YIELD,AVERAGE YIELD
22,BELOW AVERAGE YIELD,AVERAGE YIELD
23,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
24,GOOD YIELD,GOOD YIELD
25,AVERAGE YIELD,BELOW AVERAGE YIELD
26,GOOD YIELD,GOOD YIELD
27,POOR YIELD,GOOD YIELD
28,GOOD YIELD,GOOD YIELD
29,GOOD YIELD,AVERAGE YIELD
30,POOR YIELD,AVERAGE YIELD
31,BELOW AVERAGE YIELD,AVERAGE YIELD
32,BELOW AVERAGE YIELD,GOOD YIELD
33,POOR YIELD,BELOW AVERAGE YIELD
34,AVERAGE YIELD,GOOD YIELD
35,GOOD YIELD,GOOD YIELD
36,POOR YIELD,BELOW AVERAGE YIELD
37,POOR YIELD,POOR YIELD
38,GOOD YIELD,GOOD YIELD
39,GOOD YIELD,GOOD YIELD
40,BELOW AVERAGE YIELD,GOOD YIELD
41,POOR YIELD,POOR YIELD
42,GOOD YIELD,GOOD YIELD
43,AVERAGE YIELD,GOOD YIELD
