,Yields,Predicted Yields
0,AVERAGE YIELD,GOOD YIELD
1,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
2,POOR YIELD,POOR YIELD
3,GOOD YIELD,BELOW AVERAGE YIELD
4,AVERAGE YIELD,POOR YIELD
5,POOR YIELD,POOR YIELD
6,GOOD YIELD,GOOD YIELD
7,AVERAGE YIELD,GOOD YIELD
8,POOR YIELD,POOR YIELD
9,AVERAGE YIELD,AVERAGE YIELD
10,GOOD YIELD,POOR YIELD
11,AVERAGE YIELD,AVERAGE YIELD
12,AVERAGE YIELD,GOOD YIELD
13,POOR YIELD,POOR YIELD
14,GOOD YIELD,POOR YIELD
15,GOOD YIELD,BELOW AVERAGE YIELD
16,GOOD YIELD,GOOD YIELD
17,GOOD YIELD,AVERAGE YIELD
18,POOR YIELD,AVERAGE YIELD
19,AVERAGE YIELD,GOOD YIELD
20,POOR YIELD,POOR YIELD
21,GOOD YIELD,AVERAGE YIELD
22,POOR YIELD,POOR YIELD
23,POOR YIELD,BELOW AVERAGE YIELD
24,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
25,AVERAGE YIELD,GOOD YIELD
26,POOR YIELD,AVERAGE YIELD
27,GOOD YIELD,GOOD YIELD
28,GOOD YIELD,GOOD YIELD
29,AVERAGE YIELD,GOOD YIELD
30,AVERAGE YIELD,AVERAGE YIELD
31,GOOD YIELD,BELOW AVERAGE YIELD
32,BELOW AVERAGE YIELD,POOR YIELD
33,GOOD YIELD,GOOD YIELD
34,POOR YIELD,POOR YIELD
35,GOOD YIELD,GOOD YIELD
36,AVERAGE YIELD,AVERAGE YIELD
37,GOOD YIELD,AVERAGE YIELD
38,BELOW AVERAGE YIELD,AVERAGE YIELD
39,AVERAGE YIELD,BELOW AVERAGE YIELD
40,AVERAGE YIELD,AVERAGE YIELD
41,GOOD YIELD,GOOD YIELD
42,GOOD YIELD,GOOD YIELD
43,GOOD YIELD,BELOW AVERAGE YIELD
44,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
45,GOOD YIELD,GOOD YIELD
46,GOOD YIELD,AVERAGE YIELD
47,POOR YIELD,AVERAGE YIELD
48,GOOD YIELD,GOOD YIELD
49,BELOW AVERAGE YIELD,AVERAGE YIELD
50,GOOD YIELD,GOOD YIELD
51,BELOW AVERAGE YIELD,AVERAGE YIELD
52,GOOD YIELD,AVERAGE YIELD
53,AVERAGE YIELD,BELOW AVERAGE YIELD
54,GOOD YIELD,GOOD YIELD
55,POOR YIELD,POOR YIELD
56,POOR YIELD,POOR YIELD
57,BELOW AVERAGE YIELD,AVERAGE YIELD
58,POOR YIELD,POOR YIELD
59,GOOD YIELD,GOOD YIELD
60,GOOD YIELD,AVERAGE YIELD
61,GOOD YIELD,GOOD YIELD
