,Yields,Predicted Yields
0,AVERAGE YIELD,GOOD YIELD
1,BELOW AVERAGE YIELD,AVERAGE YIELD
2,POOR YIELD,POOR YIELD
3,POOR YIELD,BELOW AVERAGE YIELD
4,GOOD YIELD,AVERAGE YIELD
5,GOOD YIELD,AVERAGE YIELD
6,BELOW AVERAGE YIELD,GOOD YIELD
7,POOR YIELD,AVERAGE YIELD
8,GOOD YIELD,BELOW AVERAGE YIELD
9,GOOD YIELD,GOOD YIELD
10,POOR YIELD,POOR YIELD
11,GOOD YIELD,AVERAGE YIELD
12,AVERAGE YIELD,BELOW AVERAGE YIELD
13,GOOD YIELD,GOOD YIELD
14,GOOD YIELD,BELOW AVERAGE YIELD
15,AVERAGE YIELD,GOOD YIELD
16,AVERAGE YIELD,POOR YIELD
17,GOOD YIELD,AVERAGE YIELD
18,POOR YIELD,GOOD YIELD
19,POOR YIELD,AVERAGE YIELD
20,GOOD YIELD,AVERAGE YIELD
21,GOOD YIELD,GOOD YIELD
22,AVERAGE YIELD,AVERAGE YIELD
23,GOOD YIELD,GOOD YIELD
24,AVERAGE YIELD,AVERAGE YIELD
25,BELOW AVERAGE YIELD,GOOD YIELD
26,BELOW AVERAGE YIELD,AVERAGE YIELD
27,BELOW AVERAGE YIELD,GOOD YIELD
28,GOOD YIELD,GOOD YIELD
29,POOR YIELD,POOR YIELD
30,BELOW AVERAGE YIELD,POOR YIELD
31,GOOD YIELD,POOR YIELD
32,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
33,POOR YIELD,BELOW AVERAGE YIELD
34,BELOW AVERAGE YIELD,GOOD YIELD
35,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
36,AVERAGE YIELD,BELOW AVERAGE YIELD
37,POOR YIELD,POOR YIELD
38,BELOW AVERAGE YIELD,GOOD YIELD
39,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
40,POOR YIELD,POOR YIELD
41,GOOD YIELD,GOOD YIELD
42,POOR YIELD,AVERAGE YIELD
43,POOR YIELD,BELOW AVERAGE YIELD
44,POOR YIELD,POOR YIELD
45,GOOD YIELD,GOOD YIELD
46,AVERAGE YIELD,GOOD YIELD
47,GOOD YIELD,BELOW AVERAGE YIELD
48,BELOW AVERAGE YIELD,GOOD YIELD
49,BELOW AVERAGE YIELD,AVERAGE YIELD
50,AVERAGE YIELD,AVERAGE YIELD
51,BELOW AVERAGE YIELD,GOOD YIELD
52,GOOD YIELD,AVERAGE YIELD
53,POOR YIELD,AVERAGE YIELD
54,GOOD YIELD,GOOD YIELD
55,POOR YIELD,POOR YIELD
56,GOOD YIELD,AVERAGE YIELD
57,POOR YIELD,BELOW AVERAGE YIELD
58,AVERAGE YIELD,AVERAGE YIELD
59,POOR YIELD,POOR YIELD
60,GOOD YIELD,AVERAGE YIELD
61,POOR YIELD,AVERAGE YIELD
62,AVERAGE YIELD,GOOD YIELD
63,BELOW AVERAGE YIELD,GOOD YIELD
64,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
65,GOOD YIELD,GOOD YIELD
66,AVERAGE YIELD,BELOW AVERAGE YIELD
67,POOR YIELD,POOR YIELD
68,GOOD YIELD,AVERAGE YIELD
69,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
70,BELOW AVERAGE YIELD,AVERAGE YIELD
71,POOR YIELD,GOOD YIELD
72,AVERAGE YIELD,AVERAGE YIELD
73,BELOW AVERAGE YIELD,POOR YIELD
74,GOOD YIELD,GOOD YIELD
75,BELOW AVERAGE YIELD,AVERAGE YIELD
