,Yields,Predicted Yields
0,GOOD YIELD,GOOD YIELD
1,POOR YIELD,AVERAGE YIELD
2,BELOW AVERAGE YIELD,AVERAGE YIELD
3,GOOD YIELD,GOOD YIELD
4,BELOW AVERAGE YIELD,AVERAGE YIELD
5,GOOD YIELD,GOOD YIELD
6,POOR YIELD,GOOD YIELD
7,GOOD YIELD,AVERAGE YIELD
8,GOOD YIELD,GOOD YIELD
9,POOR YIELD,BELOW AVERAGE YIELD
10,BELOW AVERAGE YIELD,AVERAGE YIELD
11,GOOD YIELD,AVERAGE YIELD
12,AVERAGE YIELD,GOOD YIELD
13,BELOW AVERAGE YIELD,GOOD YIELD
14,GOOD YIELD,AVERAGE YIELD
15,GOOD YIELD,AVERAGE YIELD
16,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
17,AVERAGE YIELD,BELOW AVERAGE YIELD
18,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
19,AVERAGE YIELD,AVERAGE YIELD
20,GOOD YIELD,GOOD YIELD
21,POOR YIELD,POOR YIELD
22,GOOD YIELD,GOOD YIELD
23,GOOD YIELD,GOOD YIELD
24,GOOD YIELD,GOOD YIELD
25,POOR YIELD,BELOW AVERAGE YIELD
26,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
27,GOOD YIELD,GOOD YIELD
28,GOOD YIELD,GOOD YIELD
29,GOOD YIELD,GOOD YIELD
30,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
31,POOR YIELD,GOOD YIELD
32,AVERAGE YIELD,AVERAGE YIELD
33,AVERAGE YIELD,GOOD YIELD
34,POOR YIELD,AVERAGE YIELD
35,GOOD YIELD,GOOD YIELD
36,BELOW AVERAGE YIELD,GOOD YIELD
37,AVERAGE YIELD,AVERAGE YIELD
38,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
39,POOR YIELD,POOR YIELD
40,GOOD YIELD,GOOD YIELD
41,AVERAGE YIELD,BELOW AVERAGE YIELD
42,POOR YIELD,GOOD YIELD
43,AVERAGE YIELD,POOR YIELD
44,AVERAGE YIELD,GOOD YIELD
45,GOOD YIELD,GOOD YIELD
46,GOOD YIELD,GOOD YIELD
47,POOR YIELD,GOOD YIELD
48,POOR YIELD,POOR YIELD
49,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
50,BELOW AVERAGE YIELD,AVERAGE YIELD
51,BELOW AVERAGE YIELD,AVERAGE YIELD
52,GOOD YIELD,GOOD YIELD
53,BELOW AVERAGE YIELD,POOR YIELD
54,AVERAGE YIELD,GOOD YIELD
55,AVERAGE YIELD,GOOD YIELD
56,POOR YIELD,POOR YIELD
57,AVERAGE YIELD,BELOW AVERAGE YIELD
58,GOOD YIELD,GOOD YIELD
59,AVERAGE YIELD,GOOD YIELD
60,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
61,POOR YIELD,POOR YIELD
62,POOR YIELD,POOR YIELD
63,POOR YIELD,POOR YIELD
64,AVERAGE YIELD,GOOD YIELD
65,AVERAGE YIELD,AVERAGE YIELD
66,BELOW AVERAGE YIELD,AVERAGE YIELD
67,AVERAGE YIELD,GOOD YIELD
68,GOOD YIELD,GOOD YIELD
69,AVERAGE YIELD,AVERAGE YIELD
70,GOOD YIELD,GOOD YIELD
71,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
72,GOOD YIELD,GOOD YIELD
73,GOOD YIELD,GOOD YIELD
74,GOOD YIELD,GOOD YIELD
75,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
76,AVERAGE YIELD,GOOD YIELD
77,AVERAGE YIELD,GOOD YIELD
78,AVERAGE YIELD,POOR YIELD
79,AVERAGE YIELD,AVERAGE YIELD
80,POOR YIELD,POOR YIELD
81,POOR YIELD,AVERAGE YIELD
82,POOR YIELD,POOR YIELD
83,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
84,POOR YIELD,BELOW AVERAGE YIELD
85,POOR YIELD,POOR YIELD
86,GOOD YIELD,GOOD YIELD
87,GOOD YIELD,GOOD YIELD
88,AVERAGE YIELD,AVERAGE YIELD
89,GOOD YIELD,AVERAGE YIELD
90,BELOW AVERAGE YIELD,GOOD YIELD
91,AVERAGE YIELD,GOOD YIELD
92,BELOW AVERAGE YIELD,POOR YIELD
93,AVERAGE YIELD,GOOD YIELD
94,AVERAGE YIELD,GOOD YIELD
95,AVERAGE YIELD,POOR YIELD
96,GOOD YIELD,GOOD YIELD
97,GOOD YIELD,GOOD YIELD
98,BELOW AVERAGE YIELD,GOOD YIELD
99,AVERAGE YIELD,GOOD YIELD
100,AVERAGE YIELD,GOOD YIELD
101,GOOD YIELD,GOOD YIELD
102,GOOD YIELD,GOOD YIELD
103,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
104,AVERAGE YIELD,GOOD YIELD
105,POOR YIELD,GOOD YIELD
106,POOR YIELD,AVERAGE YIELD
107,POOR YIELD,POOR YIELD
108,AVERAGE YIELD,AVERAGE YIELD
109,AVERAGE YIELD,BELOW AVERAGE YIELD
110,GOOD YIELD,GOOD YIELD
111,GOOD YIELD,AVERAGE YIELD
112,POOR YIELD,GOOD YIELD
113,BELOW AVERAGE YIELD,AVERAGE YIELD
114,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
115,GOOD YIELD,GOOD YIELD
116,AVERAGE YIELD,BELOW AVERAGE YIELD
117,BELOW AVERAGE YIELD,POOR YIELD
118,AVERAGE YIELD,AVERAGE YIELD
119,AVERAGE YIELD,AVERAGE YIELD
120,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
121,GOOD YIELD,GOOD YIELD
122,GOOD YIELD,BELOW AVERAGE YIELD
123,GOOD YIELD,GOOD YIELD
124,GOOD YIELD,GOOD YIELD
125,GOOD YIELD,AVERAGE YIELD
126,GOOD YIELD,GOOD YIELD
127,POOR YIELD,AVERAGE YIELD
128,GOOD YIELD,GOOD YIELD
129,GOOD YIELD,BELOW AVERAGE YIELD
130,AVERAGE YIELD,AVERAGE YIELD
131,GOOD YIELD,AVERAGE YIELD
132,GOOD YIELD,GOOD YIELD
133,POOR YIELD,GOOD YIELD
134,GOOD YIELD,GOOD YIELD
135,BELOW AVERAGE YIELD,AVERAGE YIELD
136,GOOD YIELD,GOOD YIELD
137,BELOW AVERAGE YIELD,GOOD YIELD
138,POOR YIELD,BELOW AVERAGE YIELD
139,BELOW AVERAGE YIELD,AVERAGE YIELD
140,BELOW AVERAGE YIELD,AVERAGE YIELD
141,POOR YIELD,GOOD YIELD
142,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
143,AVERAGE YIELD,GOOD YIELD
144,GOOD YIELD,GOOD YIELD
145,GOOD YIELD,GOOD YIELD
146,GOOD YIELD,GOOD YIELD
147,BELOW AVERAGE YIELD,POOR YIELD
148,GOOD YIELD,GOOD YIELD
149,GOOD YIELD,GOOD YIELD
150,AVERAGE YIELD,GOOD YIELD
151,POOR YIELD,BELOW AVERAGE YIELD
152,AVERAGE YIELD,AVERAGE YIELD
153,GOOD YIELD,GOOD YIELD
154,GOOD YIELD,GOOD YIELD
155,POOR YIELD,AVERAGE YIELD
156,AVERAGE YIELD,GOOD YIELD
157,GOOD YIELD,GOOD YIELD
158,BELOW AVERAGE YIELD,GOOD YIELD
159,POOR YIELD,AVERAGE YIELD
160,GOOD YIELD,GOOD YIELD
161,GOOD YIELD,GOOD YIELD
162,AVERAGE YIELD,BELOW AVERAGE YIELD
163,GOOD YIELD,GOOD YIELD
164,AVERAGE YIELD,GOOD YIELD
165,GOOD YIELD,GOOD YIELD
166,BELOW AVERAGE YIELD,GOOD YIELD
167,GOOD YIELD,GOOD YIELD
168,AVERAGE YIELD,GOOD YIELD
169,BELOW AVERAGE YIELD,AVERAGE YIELD
170,AVERAGE YIELD,AVERAGE YIELD
171,BELOW AVERAGE YIELD,POOR YIELD
172,GOOD YIELD,GOOD YIELD
173,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
174,POOR YIELD,BELOW AVERAGE YIELD
175,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
176,POOR YIELD,GOOD YIELD
177,AVERAGE YIELD,AVERAGE YIELD
178,GOOD YIELD,GOOD YIELD
179,BELOW AVERAGE YIELD,GOOD YIELD
180,POOR YIELD,AVERAGE YIELD
181,BELOW AVERAGE YIELD,GOOD YIELD
182,BELOW AVERAGE YIELD,GOOD YIELD
183,GOOD YIELD,GOOD YIELD
184,BELOW AVERAGE YIELD,GOOD YIELD
185,POOR YIELD,POOR YIELD
186,GOOD YIELD,GOOD YIELD
187,GOOD YIELD,BELOW AVERAGE YIELD
