,Yields,Predicted Yields
0,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
1,AVERAGE YIELD,GOOD YIELD
2,GOOD YIELD,GOOD YIELD
3,POOR YIELD,AVERAGE YIELD
4,POOR YIELD,AVERAGE YIELD
5,POOR YIELD,POOR YIELD
6,POOR YIELD,POOR YIELD
7,GOOD YIELD,GOOD YIELD
8,AVERAGE YIELD,AVERAGE YIELD
9,GOOD YIELD,GOOD YIELD
10,AVERAGE YIELD,GOOD YIELD
11,GOOD YIELD,GOOD YIELD
12,GOOD YIELD,GOOD YIELD
13,GOOD YIELD,GOOD YIELD
14,GOOD YIELD,AVERAGE YIELD
15,BELOW AVERAGE YIELD,AVERAGE YIELD
16,POOR YIELD,GOOD YIELD
17,BELOW AVERAGE YIELD,GOOD YIELD
18,GOOD YIELD,POOR YIELD
19,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
20,GOOD YIELD,BELOW AVERAGE YIELD
21,GOOD YIELD,AVERAGE YIELD
22,GOOD YIELD,BELOW AVERAGE YIELD
23,GOOD YIELD,AVERAGE YIELD
24,AVERAGE YIELD,GOOD YIELD
25,GOOD YIELD,GOOD YIELD
26,BELOW AVERAGE YIELD,GOOD YIELD
27,GOOD YIELD,AVERAGE YIELD
28,GOOD YIELD,GOOD YIELD
29,POOR YIELD,GOOD YIELD
30,GOOD YIELD,AVERAGE YIELD
31,AVERAGE YIELD,AVERAGE YIELD
32,AVERAGE YIELD,AVERAGE YIELD
33,BELOW AVERAGE YIELD,POOR YIELD
34,GOOD YIELD,POOR YIELD
35,POOR YIELD,GOOD YIELD
36,POOR YIELD,AVERAGE YIELD
37,POOR YIELD,POOR YIELD
38,AVERAGE YIELD,BELOW AVERAGE YIELD
39,POOR YIELD,POOR YIELD
40,GOOD YIELD,GOOD YIELD
41,AVERAGE YIELD,GOOD YIELD
42,BELOW AVERAGE YIELD,POOR YIELD
43,POOR YIELD,GOOD YIELD
44,POOR YIELD,POOR YIELD
45,POOR YIELD,BELOW AVERAGE YIELD
46,BELOW AVERAGE YIELD,GOOD YIELD
47,GOOD YIELD,AVERAGE YIELD
48,AVERAGE YIELD,BELOW AVERAGE YIELD
49,BELOW AVERAGE YIELD,POOR YIELD
50,POOR YIELD,BELOW AVERAGE YIELD
51,POOR YIELD,POOR YIELD
52,AVERAGE YIELD,GOOD YIELD
53,BELOW AVERAGE YIELD,POOR YIELD
54,GOOD YIELD,BELOW AVERAGE YIELD
55,GOOD YIELD,AVERAGE YIELD
56,AVERAGE YIELD,GOOD YIELD
57,BELOW AVERAGE YIELD,AVERAGE YIELD
58,POOR YIELD,POOR YIELD
59,POOR YIELD,POOR YIELD
60,AVERAGE YIELD,POOR YIELD
61,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
62,AVERAGE YIELD,GOOD YIELD
63,POOR YIELD,POOR YIELD
64,AVERAGE YIELD,GOOD YIELD
65,BELOW AVERAGE YIELD,GOOD YIELD
66,GOOD YIELD,GOOD YIELD
67,AVERAGE YIELD,AVERAGE YIELD
68,GOOD YIELD,AVERAGE YIELD
69,GOOD YIELD,GOOD YIELD
70,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
71,POOR YIELD,BELOW AVERAGE YIELD
72,GOOD YIELD,GOOD YIELD
73,AVERAGE YIELD,GOOD YIELD
74,GOOD YIELD,AVERAGE YIELD
75,AVERAGE YIELD,GOOD YIELD
76,GOOD YIELD,BELOW AVERAGE YIELD
77,POOR YIELD,GOOD YIELD
78,POOR YIELD,POOR YIELD
79,BELOW AVERAGE YIELD,AVERAGE YIELD
80,AVERAGE YIELD,GOOD YIELD
81,GOOD YIELD,GOOD YIELD
82,AVERAGE YIELD,AVERAGE YIELD
83,POOR YIELD,GOOD YIELD
84,AVERAGE YIELD,AVERAGE YIELD
85,GOOD YIELD,AVERAGE YIELD
86,POOR YIELD,POOR YIELD
87,GOOD YIELD,BELOW AVERAGE YIELD
88,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
89,GOOD YIELD,GOOD YIELD
90,BELOW AVERAGE YIELD,AVERAGE YIELD
91,POOR YIELD,POOR YIELD
92,AVERAGE YIELD,AVERAGE YIELD
93,POOR YIELD,GOOD YIELD
94,AVERAGE YIELD,AVERAGE YIELD
95,POOR YIELD,POOR YIELD
96,GOOD YIELD,AVERAGE YIELD
97,GOOD YIELD,GOOD YIELD
98,GOOD YIELD,AVERAGE YIELD
99,GOOD YIELD,GOOD YIELD
100,GOOD YIELD,GOOD YIELD
101,BELOW AVERAGE YIELD,GOOD YIELD
102,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
103,POOR YIELD,POOR YIELD
104,BELOW AVERAGE YIELD,POOR YIELD
105,POOR YIELD,BELOW AVERAGE YIELD
106,POOR YIELD,BELOW AVERAGE YIELD
107,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
108,GOOD YIELD,GOOD YIELD
109,POOR YIELD,AVERAGE YIELD
110,GOOD YIELD,GOOD YIELD
111,POOR YIELD,POOR YIELD
112,GOOD YIELD,GOOD YIELD
113,BELOW AVERAGE YIELD,GOOD YIELD
114,GOOD YIELD,GOOD YIELD
115,POOR YIELD,GOOD YIELD
116,POOR YIELD,AVERAGE YIELD
117,BELOW AVERAGE YIELD,AVERAGE YIELD
118,AVERAGE YIELD,GOOD YIELD
119,GOOD YIELD,BELOW AVERAGE YIELD
120,GOOD YIELD,AVERAGE YIELD
121,AVERAGE YIELD,AVERAGE YIELD
122,GOOD YIELD,GOOD YIELD
123,AVERAGE YIELD,GOOD YIELD
124,AVERAGE YIELD,GOOD YIELD
125,BELOW AVERAGE YIELD,POOR YIELD
126,BELOW AVERAGE YIELD,POOR YIELD
127,GOOD YIELD,AVERAGE YIELD
128,AVERAGE YIELD,AVERAGE YIELD
129,GOOD YIELD,GOOD YIELD
130,GOOD YIELD,AVERAGE YIELD
131,GOOD YIELD,GOOD YIELD
132,AVERAGE YIELD,POOR YIELD
133,AVERAGE YIELD,POOR YIELD
