,Yields,Predicted Yields
0,POOR YIELD,GOOD YIELD
1,POOR YIELD,POOR YIELD
2,AVERAGE YIELD,GOOD YIELD
3,POOR YIELD,POOR YIELD
4,GOOD YIELD,BELOW AVERAGE YIELD
5,GOOD YIELD,GOOD YIELD
6,GOOD YIELD,BELOW AVERAGE YIELD
7,GOOD YIELD,POOR YIELD
8,BELOW AVERAGE YIELD,GOOD YIELD
9,AVERAGE YIELD,AVERAGE YIELD
10,POOR YIELD,POOR YIELD
11,POOR YIELD,POOR YIELD
12,AVERAGE YIELD,GOOD YIELD
13,GOOD YIELD,GOOD YIELD
14,POOR YIELD,GOOD YIELD
15,GOOD YIELD,GOOD YIELD
16,GOOD YIELD,POOR YIELD
17,AVERAGE YIELD,BELOW AVERAGE YIELD
18,AVERAGE YIELD,GOOD YIELD
19,POOR YIELD,POOR YIELD
20,GOOD YIELD,AVERAGE YIELD
21,BELOW AVERAGE YIELD,GOOD YIELD
22,BELOW AVERAGE YIELD,AVERAGE YIELD
23,BELOW AVERAGE YIELD,POOR YIELD
24,GOOD YIELD,GOOD YIELD
25,AVERAGE YIELD,BELOW AVERAGE YIELD
26,GOOD YIELD,AVERAGE YIELD
27,POOR YIELD,POOR YIELD
28,GOOD YIELD,POOR YIELD
29,GOOD YIELD,POOR YIELD
30,POOR YIELD,BELOW AVERAGE YIELD
31,BELOW AVERAGE YIELD,AVERAGE YIELD
32,BELOW AVERAGE YIELD,GOOD YIELD
33,POOR YIELD,POOR YIELD
34,AVERAGE YIELD,GOOD YIELD
35,GOOD YIELD,AVERAGE YIELD
36,POOR YIELD,BELOW AVERAGE YIELD
37,POOR YIELD,GOOD YIELD
38,GOOD YIELD,BELOW AVERAGE YIELD
39,GOOD YIELD,GOOD YIELD
40,BELOW AVERAGE YIELD,POOR YIELD
41,POOR YIELD,BELOW AVERAGE YIELD
42,GOOD YIELD,BELOW AVERAGE YIELD
43,AVERAGE YIELD,GOOD YIELD
44,AVERAGE YIELD,POOR YIELD
45,GOOD YIELD,GOOD YIELD
46,AVERAGE YIELD,BELOW AVERAGE YIELD
47,POOR YIELD,POOR YIELD
48,POOR YIELD,POOR YIELD
49,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
50,GOOD YIELD,AVERAGE YIELD
51,AVERAGE YIELD,GOOD YIELD
52,GOOD YIELD,GOOD YIELD
53,AVERAGE YIELD,GOOD YIELD
54,GOOD YIELD,AVERAGE YIELD
55,GOOD YIELD,GOOD YIELD
56,AVERAGE YIELD,GOOD YIELD
57,AVERAGE YIELD,GOOD YIELD
58,GOOD YIELD,POOR YIELD
59,AVERAGE YIELD,BELOW AVERAGE YIELD
60,GOOD YIELD,GOOD YIELD
61,BELOW AVERAGE YIELD,GOOD YIELD
62,BELOW AVERAGE YIELD,GOOD YIELD
63,GOOD YIELD,GOOD YIELD
64,POOR YIELD,POOR YIELD
65,GOOD YIELD,BELOW AVERAGE YIELD
66,AVERAGE YIELD,POOR YIELD
67,POOR YIELD,POOR YIELD
