,Yields,Predicted Yields
0,GOOD YIELD,GOOD YIELD
1,POOR YIELD,BELOW AVERAGE YIELD
2,BELOW AVERAGE YIELD,AVERAGE YIELD
3,GOOD YIELD,GOOD YIELD
4,BELOW AVERAGE YIELD,AVERAGE YIELD
5,GOOD YIELD,GOOD YIELD
6,POOR YIELD,POOR YIELD
7,GOOD YIELD,GOOD YIELD
8,GOOD YIELD,GOOD YIELD
9,POOR YIELD,BELOW AVERAGE YIELD
10,BELOW AVERAGE YIELD,POOR YIELD
11,GOOD YIELD,BELOW AVERAGE YIELD
12,AVERAGE YIELD,GOOD YIELD
13,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
14,GOOD YIELD,GOOD YIELD
15,GOOD YIELD,BELOW AVERAGE YIELD
16,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
17,AVERAGE YIELD,BELOW AVERAGE YIELD
18,BELOW AVERAGE YIELD,GOOD YIELD
19,AVERAGE YIELD,BELOW AVERAGE YIELD
20,GOOD YIELD,GOOD YIELD
21,POOR YIELD,POOR YIELD
22,GOOD YIELD,BELOW AVERAGE YIELD
23,GOOD YIELD,GOOD YIELD
24,GOOD YIELD,AVERAGE YIELD
25,POOR YIELD,BELOW AVERAGE YIELD
26,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
27,GOOD YIELD,GOOD YIELD
28,GOOD YIELD,GOOD YIELD
29,GOOD YIELD,GOOD YIELD
30,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
31,POOR YIELD,POOR YIELD
32,AVERAGE YIELD,AVERAGE YIELD
33,AVERAGE YIELD,GOOD YIELD
34,POOR YIELD,BELOW AVERAGE YIELD
35,GOOD YIELD,GOOD YIELD
36,BELOW AVERAGE YIELD,AVERAGE YIELD
37,AVERAGE YIELD,AVERAGE YIELD
38,BELOW AVERAGE YIELD,POOR YIELD
39,POOR YIELD,AVERAGE YIELD
40,GOOD YIELD,GOOD YIELD
41,AVERAGE YIELD,GOOD YIELD
42,POOR YIELD,POOR YIELD
43,AVERAGE YIELD,GOOD YIELD
44,AVERAGE YIELD,AVERAGE YIELD
45,GOOD YIELD,GOOD YIELD
46,GOOD YIELD,BELOW AVERAGE YIELD
47,POOR YIELD,AVERAGE YIELD
48,POOR YIELD,POOR YIELD
49,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
50,BELOW AVERAGE YIELD,GOOD YIELD
51,BELOW AVERAGE YIELD,GOOD YIELD
52,GOOD YIELD,BELOW AVERAGE YIELD
53,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
54,AVERAGE YIELD,GOOD YIELD
55,AVERAGE YIELD,GOOD YIELD
56,POOR YIELD,BELOW AVERAGE YIELD
57,AVERAGE YIELD,BELOW AVERAGE YIELD
58,GOOD YIELD,GOOD YIELD
59,AVERAGE YIELD,BELOW AVERAGE YIELD
60,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
61,POOR YIELD,POOR YIELD
62,POOR YIELD,POOR YIELD
63,POOR YIELD,BELOW AVERAGE YIELD
64,AVERAGE YIELD,AVERAGE YIELD
65,AVERAGE YIELD,AVERAGE YIELD
66,BELOW AVERAGE YIELD,AVERAGE YIELD
67,AVERAGE YIELD,GOOD YIELD
68,GOOD YIELD,POOR YIELD
69,AVERAGE YIELD,GOOD YIELD
70,GOOD YIELD,GOOD YIELD
71,BELOW AVERAGE YIELD,AVERAGE YIELD
72,GOOD YIELD,GOOD YIELD
73,GOOD YIELD,GOOD YIELD
74,GOOD YIELD,BELOW AVERAGE YIELD
75,BELOW AVERAGE YIELD,AVERAGE YIELD
76,AVERAGE YIELD,AVERAGE YIELD
77,AVERAGE YIELD,GOOD YIELD
78,AVERAGE YIELD,AVERAGE YIELD
79,AVERAGE YIELD,GOOD YIELD
80,POOR YIELD,POOR YIELD
81,POOR YIELD,POOR YIELD
82,POOR YIELD,POOR YIELD
83,BELOW AVERAGE YIELD,POOR YIELD
84,POOR YIELD,BELOW AVERAGE YIELD
85,POOR YIELD,POOR YIELD
86,GOOD YIELD,AVERAGE YIELD
87,GOOD YIELD,POOR YIELD
88,AVERAGE YIELD,POOR YIELD
89,GOOD YIELD,GOOD YIELD
90,BELOW AVERAGE YIELD,GOOD YIELD
91,AVERAGE YIELD,GOOD YIELD
92,BELOW AVERAGE YIELD,AVERAGE YIELD
93,AVERAGE YIELD,GOOD YIELD
94,AVERAGE YIELD,GOOD YIELD
95,AVERAGE YIELD,AVERAGE YIELD
96,GOOD YIELD,AVERAGE YIELD
97,GOOD YIELD,GOOD YIELD
98,BELOW AVERAGE YIELD,GOOD YIELD
99,AVERAGE YIELD,AVERAGE YIELD
100,AVERAGE YIELD,POOR YIELD
101,GOOD YIELD,GOOD YIELD
102,GOOD YIELD,GOOD YIELD
103,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
104,AVERAGE YIELD,BELOW AVERAGE YIELD
105,POOR YIELD,GOOD YIELD
106,POOR YIELD,POOR YIELD
107,POOR YIELD,POOR YIELD
108,AVERAGE YIELD,BELOW AVERAGE YIELD
109,AVERAGE YIELD,AVERAGE YIELD
110,GOOD YIELD,POOR YIELD
111,GOOD YIELD,AVERAGE YIELD
112,POOR YIELD,GOOD YIELD
113,BELOW AVERAGE YIELD,GOOD YIELD
114,BELOW AVERAGE YIELD,AVERAGE YIELD
115,GOOD YIELD,GOOD YIELD
116,AVERAGE YIELD,GOOD YIELD
117,BELOW AVERAGE YIELD,POOR YIELD
118,AVERAGE YIELD,AVERAGE YIELD
119,AVERAGE YIELD,AVERAGE YIELD
