,Yields,Predicted Yields
0,77.0,39.86082
1,95.0,54.08583
2,19.0,52.904537
3,36.0,74.27108
4,86.0,52.573666
5,80.0,37.6825
6,35.0,58.321857
7,0.0,56.74718
8,1.0,40.570103
9,76.0,78.69175
10,75.0,61.10478
11,83.0,75.03314
12,0.0,61.10478
13,75.0,37.67595
14,25.0,37.1897
15,92.0,59.921726
16,0.0,52.83516
17,12.0,61.829613
18,70.0,66.7623
19,54.0,51.321148
20,18.0,48.5013
21,78.0,55.55618
22,20.0,59.385227
23,92.0,35.981037
24,1.0,51.932125
25,4.0,47.625
26,75.0,55.55966
27,46.0,53.679657
28,86.0,68.22826
29,1.0,44.64668
30,95.0,51.357
31,78.0,54.175877
32,92.0,40.792507
33,64.0,66.276924
34,79.0,71.87626
35,65.0,59.943142
36,46.0,40.909992
37,25.0,61.10899
38,0.0,59.198425
39,85.0,70.386566
40,23.0,63.36202
41,74.0,66.61293
42,81.0,65.64278
43,13.0,51.552807
44,88.0,63.26518
45,93.0,56.86571
46,85.0,63.62312
47,1.0,40.701687
48,1.0,40.584896
49,84.0,52.573666
50,76.0,45.700603
51,8.0,48.581493
52,68.0,57.249683
53,98.0,15.391589
54,80.0,65.98327
55,76.0,40.595387
56,1.0,37.440914
57,55.0,57.249683
58,53.0,64.93352
59,34.0,48.609516
60,1.0,59.371258
61,0.0,39.630306
62,20.0,41.649307
63,99.0,65.250725
64,45.0,42.544613
65,76.0,58.327705
66,10.0,50.6812
67,70.0,68.22826
68,67.0,37.68848
69,82.0,73.77184
70,75.0,52.06573
71,93.0,52.573666
72,51.0,59.972668
73,1.0,69.275154
74,56.0,37.372128
75,65.0,48.04272
76,70.0,37.358856
77,26.0,46.266125
78,52.0,45.551144
79,77.0,65.57682
80,44.0,40.808628
81,70.0,69.02842
82,0.0,39.673203
83,93.0,61.10478
84,85.0,65.242
85,17.0,42.36204
86,72.0,48.801556
87,42.0,72.10087
88,74.0,61.10478
89,83.0,37.944668
90,45.0,45.596058
91,99.0,71.81486
92,64.0,71.72842
93,50.0,62.05298
94,29.0,61.535694
95,83.0,76.02297
96,70.0,54.99841
97,50.0,47.35504
98,69.0,60.148457
99,66.0,55.55618
100,85.0,54.23686
101,33.0,47.246937
102,49.0,36.867447
103,1.0,47.20285
104,60.0,61.10478
105,81.0,55.55618
106,33.0,36.267124
107,67.0,41.79284
108,83.0,60.15252
109,98.0,52.904606
110,31.0,40.447063
111,9.0,27.795115
112,35.0,47.97767
113,36.0,55.746044
114,47.0,55.746044
115,0.0,41.688786
116,71.0,76.19167
117,0.0,45.702473
118,94.0,75.45522
119,95.0,72.42931
120,0.0,40.995552
121,0.0,59.691936
122,70.0,56.306583
123,73.0,75.87088
124,20.0,70.39771
125,83.0,73.77184
126,87.0,52.600018
127,99.0,74.271904
128,1.0,54.127583
129,78.0,60.15252
130,11.0,37.172096
131,1.0,70.41848
132,71.0,35.981037
133,84.0,17.027285
134,80.0,74.271904
135,46.0,70.28748
136,41.0,55.63989
137,49.0,54.603436
138,90.0,51.236248
139,67.0,52.80093
140,75.0,60.116604
141,86.0,47.05386
142,35.0,38.224655
143,35.0,43.450783
144,0.0,45.548603
145,45.0,65.03832
146,89.0,54.250713
147,1.0,59.378056
148,10.0,50.542995
149,73.0,47.625
150,56.0,54.010975
151,43.0,52.54855
152,55.0,47.406944
153,62.0,41.98583
154,90.0,50.27698
155,65.0,48.04272
156,0.0,48.561043
157,75.0,85.69463
158,52.0,42.507793
159,50.0,64.79537
160,80.0,75.6056
161,1.0,47.40627
162,71.0,61.10899
163,94.0,54.90151
164,88.0,52.573666
165,89.0,56.306583
166,21.0,54.250713
167,68.0,43.85584
168,62.0,59.06081
169,98.0,52.33346
170,7.0,45.916515
171,63.0,55.587326
172,42.0,39.86082
173,63.0,40.808628
174,81.0,46.94198
175,1.0,45.656513
176,0.0,58.87882
177,14.0,59.121586
178,75.0,45.59606
179,43.0,36.248886
180,72.0,51.66169
181,59.0,55.97492
182,36.0,39.286465
183,78.0,52.600018
184,0.0,59.791943
185,31.0,40.148636
186,78.0,58.304142
187,1.0,82.03842
188,75.0,78.19726
189,31.0,54.250713
190,41.0,37.34212
191,85.0,52.600018
192,45.0,38.21959
193,83.0,49.06881
194,65.0,45.458904
195,62.0,45.178318
196,79.0,43.4678
197,92.0,38.00337
198,0.0,37.063046
199,81.0,67.51995
200,83.0,44.242035
201,60.0,59.158978
202,55.0,64.394066
203,25.0,35.193172
204,64.0,52.00526
205,41.0,55.37723
206,56.0,37.639935
207,20.0,43.243507
208,34.0,48.777042
209,48.0,63.915386
210,4.0,55.483837
211,0.0,48.771664
212,59.0,67.26901
213,77.0,69.21031
214,12.0,43.4678
215,0.0,43.698875
216,90.0,45.458904
217,1.0,48.421104
218,94.0,73.07887
219,1.0,53.833202
220,94.0,45.60229
221,17.0,38.170807
222,0.0,48.981457
223,31.0,49.991993
224,1.0,48.107204
225,0.0,43.63769
226,14.0,37.212727
227,98.0,67.46405
228,85.0,73.39058
229,95.0,45.19255
230,75.0,38.139133
231,76.0,53.139843
232,0.0,48.650005
233,83.0,67.92168
234,78.0,67.46405
235,1.0,45.29004
236,12.0,53.34074
237,8.0,58.17571
238,0.0,55.483837
239,90.0,52.467785
240,85.0,66.8264
241,45.0,38.139133
242,77.0,60.729454
243,77.0,60.729454
244,53.0,63.145733
245,46.0,35.629436
246,1.0,49.10671
247,28.0,43.46107
248,50.0,59.368057
249,43.0,43.872112
250,29.0,38.152973
251,89.0,61.94517
252,1.0,39.37685
253,62.0,45.38265
254,98.0,53.67071
