,Yields,Predicted Yields
0,61.0,35.277752
1,69.0,40.346268
2,0.0,46.182205
3,79.0,65.96771
4,17.0,42.35147
5,77.0,44.31106
6,88.0,51.533596
7,44.0,46.955494
8,71.0,75.425064
9,0.0,36.435413
10,51.0,40.097305
11,41.0,56.15252
12,29.0,43.13694
13,90.0,56.704468
14,10.0,74.35844
15,92.0,33.25254
16,58.0,53.473442
17,97.0,46.82052
18,70.0,70.03702
19,35.0,39.535408
20,19.0,59.907578
21,8.0,56.812824
22,85.0,55.202328
23,1.0,40.752056
24,88.0,67.886215
25,30.0,39.115005
26,47.0,39.159653
27,96.0,65.2802
28,10.0,47.78371
29,30.0,62.564285
30,28.0,65.2802
31,87.0,58.86767
32,54.0,39.1709
33,60.0,65.2802
34,90.0,78.112785
35,63.0,54.78607
36,1.0,40.350616
37,77.0,58.86767
38,14.0,35.403004
39,96.0,65.50077
40,74.0,63.488346
41,80.0,65.381294
42,31.0,40.202316
43,1.0,69.7029
44,45.0,43.281322
45,49.0,43.52204
46,53.0,52.210358
47,38.0,63.470734
48,86.0,52.79777
49,43.0,41.126083
50,26.0,51.506172
51,1.0,47.07058
52,96.0,40.35497
53,45.0,36.406982
54,73.0,39.1709
55,93.0,78.77082
56,99.0,65.93041
57,62.0,43.506756
58,11.0,45.054127
59,83.0,64.174225
60,85.0,58.86767
61,80.0,65.93093
62,86.0,51.287937
63,63.0,37.94735
64,35.0,69.35689
65,71.0,44.42934
66,0.0,39.23752
67,8.0,36.30332
68,45.0,35.366524
69,77.0,58.85853
70,78.0,60.20276
71,76.0,44.12255
72,1.0,37.634224
73,80.0,48.821003
74,73.0,35.366524
75,27.0,40.37095
76,80.0,64.544136
77,83.0,72.47639
78,99.0,65.76284
79,17.0,41.578876
80,20.0,47.134937
81,1.0,40.58758
82,95.0,74.224236
83,90.0,46.20352
84,18.0,47.313354
85,0.0,35.287548
86,73.0,49.940807
87,0.0,53.36564
88,1.0,53.473442
89,40.0,88.77709
90,61.0,41.126083
91,72.0,64.544136
92,80.0,49.579426
93,94.0,56.90193
94,95.0,53.473442
95,86.0,51.533596
96,0.0,56.90193
97,82.0,43.51754
98,70.0,54.786064
99,37.0,35.366524
100,95.0,43.47087
101,91.0,64.11918
102,33.0,35.26713
103,52.0,42.86428
104,70.0,46.31843
105,95.0,58.207153
106,56.0,51.566414
107,96.0,67.47654
108,52.0,56.15252
109,86.0,68.57958
110,17.0,40.599754
111,99.0,51.79683
112,58.0,37.81588
113,53.0,67.18654
114,65.0,45.412323
115,41.0,43.526207
116,15.0,39.30461
117,58.0,42.00579
118,0.0,40.646893
119,65.0,46.47024
120,94.0,49.38672
121,40.0,43.722847
122,50.0,38.07853
123,89.0,72.52761
124,79.0,72.561
125,75.0,35.41785
126,89.0,53.11021
127,76.0,42.00579
128,0.0,53.35205
129,1.0,64.27003
130,20.0,43.390884
131,7.0,57.01068
132,68.0,43.337364
133,76.0,73.70493
134,33.0,53.473442
135,1.0,47.2601
136,70.0,79.55871
137,73.0,35.366524
138,50.0,52.631958
139,12.0,47.142056
140,0.0,46.10075
141,58.0,76.97707
142,75.0,42.84809
143,30.0,63.46636
144,25.0,39.292675
145,77.0,35.366524
146,70.0,36.651234
147,34.0,46.960007
148,0.0,45.934784
149,39.0,57.698193
150,50.0,53.056236
151,40.0,51.385376
152,10.0,43.755375
153,71.0,49.579426
154,45.0,38.16878
155,80.0,51.533596
156,70.0,72.774925
157,83.0,43.603905
158,78.0,43.52204
159,98.0,46.4735
160,0.0,36.64643
161,60.0,42.587402
162,81.0,68.60315
163,49.0,67.85016
164,54.0,51.533596
165,17.0,46.906433
166,97.0,75.367645
167,10.0,50.215042
168,65.0,64.85158
169,25.0,35.543064
170,95.0,40.770058
171,47.0,42.663147
172,60.0,42.35147
173,43.0,39.743263
174,86.0,45.300644
175,78.0,56.15252
176,70.0,25.52122
177,97.0,65.2802
178,60.0,42.69837
179,74.0,49.579422
180,90.0,47.09551
181,0.0,47.232983
182,0.0,44.087654
183,37.0,60.128162
184,89.0,41.494823
185,85.0,68.57958
186,77.0,58.86767
187,69.0,40.794098
188,89.0,59.398632
189,73.0,78.10485
190,82.0,72.46647
191,98.0,46.43291
192,27.0,38.009117
193,70.0,45.733852
194,50.0,50.003597
195,25.0,56.654385
196,84.0,53.411285
197,35.0,61.546722
198,23.0,39.97361
199,90.0,51.596897
200,0.0,43.81488
201,64.0,45.754345
202,0.0,47.310135
203,30.0,69.09859
204,84.0,41.115707
205,0.0,48.220547
206,64.0,53.51515
207,61.0,55.10307
208,92.0,71.958336
209,56.0,52.918465
210,85.0,53.411285
211,1.0,55.046463
212,0.0,52.782677
213,23.0,48.187717
214,45.0,40.456432
215,8.0,64.61618
216,86.0,58.98243
217,30.0,39.353355
218,72.0,76.89821
219,1.0,52.362392
220,91.0,40.524704
221,58.0,40.955273
222,88.0,46.469696
223,37.0,53.261543
224,54.0,54.09149
225,74.0,52.866745
226,90.0,49.983204
227,92.0,44.235214
228,39.0,68.58657
229,68.0,43.810776
230,78.0,54.843517
231,45.0,48.18773
232,80.0,60.214947
233,75.0,59.912724
234,0.0,42.176964
235,20.0,48.448235
236,1.0,44.582867
237,35.0,48.266632
238,90.0,72.38618
239,20.0,40.924644
240,95.0,75.870094
241,53.0,38.81794
242,0.0,58.062973
243,90.0,44.29621
244,0.0,50.22511
245,0.0,60.41106
246,0.0,39.49766
247,76.0,47.711502
