,Yields,Predicted Yields
0,25.0,41.86658
1,52.0,33.179165
2,93.0,77.69305
3,11.0,41.969505
4,68.0,33.83826
5,75.0,78.19539
6,83.0,40.7871
7,0.0,78.36597
8,31.0,58.846657
9,73.0,33.154144
10,0.0,42.282936
11,26.0,57.316216
12,1.0,42.06477
13,14.0,42.233242
14,56.0,35.04116
15,74.0,31.864525
16,0.0,69.764725
17,1.0,48.41573
18,38.0,53.482445
19,88.0,75.15627
20,95.0,55.60862
21,60.0,33.09735
22,84.0,79.503716
23,86.0,63.01331
24,0.0,45.348526
25,0.0,53.797577
26,1.0,33.374027
27,83.0,53.73945
28,71.0,58.498367
29,43.0,44.10013
30,45.0,39.998493
31,0.0,46.04154
32,97.0,35.866882
33,88.0,52.72925
34,83.0,53.740032
35,43.0,40.93656
36,34.0,44.072273
37,0.0,33.294205
38,30.0,38.746754
39,43.0,57.40606
40,85.0,54.18602
41,91.0,65.85316
42,43.0,42.46346
43,75.0,48.625763
44,0.0,54.145958
45,78.0,47.88512
46,74.0,52.83027
47,78.0,51.415936
48,92.0,78.79209
49,1.0,32.95745
50,90.0,62.37055
51,76.0,99.221245
52,85.0,59.376778
53,75.0,45.27002
54,12.0,33.220802
55,1.0,42.180447
56,11.0,42.330574
57,45.0,62.89907
58,4.0,31.668587
59,78.0,53.8395
60,35.0,65.50272
61,0.0,57.29989
62,56.0,42.672596
63,38.0,33.21562
64,29.0,69.81345
65,80.0,68.79801
66,90.0,63.436584
67,83.0,38.319134
68,0.0,43.80095
69,60.0,64.23243
70,1.0,32.884563
71,0.0,42.246952
72,75.0,44.22685
73,60.0,56.417057
74,92.0,69.77924
75,71.0,32.84714
76,52.0,68.92655
77,22.0,51.436058
78,1.0,33.25927
79,55.0,90.7812
80,95.0,78.84592
81,45.0,69.3995
82,60.0,46.01238
83,46.0,33.248096
84,90.0,50.46039
85,63.0,50.540184
86,88.0,68.790344
87,86.0,71.93086
88,58.0,33.22503
89,85.0,62.809135
90,69.0,85.52189
91,94.0,67.578606
92,67.0,36.045536
93,96.0,64.462036
94,80.0,62.994316
95,33.0,40.22369
96,65.0,37.034943
97,85.0,46.290085
98,0.0,40.899166
99,19.0,57.80214
100,86.0,76.68019
101,98.0,54.3199
102,95.0,51.129116
103,88.0,60.030422
104,1.0,50.347343
105,92.0,38.876354
106,1.0,46.984245
107,0.0,38.633835
108,21.0,28.061867
109,30.0,42.16308
110,27.0,50.668484
111,81.0,55.707443
112,88.0,54.23576
113,31.0,55.915375
114,48.0,78.26842
115,0.0,33.20944
116,17.0,33.241478
117,0.0,32.985725
