,Yields,Predicted Yields
0,77.0,53.044724
1,0.0,38.324905
2,63.0,46.588272
3,56.0,43.272644
4,51.0,48.86116
5,97.0,76.38566
6,60.0,61.24646
7,52.0,39.89479
8,78.0,39.6771
9,79.0,39.410446
10,0.0,50.178356
11,0.0,33.899685
12,86.0,56.423996
13,0.0,50.47622
14,1.0,38.915627
15,88.0,58.253517
16,63.0,69.094826
17,0.0,52.20054
18,83.0,48.509216
19,58.0,51.883663
20,16.0,27.782255
21,30.0,38.383755
22,0.0,52.48887
23,40.0,53.05648
24,63.0,63.19217
25,63.0,62.02031
26,35.0,68.11756
27,66.0,58.50983
28,83.0,64.84684
29,70.0,62.538197
30,63.0,58.517582
31,92.0,62.31254
32,56.0,37.854866
33,44.0,33.911705
34,78.0,48.576378
35,86.0,59.45147
36,0.0,44.750755
37,70.0,71.07167
38,1.0,33.963146
39,0.0,48.67971
40,69.0,65.41856
41,15.0,38.820164
42,87.0,56.59353
43,81.0,79.02092
44,25.0,38.282978
45,1.0,33.906532
46,22.0,50.05515
47,84.0,70.06136
48,63.0,61.003258
49,0.0,38.769756
50,49.0,57.443703
51,70.0,55.584778
52,0.0,61.920506
53,88.0,46.791134
54,75.0,89.37136
55,14.0,38.970875
56,30.0,38.59569
57,1.0,36.759647
58,63.0,46.69678
59,35.0,56.103897
60,72.0,53.01618
61,72.0,58.21511
62,0.0,33.99669
63,85.0,47.657063
64,1.0,52.91339
65,75.0,40.633327
66,39.0,38.59117
67,91.0,73.22246
68,86.0,47.64563
69,27.0,47.395958
70,0.0,57.11848
71,34.0,50.168385
72,39.0,53.723053
73,74.0,59.651737
74,1.0,38.501083
75,31.0,85.80962
76,90.0,52.28588
77,1.0,37.20803
78,85.0,78.03803
79,54.0,50.08802
80,91.0,54.52414
81,44.0,46.470154
82,94.0,60.506298
83,89.0,47.162086
84,66.0,42.766205
85,34.0,48.64689
86,75.0,55.514797
87,61.0,55.357666
88,46.0,52.236183
89,19.0,53.586716
90,77.0,76.576515
91,31.0,39.45307
92,72.0,64.06847
93,37.0,58.28154
94,64.0,72.58329
95,0.0,53.04154
96,75.0,51.67519
97,81.0,52.487984
98,65.0,44.73429
99,51.0,58.52837
100,73.0,29.599125
101,0.0,44.794914
102,75.0,40.031246
103,97.0,50.519325
104,98.0,65.45062
105,29.0,55.655113
106,80.0,60.52143
107,1.0,38.62606
108,86.0,59.17866
109,83.0,82.32438
110,99.0,47.675293
111,0.0,36.894737
112,29.0,38.284492
113,96.0,56.204155
114,45.0,56.990597
115,89.0,68.291435
116,50.0,63.458122
117,45.0,39.21862
118,90.0,52.618446
119,96.0,60.503193
120,1.0,51.758514
121,84.0,60.496933
122,46.0,70.53002
123,78.0,62.10792
124,88.0,61.53447
125,1.0,38.608032
126,2.0,60.502647
127,74.0,49.698624
128,90.0,47.86413
129,74.0,38.813194
130,31.0,71.53319
131,0.0,42.596672
132,78.0,38.364502
133,67.0,42.769043
134,42.0,52.952805
135,58.0,69.72337
136,95.0,45.221313
137,75.0,48.551216
138,51.0,48.476852
139,98.0,38.408447
140,94.0,47.867165
141,93.0,53.349724
142,92.0,52.934853
143,49.0,61.328255
144,53.0,58.4739
145,84.0,46.172733
146,49.0,61.894592
147,82.0,85.88509
148,65.0,57.089695
149,80.0,48.925247
