,Yields,Predicted Yields
0,77,50.15
1,0,53.47221428571429
2,63,49.16836197875457
3,56,78.81300541125538
4,51,60.21977777777778
5,97,79.01989285714286
6,60,74.1487623903874
7,52,35.893249999999995
8,78,49.8204256854257
9,79,49.8204256854257
10,0,27.425714285714285
11,0,2.08
12,86,82.47754761904766
13,0,21.333141025641027
14,1,27.304166666666664
15,88,79.87432216394718
16,63,52.50683333333333
17,0,34.62235947712418
18,83,63.85642857142859
19,58,62.94582292707293
20,16,18.2875
21,30,59.964
22,0,56.03516666666666
23,40,27.81333333333333
24,63,41.58092857142858
25,63,71.9898888888889
26,35,39.33466666666667
27,66,76.63871706071706
28,83,71.9898888888889
29,70,80.11066666666667
30,63,79.87432216394718
31,92,88.70333333333333
32,56,35.893249999999995
33,44,20.70154797979798
34,78,67.13246825396824
35,86,46.212833333333336
36,0,16.335238095238097
37,70,80.45054761904763
38,1,22.93
39,0,27.9228308080808
40,69,80.36176098901099
41,15,24.051666666666666
42,87,66.25538426244903
43,81,66.25538426244903
44,25,40.11
45,1,50.77117748917749
46,22,55.672380952380955
47,84,79.87432216394718
48,63,64.6887380952381
49,0,14.897307692307693
50,49,76.33120268620269
51,70,69.79008333333336
52,0,50.49977272727272
53,88,54.20442735042735
54,75,71.95866666666664
55,14,19.55
56,30,9.061333333333334
57,1,22.575833333333332
58,63,60.23
59,35,50.462737734487725
60,72,54.92
61,72,53.312
62,0,10.04
63,85,93.72
64,1,54.76
65,75,50.08433333333333
66,39,29.826666666666664
67,91,88.61941666666665
68,86,80.79180339105339
69,27,38.69348484848485
70,0,67.42621428571428
71,34,32.20285714285714
72,39,31.35
73,74,76.51656022408963
74,1,18.418
75,31,65.32690476190476
76,90,60.869968494783514
77,1,21.386166666666668
78,85,78.86283333333333
79,54,38.84571428571429
80,91,90.39891456582633
81,44,42.35966666666666
82,94,47.10629725829725
83,89,78.81300541125538
84,66,49.8204256854257
85,34,42.91533333333333
86,75,43.582952380952364
87,61,71.10700000000001
88,46,53.455888888888886
89,19,54.3
90,77,89.76054761904763
91,31,78.81300541125538
92,72,41.58092857142858
93,37,63.98337549950048
94,64,37.347142857142856
95,0,31.216000000000005
96,75,71.11887912087911
97,81,57.977880952380964
98,65,83.81716666666667
99,51,58.41300000000001
100,73,63.98337549950048
101,0,11.605238095238095
102,75,59.7
103,97,81.78
104,98,79.6344050802139
105,29,57.0795992063492
106,80,47.09229065379064
107,1,25.59333333333333
108,86,90.39891456582633
109,83,79.87432216394718
110,99,93.72
111,0,11.833333333333332
112,29,40.06166666666667
113,96,91.56111111111112
114,45,63.83111904761904
115,89,50.81
116,50,64.97061904761905
117,45,50.60077272727273
118,90,77.5364502164502
119,96,47.99453968253969
120,1,50.9563832115597
121,84,43.582952380952364
122,46,51.03
123,78,60.869968494783514
124,88,82.51675192209751
125,1,50.08433333333333
126,2,58.826904761904764
127,74,84.1855238095238
128,90,60.869968494783514
129,74,43.09333333333334
130,31,52.110650793650805
131,0,13.6455
132,78,38.81471428571428
133,67,63.49333333333333
134,42,26.57
135,58,59.096000000000004
136,95,37.36725151582638
137,75,67.8055634920635
138,51,62.965293650793676
139,98,75.16455555555555
140,94,84.1855238095238
141,93,61.760333333333335
142,92,66.25538426244903
143,49,51.925116959064326
144,53,74.79866666666666
145,84,20.064003246753245
146,49,74.1487623903874
147,82,84.95333333333333
148,65,65.77964285714285
149,80,80.67434842934841
150,1,24.79
151,85,86.03
152,25,46.33
153,17,44.37
154,45,54.3125
155,86,80.79180339105339
156,67,66.25538426244903
157,96,72.83197619047621
158,0,22.18
159,0,5.1818333333333335
160,34,45.67666666666667
161,0,19.821833333333334
162,24,27.423333333333332
163,64,66.91671428571429
164,76,69.96233333333333
165,31,92.76629487179488
166,82,73.37662987012983
167,90,84.1855238095238
168,33,49.870999999999995
169,17,48.05051159710603
170,0,8.1675
171,85,64.10050793650795
172,80,90.57553601953603
173,44,43.3835
174,90,72.83197619047621
175,8,31.27
176,40,47.09229065379064
177,59,61.83863636363637
178,93,63.34296568627452
179,35,45.42883333333333
180,31,44.3975
181,1,20.69
182,0,52.386047619047616
183,93,80.79180339105339
184,75,54.3125
185,83,76.92610606060607
186,77,57.0795992063492
187,49,78.81300541125538
188,91,73.79087878787877
189,66,19.090785714285715
190,75,80.79180339105339
191,0,67.20621428571428
192,50,48.24928571428572
