,Yields,Predicted Yields
0,1,71.36
1,0,10.24
2,12,38.98333333333333
3,86,80.89
4,17,57.57
5,45,60.13
6,34,69.72
7,58,38.83
8,84,67.04416666666665
9,53,86.33
10,71,77.99
11,98,74.52
12,46,41.88
13,76,51.32
14,19,21.95
15,99,79.39916666666667
16,63,74.38
17,44,16.31
18,1,19.31
19,86,70.58
20,85,93.725
21,0,62.82
22,0,49.409166666666664
23,25,29.4
24,53,54.2
25,77,70.35666666666665
26,49,59.59
27,56,37.79
28,71,70.11
29,71,78.39
30,75,61.22
31,0,39.22
32,18,23.64
33,93,76.32
34,83,82.86
35,1,81.62799999999999
36,26,31.26
37,75,75.21833333333333
38,65,59.36
39,95,81.715
40,75,67.63
41,72,56.8825
42,23,45.02
43,62,62.46
44,46,73.85416666666667
45,99,91.56
46,89,77.13
47,50,59.02
48,0,72.1925
49,73,80.12
50,35,59.61
51,74,61.67
52,86,63.67
53,78,62.86
54,93,90.73116666666667
55,60,83.09
56,48,20.53
57,36,49.365
58,0,3.05
59,78,77.4475
60,77,66.34
61,55,43.49
62,59,87.56
63,25,69.31
64,79,79.78
65,36,52.59
66,39,39.37
67,44,57.99
68,63,57.96
69,81,65.935
70,17,48.38880952380952
71,75,75.61
72,77,72.35
73,13,18.31
74,85,79.69
75,94,77.34
76,60,74.22916666666669
77,58,42.62
78,59,65.19
79,0,72.1925
80,90,78.86
81,92,87.91666666666669
82,92,77.8
83,1,35.55
84,49,19.94
85,30,67.81511904761905
86,74,64.2475
87,33,61.73
88,20,33.28
89,43,53.98
90,47,50.56
91,99,87.93
92,1,68.16
93,80,75.40333333333334
94,52,70.02
95,82,84.9075
96,4,29.88333333333333
97,85,60.38
98,92,71.1284007936508
99,55,73.54
100,0,67.17
101,58,73.06583333333333
102,93,64.97666666666667
103,75,66.48166666666665
104,67,56.05416666666666
105,1,34.64333333333334
106,80,86.89
107,63,73.81
108,80,75.30428571428571
109,29,54.41
110,80,40.35
111,67,45.18
112,63,79.49666666666667
113,70,70.57
114,56,42.17666666666667
115,54,63.16
116,0,65.37
117,94,69.19
118,52,49.77
119,1,76.73
120,69,74.2
121,96,68.01183333333334
122,97,69.64
123,68,71.62
124,87,70.65166666666667
125,83,75.82
126,8,28.7
127,75,39.64666666666667
128,70,62.75
129,86,83.15
130,74,61.84
131,72,62.797749999999986
132,9,13.488499999999998
133,1,27.95
134,73,52.39833333333334
135,65,57.26
136,52,6.55
137,68,48.9
138,1,22.73
139,0,4.24
140,95,28.81
141,83,51.73
142,25,10.86
143,81,75.30761904761904
144,10,53.23
145,45,58.96
146,64,33.265
147,1,32.72
148,0,12.86
149,49,50.97333333333333
150,97,84.74183333333335
151,82,61.3
152,96,73.28
153,11,70.3025
154,14,61.92
155,34,44.61
156,98,28.6
157,77,91.99888095238097
158,44,55.85
159,90,95.71
160,20,54.53
161,25,52.26
162,77,59.51
163,95,66.48
164,86,70.38
165,59,70.41
166,0,10.9
167,62,58.3065
168,92,56.10833333333333
169,1,14.038214285714284
170,8,35.73
171,70,69.92
172,88,95.83
173,0,72.9
174,91,83.87
175,41,38.71583333333333
176,84,69.96
177,64,73.15
178,74,74.61
179,7,36.43
180,70,77.84
181,20,69.75166666666667
182,1,59.22
183,95,33.8
184,26,63.69
185,70,9.42
186,1,16.59
187,1,24.72
188,11,15.78404761904762
189,72,75.30666666666667
190,45,73.87333333333333
191,46,28.42
192,35,37.37
193,95,73.71
194,88,69.24
195,33,48.19
196,75,68.91
197,51,61.67
198,21,55.85
199,90,50.46083333333333
200,83,72.69
201,80,69.51
202,98,87.99
203,43,58.592857142857135
204,78,55.68
205,42,73.94254761904763
206,26,44.4
207,1,35.177976190476194
208,1,63.11
209,85,57.050357142857145
210,83,75.29
211,65,63.31
212,76,67.78466666666667
213,1,38.87
214,31,54.09
215,45,45.92333333333333
216,83,74.52
217,64,55.018
218,75,15.0
219,0,40.47
220,35,43.89
221,0,4.03
222,31,56.9
223,42,67.875
224,65,74.12085714285715
225,80,78.64
226,43,50.87
227,76,29.7
228,0,69.08083333333333
229,60,5.09
230,66,52.07
231,30,57.82666666666666
232,78,54.408
233,1,16.32
234,78,61.815
235,0,7.24
236,92,1.81
237,0,20.89
238,89,73.03
239,41,14.67
240,85,80.72
241,83,50.065
242,35,67.99900793650794
243,41,25.28
244,84,75.0
245,92,84.49
246,78,79.46
247,99,67.15
248,48,60.94
249,10,34.03
250,11,8.44
251,0,35.62
252,33,55.62
253,1,37.7
254,46,54.07
255,1,68.68
256,40,52.59
257,85,55.44
258,74,57.91
259,1,44.08333333333333
260,83,73.47
261,20,72.9
262,41,50.09
263,99,70.59916666666666
264,78,75.6375
265,45,51.23
266,50,63.33
267,8,9.74
268,35,38.98821428571429
269,76,65.02
270,1,5.3
271,96,82.1
272,50,57.68999999999999
273,0,15.28
274,36,54.59
275,65,80.38
276,0,60.49
277,0,3.25
278,71,69.555
279,80,40.35
280,70,78.38666666666667
281,75,66.33366666666667
282,0,35.87083333333334
283,81,72.03699999999999
284,67,59.49333333333333
285,70,67.122
286,0,57.53397619047618
287,88,53.728
288,90,81.09783333333333
