,Yields,Predicted Yields
0,61,55.85
1,69,32.07149999999999
2,0,27.460571428571434
3,79,79.47
4,17,72.92666666666668
5,77,36.95733333333334
6,88,68.94
7,44,47.43
8,71,77.39533333333333
9,0,9.11
10,51,76.04833333333333
11,41,44.99
12,29,27.0
13,90,34.32833333333333
14,10,47.36666666666666
15,92,68.13
16,58,73.55
17,97,90.31
18,70,70.56333333333333
19,35,45.89
20,19,69.83
21,8,23.27166666666667
22,85,73.78333333333333
23,1,33.034
24,88,75.46
25,30,17.832
26,47,57.6
27,96,57.57142857142857
28,10,35.5
29,30,47.093333333333334
30,28,83.18799999999999
31,87,58.95666666666666
32,54,62.97
33,60,58.59557142857142
34,90,75.15
35,63,66.41
36,1,29.831
37,77,67.6
38,14,38.17
39,96,85.67583333333332
40,74,59.54333333333334
41,80,82.98583333333332
42,31,29.375999999999998
43,1,52.1892619047619
44,45,59.31041666666666
45,49,64.40666666666667
46,53,71.32333333333334
47,38,32.78666666666666
48,86,76.68
49,43,53.708999999999996
50,26,45.21
51,1,18.23
52,96,33.034333333333336
53,45,43.47375
54,73,55.9975
55,93,85.39
56,99,93.78
57,62,60.934749999999994
58,11,21.215416666666666
59,83,84.82
60,85,57.496916666666664
61,80,57.49
62,86,76.32
63,63,61.87
64,35,51.34
65,71,79.186
66,0,7.48
67,8,18.14
68,45,59.21666666666667
69,77,50.2
70,78,59.158
71,76,32.08
72,1,27.51
73,80,71.168
74,73,65.37666666666667
75,27,33.32566666666666
76,80,72.78
77,83,53.66714285714286
78,99,82.65
79,17,40.38
80,20,35.48
81,1,28.83316666666666
82,95,78.83
83,90,80.33
84,18,45.18
85,0,55.85
86,73,62.72
87,0,27.41
88,1,83.16
89,40,57.47
90,61,54.62
91,72,75.07666666666667
92,80,68.16
93,94,40.685
94,95,75.63
95,86,70.0825
96,0,40.685
97,82,66.90216666666666
98,70,79.89466666666667
99,37,61.71
100,95,58.05
101,91,85.09
102,33,58.85583333333333
103,52,55.08
104,70,52.480277777777786
105,95,75.9725
106,56,72.72
107,96,70.01
108,52,44.74666666666666
109,86,67.60216666666668
110,17,21.033166666666666
111,99,70.74428571428571
112,58,60.91
113,53,60.5
114,65,66.82883333333334
115,41,52.0825
116,15,27.299999999999997
117,58,75.73580952380952
118,0,28.608166666666662
119,65,81.3175
120,94,83.19
121,40,27.23
122,50,67.35524999999998
123,89,76.49
124,79,66.51
125,75,60.37
126,89,72.67666666666668
127,76,80.73333333333333
128,0,72.03
129,1,55.6975
130,20,34.44
131,7,45.61833333333333
132,68,58.36
133,76,64.25
134,33,69.88
135,1,31.76
136,70,61.88
137,73,67.98
138,50,34.76
139,12,30.57
140,0,24.940833333333334
141,58,67.67897619047619
142,75,42.46333333333334
143,30,56.43
144,25,12.5575
145,77,60.08666666666667
146,70,13.51
147,34,35.64
148,0,38.43
149,39,29.62
150,50,60.74
151,40,63.64397619047619
152,10,28.737999999999996
153,71,75.29
154,45,42.24
155,80,65.91
156,70,64.905
157,83,69.14716666666668
158,78,65.17083333333333
159,98,46.779833333333336
160,0,8.6225
161,60,43.480666666666664
162,81,70.28
163,49,59.76
164,54,64.97
165,17,30.635
166,97,79.17
167,10,37.71
168,65,65.71083333333335
169,25,37.04
170,95,74.025
171,47,16.530833333333334
172,60,77.203
173,43,62.99
174,86,63.18
175,78,61.13333333333334
176,70,68.25
177,97,74.70905952380951
178,60,64.39834004884005
179,74,62.75
180,90,92.11
181,0,16.631666666666668
182,0,32.504999999999995
183,37,73.43
184,89,60.724
185,85,75.49333333333333
186,77,69.36333333333333
187,69,31.198999999999998
188,89,76.13066666666667
189,73,74.23666666666666
190,82,75.9125
191,98,78.77697619047619
192,27,40.45
193,75,76.29
194,0,23.35
195,45,48.89666666666666
196,0,53.01
197,96,70.21
198,75,71.5
199,52,76.80666666666666
200,0,10.13
201,8,34.3545
202,95,77.01833333333335
203,28,16.87
204,1,16.18
205,23,27.03
206,83,75.75
207,46,60.11
208,20,68.54166666666666
209,78,39.17816666666667
210,99,80.1
211,1,59.58
212,0,4.17
213,45,79.15
214,76,56.7
215,1,58.318000000000005
216,72,74.6
217,98,83.865
218,71,55.36666666666666
219,93,62.56666666666668
220,85,92.11
221,75,74.95333333333333
222,0,60.56666666666667
223,0,47.19650000000001
224,50,62.38
225,1,21.61
226,79,57.075
227,86,74.51
228,35,63.67333333333333
229,97,63.7
230,84,79.755
231,27,34.57
232,46,43.04166666666666
233,80,67.7
234,74,78.87
235,82,42.185
236,75,60.35666666666667
237,95,66.80233333333332
238,62,46.78
239,8,30.0
240,50,81.72083333333333
241,34,48.94416666666666
242,47,69.83
243,74,38.903333333333336
244,75,67.70333333333333
245,1,44.20791666666666
246,11,7.64
247,46,37.69
248,92,71.21833333333333
249,66,65.64191666666666
250,37,43.84
251,75,63.38
252,41,21.588333333333335
253,77,70.22
254,47,66.47
255,78,70.23
256,97,61.52
257,80,75.26333333333334
258,41,33.32
259,52,48.06
260,93,86.014
261,9,14.14
262,83,75.81
263,49,42.04791666666666
264,34,64.74000000000001
265,18,14.9045
266,0,15.8495
267,71,79.2
268,81,70.24
269,43,46.63
270,91,81.75
271,0,9.9225
272,1,28.29
273,75,50.25287301587301
274,43,70.4925
275,63,73.43
276,31,28.785
277,0,10.873333333333335
278,53,68.66
279,29,20.44066666666667
280,41,57.8
281,90,86.82
282,35,41.34875
283,85,73.93
284,22,83.4
285,81,61.44833333333333
286,65,75.7869761904762
287,99,92.11
288,66,60.37
