,Yields,Predicted Yields
0,54.0,33.14515
1,80.0,66.36609
2,1.0,30.534597
3,45.0,45.70303
4,64.0,53.719414
5,39.0,29.078886
6,85.0,78.4473
7,0.0,27.179096
8,86.0,57.320084
9,66.0,47.16971
10,88.0,57.16207
11,98.0,59.491943
12,50.0,34.574417
13,0.0,23.601254
14,99.0,72.28288
15,86.0,85.32329
16,81.0,49.92302
17,40.0,31.54892
18,1.0,37.759182
19,85.0,43.837112
20,33.0,31.402813
21,65.0,77.46951
22,0.0,62.20414
23,1.0,45.777367
24,93.0,61.91771
25,83.0,59.29684
26,89.0,73.50665
27,0.0,25.818535
28,63.0,69.82597
29,64.0,52.126022
30,20.0,50.361897
31,34.0,35.586098
32,91.0,50.73121
33,80.0,61.439922
34,75.0,59.851654
35,64.0,58.585922
36,30.0,19.825483
37,76.0,53.11258
38,85.0,62.379665
39,17.0,64.92028
40,82.0,75.41438
41,1.0,45.789238
42,52.0,59.533394
43,29.0,35.412235
44,46.0,61.91771
45,19.0,63.84816
46,64.0,47.042747
47,0.0,69.082535
48,69.0,59.093803
49,40.0,29.973606
50,78.0,58.738136
51,34.0,37.091007
52,49.0,60.32738
53,93.0,62.417152
54,85.0,26.656418
55,35.0,50.295403
56,69.0,55.55811
57,0.0,28.347176
58,88.0,56.418022
59,38.0,19.945496
60,90.0,58.350266
61,83.0,81.54702
62,58.0,60.9408
63,73.0,74.87788
64,73.0,52.422386
65,77.0,51.35383
66,88.0,86.117905
67,78.0,96.19612
68,18.0,21.816765
69,0.0,63.318336
70,27.0,32.82676
71,71.0,49.414032
72,27.0,46.21057
73,35.0,52.575626
74,98.0,63.318336
75,81.0,60.62047
76,44.0,37.44962
77,72.0,56.38513
78,50.0,43.13758
79,45.0,41.28763
80,39.0,20.02867
81,83.0,80.7337
82,33.0,37.091007
83,0.0,37.840485
84,43.0,40.62937
85,85.0,79.76003
86,0.0,25.181618
87,0.0,42.40584
88,0.0,64.38318
89,72.0,69.49872
90,66.0,44.51997
91,63.0,46.5406
92,94.0,60.791542
93,86.0,76.22171
94,85.0,63.8629
95,72.0,49.89401
96,75.0,58.989693
97,0.0,39.478233
98,73.0,56.321533
99,4.0,33.529083
100,1.0,62.602455
101,40.0,41.794907
102,58.0,73.35913
103,0.0,38.129105
104,31.0,49.739464
105,23.0,36.48339
106,85.0,72.70197
107,1.0,48.131104
108,91.0,74.39956
109,42.0,75.7986
110,47.0,43.86604
111,44.0,25.27827
112,83.0,54.482735
113,18.0,38.594315
114,36.0,53.526665
115,90.0,65.68555
116,56.0,57.16564
117,87.0,53.982777
118,25.0,31.40281
