,Yields,Predicted Yields
0,61.0,26.21084
1,69.0,36.590275
2,0.0,52.084057
3,79.0,65.37846
4,17.0,72.03758
5,77.0,36.590275
6,88.0,58.869446
7,44.0,38.74507
8,71.0,57.812565
9,0.0,20.98839
10,51.0,64.565544
11,41.0,58.012436
12,29.0,52.90939
13,90.0,52.313953
14,10.0,5.228608
15,92.0,60.06232
16,58.0,56.936977
17,97.0,54.487022
18,70.0,80.87562
19,35.0,55.130604
20,19.0,60.92032
21,8.0,61.241844
22,85.0,79.068146
23,1.0,48.999302
24,88.0,66.57901
25,30.0,17.391003
26,47.0,51.807835
27,96.0,62.90842
28,10.0,55.652267
29,30.0,36.44205
30,28.0,74.81517
31,87.0,53.17229
32,54.0,41.617096
33,60.0,67.46041
34,90.0,82.01934
35,63.0,80.10813
36,1.0,26.647886
37,77.0,60.137753
38,14.0,29.955858
39,96.0,66.88308
40,74.0,58.259144
41,80.0,66.17638
42,31.0,36.590275
43,1.0,56.308117
44,45.0,38.73903
45,49.0,74.5219
46,53.0,63.60783
47,38.0,38.21816
48,86.0,66.30603
49,43.0,39.634686
50,26.0,47.95918
51,1.0,37.619545
52,96.0,36.590275
53,45.0,53.23364
54,73.0,55.21461
55,93.0,77.625946
56,99.0,61.5982
57,62.0,34.715454
58,11.0,34.486225
59,83.0,62.59024
60,85.0,68.5347
61,80.0,72.18176
62,86.0,53.23056
63,63.0,46.24289
64,35.0,48.43221
65,71.0,66.84204
66,0.0,33.36997
67,8.0,8.067565
68,45.0,70.297775
69,77.0,60.433887
70,78.0,56.79383
71,76.0,38.180374
72,1.0,48.364677
73,80.0,52.28117
74,73.0,45.208572
75,27.0,47.52155
76,80.0,73.18157
77,83.0,61.693394
78,99.0,72.67434
79,17.0,60.062325
80,20.0,41.33742
81,1.0,53.489986
82,95.0,80.4421
83,90.0,52.231667
84,18.0,16.78169
85,0.0,35.29797
86,73.0,60.63423
87,0.0,43.504086
88,1.0,49.15604
89,40.0,54.018818
90,61.0,47.59295
91,72.0,62.85924
92,80.0,40.893887
93,94.0,62.083973
94,95.0,46.136765
95,86.0,57.282997
96,0.0,62.083973
97,82.0,42.468777
98,70.0,79.80937
99,37.0,47.081326
100,95.0,58.234314
101,91.0,63.304935
102,33.0,46.77953
103,52.0,44.13467
104,70.0,61.809555
105,95.0,74.691986
106,56.0,50.297497
107,96.0,91.08006
108,52.0,58.196323
109,86.0,92.393005
110,17.0,42.083714
111,99.0,82.08632
112,58.0,47.211872
113,53.0,47.27476
114,65.0,42.468777
115,41.0,42.468777
116,15.0,36.274548
117,58.0,61.117115
118,0.0,49.100315
119,65.0,82.42738
120,94.0,49.31127
121,40.0,51.93844
122,50.0,41.468582
123,89.0,87.97566
124,79.0,88.150505
125,75.0,40.846897
126,89.0,74.56881
127,76.0,72.69359
128,0.0,39.377518
129,1.0,46.800983
130,20.0,40.285778
131,7.0,69.00124
132,68.0,50.393517
133,76.0,63.007336
134,33.0,35.48012
135,1.0,43.529194
136,70.0,65.46524
137,73.0,44.217197
138,50.0,33.483387
139,12.0,49.673782
140,0.0,-1.7226683
141,58.0,69.782394
142,75.0,61.53991
143,30.0,66.10275
144,25.0,27.391718
145,77.0,39.741936
146,70.0,30.130438
147,34.0,28.646414
148,0.0,49.15604
149,39.0,11.348233
150,50.0,45.565044
151,40.0,60.709743
152,10.0,38.455456
153,71.0,48.26861
154,45.0,53.630493
155,80.0,67.34938
156,70.0,64.72603
157,83.0,42.468777
158,78.0,78.65656
159,98.0,58.050945
160,0.0,36.117275
161,60.0,48.00902
162,81.0,67.81192
163,49.0,54.38911
164,54.0,42.69349
165,17.0,17.231136
166,97.0,84.93249
167,10.0,56.750053
168,65.0,56.594006
169,25.0,30.130438
170,95.0,62.945248
171,47.0,16.485277
172,60.0,56.897892
173,43.0,62.82654
174,86.0,46.149426
175,78.0,59.61115
176,70.0,61.861015
177,97.0,75.279175
178,60.0,60.12728
179,74.0,40.854412
180,90.0,58.56
181,0.0,46.295162
182,0.0,40.230724
183,37.0,61.878036
184,89.0,59.444275
185,85.0,82.29697
186,77.0,59.71564
187,69.0,51.413647
188,89.0,78.99987
189,73.0,82.60022
190,82.0,69.229324
191,98.0,60.12728
192,27.0,47.591415
193,70.0,51.009113
194,50.0,43.505203
195,25.0,35.07801
196,84.0,63.460747
197,35.0,51.72718
198,23.0,44.66623
199,90.0,54.390057
200,0.0,46.724895
201,64.0,54.148888
202,0.0,60.493378
203,30.0,41.65268
204,84.0,41.190285
205,0.0,37.894478
206,64.0,45.8953
207,61.0,66.690704
208,92.0,91.10849
209,56.0,48.579662
210,85.0,61.090084
211,1.0,50.867348
212,0.0,45.1978
213,23.0,44.325447
214,45.0,52.040684
215,8.0,58.135532
216,86.0,51.30015
217,30.0,23.083448
218,72.0,75.03952
219,1.0,54.131516
