,Yields,Predicted Yields
0,25.0,31.376427
1,85.0,55.46731
2,60.0,31.014141
3,11.0,31.229612
4,68.0,52.513554
5,0.0,43.81473
6,83.0,46.04213
7,45.0,62.369488
8,77.0,50.144882
9,87.0,49.806976
10,0.0,25.274359
11,43.0,49.584034
12,14.0,22.928038
13,56.0,31.376427
14,38.0,16.966908
15,88.0,73.73774
16,7.0,73.61802
17,90.0,68.28159
18,38.0,43.15997
19,88.0,91.68172
20,77.0,58.85704
21,86.0,58.834488
22,29.0,71.88018
23,1.0,27.775366
24,19.0,75.642365
25,0.0,45.534397
26,52.0,30.616322
27,83.0,62.20171
28,97.0,82.69483
29,85.0,62.935455
30,31.0,55.788303
31,80.0,62.170963
32,0.0,45.551937
33,88.0,62.31657
34,83.0,62.20171
35,35.0,55.175724
36,86.0,56.100277
37,0.0,38.92081
38,84.0,65.54573
39,1.0,45.629177
40,84.0,72.28359
41,91.0,61.58254
42,43.0,42.523205
43,82.0,80.446724
44,0.0,53.599316
45,78.0,76.666374
46,60.0,53.458935
47,63.0,45.941647
48,92.0,61.39948
49,1.0,14.0844145
50,81.0,51.34687
51,86.0,99.50431
52,85.0,31.948505
53,20.0,51.072735
54,35.0,68.34777
55,1.0,21.891235
56,78.0,48.18024
57,75.0,42.788876
58,90.0,58.99196
59,78.0,63.18122
60,99.0,67.87298
61,86.0,52.405178
62,1.0,59.936344
63,88.0,56.829414
64,48.0,73.15573
65,80.0,72.36592
66,0.0,45.822693
67,90.0,54.64616
68,75.0,40.940075
69,86.0,53.13612
70,83.0,54.8473
71,0.0,21.294462
72,60.0,53.395954
73,88.0,90.31016
74,0.0,26.521341
75,67.0,28.194849
76,0.0,36.010883
77,80.0,72.8141
78,0.0,58.84241
79,55.0,69.508125
80,21.0,35.800476
81,64.0,64.347496
82,95.0,50.938343
83,46.0,33.306126
84,0.0,45.601166
85,75.0,92.494774
86,98.0,54.723213
87,86.0,63.34926
88,58.0,33.306126
89,85.0,61.458202
90,69.0,50.719093
91,65.0,50.072346
92,62.0,56.41442
93,96.0,78.11768
94,34.0,34.866276
95,33.0,43.273342
96,26.0,47.45822
97,92.0,88.26881
98,45.0,62.210045
99,30.0,57.49542
100,37.0,39.421146
101,0.0,71.43838
102,82.0,76.193756
103,58.0,58.52972
104,1.0,48.019894
105,10.0,5.261679
106,1.0,56.739033
107,88.0,70.61114
108,64.0,52.094852
109,30.0,15.795767
110,1.0,12.624812
111,94.0,59.074448
112,1.0,22.95745
113,56.0,31.014141
114,60.0,50.162056
115,98.0,60.309273
116,17.0,36.874004
117,92.0,54.723213
118,44.0,35.118046
119,85.0,58.763382
120,73.0,47.050457
121,1.0,33.306126
122,88.0,68.23171
123,73.0,76.2217
124,4.0,10.555062
125,1.0,25.713264
126,76.0,59.298573
127,51.0,52.749817
128,85.0,59.992386
129,60.0,63.648357
130,82.0,54.723213
131,93.0,78.383896
132,71.0,31.014141
133,27.0,48.00895
134,87.0,64.85673
135,90.0,80.224434
136,51.0,33.341423
137,31.0,39.067623
138,51.0,62.7124
139,29.0,26.856035
140,96.0,81.91192
141,75.0,44.679886
142,86.0,68.147026
143,97.0,31.014141
144,92.0,74.656395
145,95.0,63.253666
146,54.0,38.545006
147,52.0,57.926617
148,31.0,20.878134
149,0.0,71.916756
150,89.0,77.565094
151,74.0,31.014141
152,85.0,56.163486
153,0.0,22.631044
154,83.0,84.86765
155,70.0,60.459743
156,76.0,68.06862
157,1.0,45.67692
158,1.0,33.22886
159,98.0,34.9184
160,71.0,54.193993
161,22.0,57.74695
162,51.0,58.264317
163,43.0,45.551937
164,49.0,52.358948
165,40.0,53.602383
166,95.0,65.99224
167,31.0,44.661137
168,76.0,65.95111
169,70.0,73.54473
170,0.0,45.551937
171,49.0,65.45477
172,48.0,46.04213
173,1.0,49.490078
174,65.0,36.65289
175,0.0,67.63494
176,97.0,90.42972
177,12.0,48.85513
178,60.0,29.676409
179,0.0,44.282654
180,54.0,46.53709
181,1.0,38.168423
182,36.0,31.376427
183,74.0,49.02167
184,47.0,11.605946
185,64.0,54.723213
186,19.0,60.70764
187,97.0,75.98246
188,93.0,43.85973
189,78.0,65.23153
190,34.0,53.460545
191,83.0,28.495564
192,12.0,20.829908
193,30.0,67.79933
194,74.0,55.62949
195,90.0,52.114513
196,84.0,67.90202
197,45.0,45.657356
198,65.0,79.72653
199,1.0,59.707794
200,57.0,41.061787
201,69.0,45.967575
202,93.0,58.697823
203,58.0,67.27694
204,85.0,61.84127
205,99.0,66.59465
206,0.0,26.884277
207,85.0,68.0659
208,0.0,55.104767
209,20.0,21.802155
210,83.0,77.14294
211,95.0,79.91659
212,42.0,46.80619
213,44.0,61.114563
214,73.0,84.7958
215,54.0,67.29572
216,87.0,60.313118
217,0.0,50.17669
218,96.0,81.51397
219,37.0,58.776955
220,1.0,65.48666
221,54.0,49.632683
222,78.0,54.751408
223,56.0,62.26758
224,90.0,50.217518
225,99.0,45.456253
226,38.0,30.178028
227,78.0,73.67661
228,92.0,32.81321
229,82.0,59.22255
230,52.0,63.27229
231,67.0,44.170547
232,49.0,41.897774
233,86.0,54.931793
234,78.0,58.314373
235,0.0,34.95158
236,80.0,70.34858
237,75.0,31.101768
238,83.0,45.52103
239,10.0,33.159325
240,18.0,38.935387
241,15.0,32.92417
242,70.0,70.19104
243,12.0,56.843357
244,35.0,68.62606
245,26.0,47.941376
246,20.0,40.31138
247,0.0,20.832392
248,85.0,79.81666
249,70.0,62.015614
250,93.0,74.209854
251,76.0,60.368008
252,66.0,45.378647
253,83.0,76.63877
254,48.0,64.390755
255,0.0,55.881897
256,98.0,51.54721
257,70.0,48.69996
258,42.0,65.075096
259,85.0,77.09279
260,75.0,39.679516
261,0.0,67.08683
262,14.0,24.44675
263,1.0,13.668033
264,86.0,70.21128
265,86.0,56.283672
266,78.0,69.54267
267,0.0,48.402084
268,60.0,57.08851
269,0.0,37.098488
270,67.0,35.748
271,93.0,60.509407
272,47.0,56.264072
273,65.0,56.26407
274,63.0,33.484516
275,91.0,58.697823
276,79.0,88.22116
277,10.0,8.393113
278,0.0,56.806393
279,99.0,53.50706
280,28.0,31.101768
281,33.0,70.90564
282,1.0,49.93444
283,5.0,31.663715
284,35.0,56.64233
285,53.0,51.07462
286,36.0,61.225113
287,40.0,55.54319
288,0.0,45.95139
289,68.0,66.46696
290,78.0,58.97193
291,32.0,65.99481
292,92.0,73.66115
293,44.0,32.81321
294,66.0,47.84498
295,90.0,77.711266
296,44.0,53.243988
297,94.0,53.778397
298,55.0,37.098488
299,8.0,40.672607
300,80.0,44.458214
301,90.0,84.711
302,75.0,45.967575
303,84.0,72.17956
304,96.0,86.53781
305,75.0,95.20314
306,90.0,50.747227
307,0.0,68.14544
308,88.0,70.7335
309,0.0,51.596268
310,53.0,66.554535
311,99.0,86.30542
312,26.0,41.45585
313,68.0,51.808605
314,34.0,54.285408
315,75.0,60.501343
316,0.0,65.87612
317,88.0,59.959877
318,0.0,43.103035
319,85.0,59.29915
320,73.0,94.35401
321,0.0,25.375412
322,34.0,37.503075
323,72.0,64.455315
