,Yields,Predicted Yields
0,91.0,73.81101
1,1.0,43.32106
2,13.0,54.385204
3,76.0,63.397537
4,54.0,48.15376
5,35.0,44.70885
6,60.0,46.610996
7,50.0,42.350784
8,73.0,68.78472
9,20.0,70.825516
10,4.0,51.832203
11,37.0,57.923134
12,86.0,67.022125
13,84.0,48.923584
14,45.0,52.96915
15,75.0,60.17261
16,36.0,53.938515
17,93.0,56.478504
18,94.0,66.69078
19,81.0,65.98959
20,9.0,31.685972
21,45.0,42.683544
22,1.0,43.110046
23,75.0,43.78419
24,35.0,50.85799
25,75.0,73.184845
26,0.0,48.787086
27,92.0,56.620872
28,62.0,35.673023
29,63.0,42.70732
30,78.0,46.695454
31,94.0,40.53841
32,1.0,32.886738
33,64.0,52.736366
34,30.0,60.639214
35,43.0,53.59195
36,1.0,51.74236
37,46.0,63.07767
38,67.0,42.4265
39,45.0,58.385513
40,70.0,36.29874
41,63.0,51.683495
42,36.0,39.81563
43,95.0,47.880745
44,66.0,57.317337
45,35.0,45.156494
46,81.0,44.70398
47,67.0,47.713943
48,52.0,46.626602
49,0.0,56.002884
50,0.0,37.195827
51,40.0,70.75599
52,83.0,46.693993
53,76.0,43.007774
54,0.0,34.456993
55,20.0,49.121323
56,80.0,47.713943
57,67.0,39.072014
58,12.0,77.784515
59,77.0,55.362167
60,7.0,68.00809
61,83.0,67.59852
62,31.0,48.8247
63,0.0,63.17975
64,66.0,69.29468
65,42.0,49.26796
66,1.0,58.556515
67,70.0,47.966137
68,92.0,49.026283
69,83.0,72.706604
70,85.0,60.166626
71,77.0,77.981125
72,0.0,65.60631
73,69.0,46.40539
74,26.0,55.60168
75,10.0,52.78604
76,99.0,65.924805
77,21.0,40.85361
78,86.0,95.23132
79,45.0,47.232597
80,78.0,47.873566
81,89.0,43.27195
82,20.0,48.202785
83,93.0,56.002884
84,40.0,52.547264
85,98.0,47.46807
86,81.0,66.53911
87,34.0,60.018463
88,78.0,66.918564
89,56.0,46.80616
90,58.0,59.40661
91,61.0,28.27875
92,98.0,57.184307
93,74.0,58.43439
94,1.0,35.040516
95,80.0,82.394775
96,11.0,70.352615
97,72.0,44.219437
98,1.0,46.52548
99,52.0,41.42212
100,11.0,37.393215
101,89.0,61.225636
102,95.0,57.14734
103,55.0,52.122425
104,78.0,58.963547
105,35.0,40.908455
106,76.0,53.325523
107,0.0,41.245346
108,1.0,58.062122
109,49.0,63.505882
110,1.0,47.310753
111,99.0,83.32191
112,1.0,44.51103
113,14.0,41.021004
114,0.0,35.997757
115,55.0,42.350784
116,79.0,72.890724
117,62.0,37.95392
118,50.0,49.25254
119,23.0,55.61609
120,78.0,48.985428
121,41.0,43.396355
122,46.0,49.87118
123,82.0,67.96904
124,85.0,72.363594
125,35.0,56.169216
126,45.0,75.79986
127,99.0,76.74011
128,85.0,63.855423
129,92.0,41.786156
130,48.0,67.05638
131,74.0,63.626705
132,70.0,52.296104
133,98.0,51.103443
134,49.0,36.29874
135,85.0,61.06357
136,65.0,70.80307
137,72.0,57.253326
138,71.0,74.30851
139,75.0,100.23003
140,90.0,49.204895
141,29.0,59.26187
142,0.0,60.29653
143,43.0,60.166626
144,54.0,61.251007
145,46.0,74.12395
146,43.0,49.18585
147,25.0,35.86061
148,63.0,43.725925
149,49.0,56.638493
150,0.0,39.106964
151,19.0,57.184307
152,44.0,41.786156
153,0.0,36.29193
154,83.0,67.113945
155,90.0,47.84748
156,75.0,41.422115
157,0.0,57.340626
158,81.0,47.238777
159,59.0,72.374176
160,53.0,58.664497
161,86.0,40.53841
162,35.0,42.129402
163,0.0,42.350784
164,36.0,43.131096
165,89.0,53.79892
166,46.0,41.786156
167,33.0,42.857006
168,50.0,48.803406
169,68.0,42.621006
170,51.0,45.262375
171,51.0,59.792747
