,Yields,Predicted Yields
0,61.0,30.338272
1,69.0,26.041454
2,0.0,35.79077
3,79.0,56.15673
4,17.0,107.20664
5,77.0,26.041454
6,88.0,78.59698
7,44.0,49.08273
8,71.0,87.05786
9,0.0,26.770702
10,51.0,65.539505
11,41.0,37.500343
12,29.0,48.129784
13,90.0,46.918785
14,10.0,41.664673
15,92.0,50.057343
16,58.0,45.89155
17,97.0,57.77306
18,70.0,86.43296
19,35.0,70.148415
20,19.0,67.997765
21,8.0,47.460785
22,85.0,60.170982
23,1.0,27.804602
24,88.0,54.05839
25,30.0,33.175713
26,47.0,49.902332
27,96.0,60.859295
28,10.0,58.271797
29,30.0,64.9833
30,28.0,66.66581
31,87.0,62.76657
32,54.0,56.06716
33,60.0,56.685204
34,90.0,70.33924
35,63.0,57.402256
36,1.0,25.80804
37,77.0,115.9488
38,14.0,29.623192
39,96.0,55.933083
40,74.0,64.82503
41,80.0,55.933083
42,31.0,26.041454
43,1.0,55.23961
44,45.0,30.602678
45,49.0,72.36617
46,53.0,68.055275
47,38.0,46.3714
48,86.0,71.79241
49,43.0,50.10668
50,26.0,43.458656
51,1.0,37.386623
52,96.0,26.041454
53,45.0,31.84056
54,73.0,67.69804
55,93.0,73.65719
56,99.0,59.059265
57,62.0,30.602678
58,11.0,40.04628
59,83.0,59.836662
60,85.0,78.38003
61,80.0,59.233643
62,86.0,42.82898
63,63.0,47.94403
64,35.0,62.920864
65,71.0,85.88885
66,0.0,34.861183
67,8.0,28.014221
68,45.0,68.58717
69,77.0,63.035892
70,78.0,40.171833
71,76.0,30.253124
72,1.0,27.567791
73,80.0,65.79038
74,73.0,33.350502
75,27.0,26.438131
76,80.0,98.735695
77,83.0,45.536484
78,99.0,44.1519
79,17.0,50.057343
80,20.0,38.0574
81,1.0,27.769423
82,95.0,96.43937
83,90.0,47.30435
84,18.0,3.830729
85,0.0,30.338272
86,73.0,55.95709
87,0.0,39.897743
88,1.0,39.860638
89,40.0,90.0104
90,61.0,78.268425
91,72.0,60.156876
92,80.0,57.933987
93,94.0,48.19711
94,95.0,45.50157
95,86.0,59.049393
96,0.0,48.19711
97,82.0,30.602678
98,70.0,60.956795
99,37.0,33.87394
100,95.0,50.057343
101,91.0,59.05018
102,33.0,48.080788
103,52.0,48.680737
104,70.0,37.502396
105,95.0,85.96328
106,56.0,43.478146
107,96.0,80.21852
108,52.0,37.482944
109,86.0,84.52981
110,17.0,26.041454
111,99.0,58.961967
112,58.0,47.94403
113,53.0,47.683197
114,65.0,30.602678
115,41.0,30.602678
116,15.0,26.617287
117,58.0,43.494526
118,0.0,26.46014
119,65.0,71.810356
120,94.0,43.478146
121,40.0,50.08315
122,50.0,47.94403
123,89.0,51.765553
124,79.0,95.071236
125,75.0,30.338272
126,89.0,38.085167
127,76.0,43.434036
128,0.0,39.860638
129,1.0,40.352825
130,20.0,29.58356
131,7.0,48.19711
132,68.0,49.482826
133,76.0,59.801353
134,33.0,23.655113
135,1.0,38.867386
136,70.0,46.575047
137,73.0,51.15451
138,50.0,56.09263
139,12.0,57.756756
140,0.0,40.478218
141,58.0,63.081367
142,75.0,38.96318
143,30.0,56.71167
144,25.0,33.483913
145,77.0,23.396008
146,70.0,28.014221
147,34.0,37.293022
148,0.0,39.860638
149,39.0,27.831715
150,50.0,70.642395
151,40.0,69.67602
152,10.0,27.486897
153,71.0,43.469208
154,45.0,49.35759
155,80.0,97.93705
156,70.0,63.124847
157,83.0,30.602678
158,78.0,57.47668
159,98.0,36.968224
160,0.0,27.324654
161,60.0,55.69706
162,81.0,71.92791
163,49.0,93.32203
164,54.0,29.61118
165,17.0,38.161835
166,97.0,102.874756
167,10.0,57.585823
168,65.0,54.99498
169,25.0,28.014221
170,95.0,66.03594
171,47.0,25.802465
172,60.0,87.21495
173,43.0,82.86312
174,86.0,53.048325
175,78.0,37.66491
176,70.0,53.981632
177,97.0,63.185646
178,60.0,37.50239
179,74.0,55.07771
180,90.0,58.54433
181,0.0,37.749428
182,0.0,38.161835
183,37.0,67.913994
184,89.0,76.1545
185,85.0,97.14367
186,77.0,86.12351
187,69.0,27.518093
188,89.0,63.71401
189,73.0,97.573555
190,82.0,89.16431
191,98.0,37.502396
192,27.0,48.787933
193,70.0,88.88034
194,50.0,85.84252
195,25.0,49.7481
196,84.0,68.481224
197,35.0,63.422607
198,23.0,49.903725
199,90.0,55.488976
200,0.0,32.58319
201,64.0,36.648045
202,0.0,70.337685
203,30.0,50.193356
204,84.0,31.163443
205,0.0,32.745224
206,64.0,47.941307
207,61.0,52.993977
208,92.0,77.00028
209,56.0,47.941307
210,85.0,60.873764
211,1.0,34.513634
212,0.0,47.77337
213,23.0,33.92604
214,45.0,51.36144
215,8.0,57.067566
216,86.0,47.47617
217,30.0,27.886538
218,72.0,75.34194
219,1.0,33.08447
220,91.0,37.038464
221,58.0,45.27271
222,88.0,77.56217
223,37.0,54.54081
224,54.0,62.527855
225,74.0,62.19786
226,90.0,72.69507
227,92.0,36.648045
228,39.0,27.674932
229,68.0,50.106834
230,78.0,93.87881
231,45.0,54.946198
232,80.0,95.435616
233,75.0,36.77158
234,0.0,37.214363
235,20.0,33.776615
236,1.0,45.236813
237,35.0,32.745224
238,90.0,56.131416
239,20.0,50.995377
240,95.0,97.49283
241,53.0,50.7564
242,0.0,58.99303
243,90.0,80.88456
244,0.0,36.55296
245,0.0,36.94418
246,0.0,28.739258
247,76.0,47.040653
248,31.0,38.427116
249,50.0,50.981182
250,36.0,73.380684
251,74.0,55.722527
252,86.0,68.502014
253,1.0,26.659548
254,31.0,56.92556
255,82.0,36.648045
256,81.0,55.41195
257,56.0,27.884388
258,36.0,52.22384
259,42.0,87.044266
260,89.0,72.19759
261,47.0,52.106243
262,58.0,106.59896
263,0.0,32.745224
264,63.0,70.00524
265,1.0,35.05626
266,63.0,51.31656
267,93.0,58.293545
268,33.0,60.000904
269,53.0,72.072945
270,33.0,35.73919
