,Yields,Predicted Yields
0,25.0,32.77837
1,85.0,57.46685
2,60.0,31.0599
3,11.0,32.77837
4,68.0,44.549034
5,0.0,33.730904
6,83.0,35.488655
7,45.0,68.480576
8,77.0,58.62452
9,87.0,67.85045
10,0.0,32.79737
11,43.0,48.911667
12,14.0,33.461548
13,56.0,32.77837
14,38.0,34.787167
15,88.0,58.060043
16,7.0,39.968185
17,90.0,75.61064
18,38.0,62.30793
19,88.0,43.853985
20,77.0,61.914898
21,86.0,67.26927
22,29.0,68.23674
23,1.0,32.77837
24,19.0,59.567734
25,0.0,53.512924
26,52.0,34.71759
27,83.0,62.30793
28,97.0,60.75551
29,85.0,53.16469
30,31.0,48.00489
31,80.0,53.16469
32,0.0,33.536114
33,88.0,52.44407
34,83.0,62.30793
35,35.0,41.17749
36,86.0,74.03984
37,0.0,32.10828
38,84.0,42.78694
39,1.0,46.06057
40,84.0,125.99477
41,91.0,49.135044
42,43.0,62.317467
43,82.0,109.047806
44,0.0,52.23568
45,78.0,60.257164
46,60.0,57.40809
47,63.0,50.265152
48,92.0,95.808304
49,1.0,30.535467
50,81.0,52.216442
51,86.0,81.09381
52,85.0,36.578506
53,20.0,34.687828
54,35.0,61.52329
55,1.0,31.83571
56,78.0,50.265152
57,75.0,33.536114
58,90.0,54.817112
59,78.0,62.643486
60,99.0,68.02565
61,86.0,47.739296
62,1.0,53.512924
63,88.0,58.31577
64,48.0,39.968185
65,80.0,66.64059
66,0.0,32.014168
67,90.0,59.22094
68,75.0,42.972294
69,86.0,64.78907
70,83.0,47.471054
71,0.0,31.651814
72,60.0,68.13408
73,88.0,87.93468
74,0.0,34.71759
75,67.0,31.0599
76,0.0,35.54687
77,80.0,98.13287
78,0.0,38.13938
79,55.0,55.318306
80,21.0,35.343636
81,64.0,61.275032
82,95.0,60.16741
83,46.0,30.535467
84,0.0,48.198784
85,75.0,69.17406
86,98.0,39.355297
87,86.0,44.72451
88,58.0,30.535467
89,85.0,53.16469
90,69.0,52.019234
91,65.0,46.419296
92,62.0,57.79083
93,96.0,36.6382
94,34.0,33.29882
95,33.0,35.488655
96,26.0,48.695435
97,92.0,79.322845
98,45.0,52.436832
99,30.0,39.355293
100,37.0,57.49771
101,0.0,39.968185
102,82.0,114.54712
103,58.0,60.489136
104,1.0,50.265152
105,10.0,28.964275
106,1.0,42.773666
107,88.0,63.768337
108,64.0,16.644255
109,30.0,33.305397
110,1.0,43.124565
111,94.0,55.256317
112,1.0,34.903122
113,56.0,32.649887
114,60.0,60.346794
115,98.0,58.074142
116,17.0,30.535467
117,92.0,39.355297
118,44.0,55.591927
119,85.0,68.48395
120,73.0,61.6528
121,1.0,30.535467
122,88.0,74.9221
123,73.0,64.663666
124,4.0,36.413742
125,1.0,31.79143
126,76.0,46.759583
127,51.0,106.85613
128,85.0,74.17407
129,60.0,43.96199
130,82.0,39.355297
131,93.0,75.40556
132,71.0,31.0599
133,27.0,51.156734
134,87.0,80.11607
135,90.0,71.1812
136,51.0,68.96655
137,31.0,60.338913
138,51.0,58.046227
139,29.0,30.817799
140,96.0,53.117832
