,Yields,Predicted Yields
0,91.0,64.54851
1,1.0,37.550034
2,13.0,59.826202
3,76.0,54.356125
4,54.0,58.491165
5,35.0,48.280865
6,60.0,75.51787
7,50.0,36.68834
8,73.0,113.25814
9,20.0,66.88357
10,4.0,3.7153063
11,37.0,64.790886
12,86.0,103.831566
13,84.0,45.352203
14,45.0,32.507973
15,75.0,93.310455
16,36.0,38.999565
17,93.0,57.601257
18,94.0,65.60583
19,81.0,78.80778
20,9.0,34.65395
21,45.0,76.754616
22,1.0,30.889395
23,75.0,47.47136
24,35.0,39.85493
25,75.0,48.97577
26,0.0,36.28677
27,92.0,44.819874
28,62.0,36.97682
29,63.0,49.111504
30,78.0,67.87772
31,94.0,51.153027
32,1.0,28.299013
33,64.0,12.747039
34,30.0,60.075314
35,43.0,82.6663
36,1.0,22.092411
37,46.0,35.29888
38,67.0,31.602505
39,45.0,56.90687
40,70.0,28.971119
41,63.0,76.70357
42,36.0,73.77414
43,95.0,59.879684
44,66.0,126.23315
45,35.0,67.12978
46,81.0,35.030746
47,67.0,47.47136
48,52.0,48.190712
49,0.0,44.819874
50,0.0,35.030746
51,40.0,39.10778
52,83.0,63.10157
53,76.0,49.744705
54,0.0,31.602499
55,20.0,48.042988
56,80.0,47.47136
57,67.0,40.092514
58,12.0,58.02671
59,77.0,60.07531
60,7.0,40.02558
61,83.0,86.80184
62,31.0,49.730286
63,0.0,40.02558
64,66.0,39.84365
65,42.0,57.699814
66,1.0,59.815605
67,70.0,66.44163
68,92.0,73.71511
69,83.0,104.46955
70,85.0,42.92093
71,77.0,55.194504
72,0.0,28.871147
73,69.0,62.84079
74,26.0,37.866093
75,10.0,60.36572
76,99.0,72.80265
77,21.0,96.96739
78,86.0,70.94046
79,45.0,57.37712
80,78.0,51.76418
81,89.0,82.86042
82,20.0,50.1126
83,93.0,44.819874
84,40.0,87.0127
85,98.0,73.43255
86,81.0,39.646633
87,34.0,60.439423
88,78.0,90.35009
89,56.0,50.624004
90,58.0,66.68916
91,61.0,35.030746
92,98.0,60.722313
93,74.0,59.9397
94,1.0,28.787722
95,80.0,81.33856
96,11.0,95.152596
97,72.0,49.65634
98,1.0,49.831596
99,52.0,36.58585
100,11.0,29.454874
101,89.0,75.39068
102,95.0,77.60871
103,55.0,63.261906
104,78.0,60.88115
105,35.0,36.585854
106,76.0,39.046593
107,0.0,36.585854
108,1.0,50.063564
109,49.0,71.64183
110,1.0,49.744705
111,99.0,66.87025
112,1.0,37.212112
113,14.0,36.97682
114,0.0,37.550034
115,55.0,36.68834
116,79.0,59.979538
117,62.0,31.602499
118,50.0,60.07531
119,23.0,37.222782
120,78.0,18.48377
121,41.0,42.966644
122,46.0,64.257034
123,82.0,152.73067
124,85.0,67.45582
125,35.0,42.120747
126,45.0,71.02044
127,99.0,102.596176
128,85.0,67.146164
129,92.0,28.299013
130,48.0,40.02558
131,74.0,82.869835
132,70.0,61.148033
133,98.0,69.72836
134,49.0,28.971119
135,85.0,57.803654
136,65.0,74.86529
137,72.0,39.85493
138,71.0,75.464455
139,75.0,91.49624
140,90.0,60.39413
141,29.0,37.45947
142,0.0,38.68508
143,43.0,42.98619
144,54.0,37.510704
145,46.0,67.34933
146,43.0,62.140903
147,25.0,28.971119
148,63.0,35.48269
149,49.0,31.959288
150,0.0,50.679398
151,19.0,60.722313
152,44.0,28.299013
153,0.0,36.670578
154,83.0,50.05229
155,90.0,43.953415
156,75.0,36.585854
157,0.0,44.36642
158,81.0,74.646935
159,59.0,60.619995
160,53.0,57.996162
161,86.0,88.336296
162,35.0,51.448666
163,0.0,36.68834
164,36.0,62.90939
165,89.0,21.343718
166,46.0,28.299013
167,33.0,47.643036
168,50.0,39.27036
169,68.0,47.72309
170,51.0,62.525574
171,51.0,68.88011
172,92.0,63.704376
173,68.0,60.762184
174,77.0,47.47136
175,8.0,36.33193
176,41.0,28.971119
177,0.0,37.74711
178,20.0,37.55004
179,7.0,36.428257
180,1.0,37.097874
181,73.0,26.008047
182,88.0,77.9757
