,Yields,Predicted Yields
0,54.0,32.50906
1,80.0,82.467766
2,1.0,33.641006
3,45.0,35.97392
4,64.0,37.38461
5,39.0,33.80875
6,85.0,69.45268
7,0.0,34.418686
8,86.0,64.78589
9,66.0,37.957123
10,88.0,49.565407
11,98.0,57.62811
12,50.0,59.456123
13,0.0,35.57333
14,99.0,65.79802
15,86.0,86.85191
16,81.0,69.177345
17,40.0,36.50678
18,1.0,33.245255
19,85.0,32.987587
20,33.0,33.80875
21,65.0,71.558304
22,0.0,49.392403
23,1.0,49.91372
24,93.0,49.85756
25,83.0,61.118835
26,89.0,69.529495
27,0.0,34.418686
28,63.0,69.44762
29,64.0,46.30411
30,20.0,45.72639
31,34.0,32.833893
32,91.0,36.89781
33,80.0,103.101616
34,75.0,50.097095
35,64.0,59.37286
36,30.0,34.4049
37,76.0,75.73294
38,85.0,57.104164
39,17.0,47.43279
40,82.0,110.91809
41,1.0,33.756725
42,52.0,56.41494
43,29.0,33.245262
44,46.0,49.85756
45,19.0,57.874638
46,64.0,46.797077
47,0.0,65.270004
48,69.0,60.819504
49,40.0,34.418686
50,78.0,61.105904
51,34.0,35.675575
52,49.0,50.973972
53,93.0,54.563732
54,85.0,35.414845
55,35.0,83.501015
56,69.0,54.778004
57,0.0,33.131702
58,88.0,68.50393
59,38.0,34.53151
60,90.0,71.53606
61,83.0,87.11575
62,58.0,74.42456
63,73.0,73.094315
64,73.0,72.73822
65,77.0,49.91372
66,88.0,71.57251
67,78.0,76.55156
68,18.0,38.210125
69,0.0,54.778004
70,27.0,34.992218
71,71.0,90.857895
72,27.0,48.722515
73,35.0,64.84842
74,98.0,54.778004
75,81.0,73.41919
76,44.0,41.89852
77,72.0,53.415337
78,50.0,48.376076
79,45.0,74.30153
80,39.0,33.590546
81,83.0,96.75586
82,33.0,35.675575
83,0.0,33.167233
84,43.0,55.54541
85,85.0,84.83652
86,0.0,35.57333
87,0.0,34.2943
88,0.0,49.367413
89,72.0,65.35859
90,66.0,74.38578
91,63.0,48.376076
92,94.0,37.71253
93,86.0,83.52306
94,85.0,54.778004
95,72.0,49.91372
96,75.0,32.120792
97,0.0,34.186684
98,73.0,68.746254
99,4.0,36.76828
100,1.0,48.41488
101,40.0,36.693756
102,58.0,76.14133
103,0.0,34.35416
104,31.0,49.36863
105,23.0,35.95065
106,85.0,93.98535
