,Yields,Predicted Yields
0,54.0,69.94296
1,43.0,53.821938
2,48.0,35.414825
3,95.0,50.5063
4,1.0,49.64814
5,80.0,63.393562
6,1.0,33.15876
7,5.0,28.840603
8,65.0,44.305054
9,0.0,54.706142
10,15.0,30.47448
11,42.0,53.828747
12,83.0,54.242653
13,70.0,44.86361
14,77.0,33.825436
15,1.0,32.182953
16,38.0,27.77518
17,50.0,50.97043
18,43.0,60.970848
19,81.0,52.0859
20,10.0,29.80842
21,10.0,31.474833
22,50.0,31.739414
23,1.0,22.994581
24,29.0,30.469109
25,40.0,22.870617
26,49.0,81.91921
27,60.0,53.190384
28,41.0,43.705627
29,1.0,27.646492
30,72.0,54.623413
31,60.0,48.293365
32,36.0,43.551804
33,0.0,50.31476
34,1.0,54.840767
35,1.0,49.471004
36,83.0,32.18509
37,0.0,53.768135
38,76.0,53.425694
39,1.0,49.572933
40,86.0,53.128586
41,1.0,22.964043
42,1.0,31.080444
43,0.0,28.916613
44,0.0,55.85952
45,99.0,54.90559
46,69.0,83.797966
47,75.0,49.594246
48,82.0,58.323296
49,67.0,31.578197
50,1.0,54.799953
51,1.0,54.968117
52,0.0,32.32566
53,45.0,55.996555
54,0.0,49.501423
55,50.0,52.242943
56,58.0,49.62715
57,49.0,53.201393
58,38.0,22.995422
59,72.0,50.69063
60,0.0,36.490734
61,31.0,32.338047
62,0.0,22.905891
63,67.0,49.60529
64,66.0,48.872883
65,71.0,64.99749
66,92.0,32.26372
67,44.0,53.896053
68,1.0,34.172443
69,70.0,41.606316
70,66.0,40.69655
71,18.0,86.23939
72,84.0,97.98856
73,49.0,43.563675
74,23.0,54.903313
75,34.0,31.501148
76,1.0,49.38809
77,77.0,58.915436
78,64.0,40.041973
79,0.0,22.882069
80,45.0,49.237427
81,46.0,29.792128
82,82.0,43.686337
83,83.0,58.850662
84,91.0,63.34043
85,73.0,53.4397
86,91.0,42.647446
87,1.0,22.939991
88,99.0,77.92988
89,63.0,54.967644
90,82.0,49.64814
91,1.0,43.263493
92,18.0,55.940155
93,89.0,74.44288
94,1.0,31.619202
95,0.0,49.416264
96,36.0,49.52569
97,66.0,53.93016
98,70.0,49.555237
