,Yields,Predicted Yields
0,54,54.43
1,43,43.09
2,48,30.851999999999997
3,95,83.48242857142857
4,1,88.97966666666667
5,80,64.83
6,1,36.24
7,5,25.8325
8,65,73.64
9,0,63.28
10,15,24.85
11,42,69.79
12,83,60.18
13,70,58.26
14,77,7.41
15,1,17.32
16,38,25.3925
17,50,47.94
18,43,47.7775
19,81,67.33
20,10,17.66
21,10,9.0
22,50,36.11333333333333
23,1,14.8
24,29,31.1
25,40,48.814499999999995
26,49,57.87
27,60,35.74916666666667
28,41,51.7
29,1,24.48
30,72,62.87
31,60,87.76666666666668
32,36,70.8
33,0,13.03
34,1,42.44
35,1,66.961
36,83,49.82
37,0,13.14
38,76,54.47
39,1,37.85
40,86,79.10154761904761
41,1,17.33
42,1,4.78
43,0,26.4575
44,0,71.27
45,99,62.73
46,69,77.77
47,75,75.08100000000002
48,82,65.965
49,67,28.46666666666667
50,1,69.71
51,1,45.75
52,0,0.96
53,45,57.89
54,0,84.67733333333334
55,50,61.215
56,58,62.6
57,49,48.07
58,38,22.65
59,72,68.36
60,0,28.22
61,31,6.21
62,0,23.66
63,67,78.00666666666667
64,66,67.09
65,71,73.02366666666667
66,92,6.21
67,44,64.81245238095238
68,1,11.94
69,70,65.75
70,66,60.97
71,18,57.127833333333335
72,84,76.47
73,49,59.5
74,23,41.63
75,34,27.09
76,1,60.24
77,77,63.56
78,64,71.67
79,0,16.862000000000002
80,45,48.0075
81,46,47.78
82,82,77.72
83,83,79.31
84,91,76.74
85,73,76.58
86,91,71.25
87,1,14.94
88,99,65.52
89,63,61.235
90,82,88.97966666666667
91,1,70.8
92,18,39.6
93,89,65.3
94,1,19.87
95,0,37.64
96,36,67.23466666666667
97,66,75.6625
98,70,76.88016666666668
99,1,34.41
100,0,22.42
101,55,34.67999999999999
102,25,8.3175
103,80,68.45066666666666
104,60,49.20249999999999
105,35,74.2
106,53,39.90333333333333
107,58,82.73333333333332
108,78,81.88066666666667
109,82,63.11
110,76,50.94
111,83,7.04
112,54,74.79
113,49,71.1475
114,58,48.77066666666666
115,82,70.16
116,1,42.080666666666666
117,0,28.584999999999994
118,0,20.84
119,75,59.9
120,51,70.99
121,41,59.66
122,39,39.06
123,0,9.06
124,57,21.71
125,39,40.82066666666667
126,0,3.42
127,1,25.285
128,75,40.79066666666667
129,23,13.19
130,35,6.71
131,1,7.11
132,50,56.32566666666666
133,75,68.26
134,98,88.04
135,1,10.279000000000002
136,51,51.445
137,0,1.31
138,45,53.51666666666666
139,50,62.8
140,65,77.93
141,62,57.29
142,1,68.01
143,56,70.96333333333332
144,67,27.97833333333333
145,96,71.14
146,0,39.99366666666666
147,98,52.7315
148,76,40.464
149,70,64.36
150,1,32.26
151,55,68.61654761904762
152,68,51.57
153,92,71.60973809523809
154,1,28.43
155,74,64.31
156,89,66.57
157,0,0.72
158,1,8.48
159,32,12.49
160,80,66.55
161,52,13.38
162,50,40.314
163,70,9.64
164,48,74.26
165,1,69.22
166,31,28.965
167,52,9.74
168,65,84.53200000000001
169,97,55.68166666666667
170,1,16.73
171,0,30.02
172,60,58.3525
173,92,7.11
174,66,73.2
175,55,66.28
176,83,75.29
177,41,13.28
178,1,10.24
179,86,79.75
180,47,38.08
181,41,30.81
182,0,41.35
183,0,27.44
184,0,15.5
185,48,32.475
186,38,10.33
187,94,89.75
188,82,61.360071428571416
189,56,25.62
190,30,61.125499999999995
191,82,67.3475
192,85,82.7
193,67,67.49066666666667
194,90,80.49
195,69,5.74
196,49,41.58583333333334
197,42,68.95
198,31,49.01
199,38,12.76
200,55,38.03666666666667
201,1,18.04
202,18,58.12366666666668
203,45,27.78
204,46,54.8425
205,47,18.179
206,1,15.74
207,83,64.385
208,70,68.12
209,0,17.67
210,82,32.93
211,49,45.71
212,0,34.82333333333334
213,33,41.93
214,0,14.67
215,1,11.79
216,40,18.8
217,98,75.7085
218,82,67.61333333333334
219,77,35.02
220,65,77.6225
221,53,44.05166666666666
222,25,37.86
223,86,72.39
224,0,1.8
225,66,68.92
226,79,59.205
227,98,37.51
228,83,54.495
229,42,63.89833333333333
230,72,36.36
231,49,58.57
232,34,46.24333333333334
233,80,66.42
234,0,32.735
235,1,69.67
236,75,43.7795
237,17,40.833333333333336
238,54,66.28
239,10,58.065
240,26,30.35
241,34,35.31
242,62,80.51
243,35,57.7425
244,78,59.03
245,88,59.8525
246,56,41.669
247,90,55.135
248,47,34.24
249,70,70.285
250,65,69.87
251,39,42.11
252,1,22.11733333333333
253,63,62.183
254,52,17.61
255,50,53.01333333333333
256,96,77.7175
257,21,67.04
258,82,63.45
259,19,74.81
260,41,36.54
261,31,53.07333333333334
262,23,51.58333333333333
263,37,63.31
264,58,60.49
265,74,64.5
266,0,17.44333333333333
267,0,14.67
268,51,56.66833333333333
269,0,27.84283333333333
270,63,68.32
271,0,25.1290873015873
272,24,31.813571428571432
273,80,72.4725
274,76,66.56166666666667
275,68,55.33
276,1,60.06025396825397
277,94,72.11833333333333
278,0,6.79
279,50,62.295
280,60,67.55964682539684
281,1,2.725
282,78,37.74430952380951
283,90,76.67166666666667
284,5,32.01357142857143
285,1,43.198
286,91,68.80333333333334
287,31,3.18
288,11,4.72
289,45,35.55
290,75,69.215
291,86,64.63
292,12,47.58
293,43,74.81
294,18,58.38633333333333
295,53,61.64
296,8,30.14357142857143
297,0,72.44
298,78,72.05
299,29,31.34
300,45,50.838
301,34,24.53
302,60,87.07209523809523
303,33,52.665
304,43,70.415
305,20,43.0
306,83,63.21
307,60,9.31
308,28,45.8
309,67,33.31
310,1,20.08
311,26,28.97
312,31,58.325
313,86,77.39
314,76,76.32
315,1,38.86716666666666
316,71,70.58083333333333
317,43,55.905
318,1,3.99
319,80,70.93666666666667
320,76,59.27
321,75,80.28
322,42,39.12
323,64,72.69
324,46,48.33
325,94,73.66666666666667
326,74,44.05
327,83,32.87433333333333
328,74,68.525
329,0,41.81
330,52,21.61
331,25,44.098642857142856
332,35,35.0
333,0,7.13
334,23,51.22
335,65,39.08
336,81,78.52
337,0,11.9675
338,1,59.27
339,50,65.25
340,0,21.27
341,10,9.55
342,43,33.5
343,0,23.11
344,0,14.735
345,1,60.2
346,0,5.97
347,66,59.52
348,20,37.93914285714286
349,90,67.58583333333333
350,87,87.49209523809523
351,0,29.42
352,37,66.94
353,94,75.425
354,38,50.75
355,0,14.83
356,5,30.612000000000002
357,75,76.19
358,98,59.23
359,63,54.3
360,77,90.43266666666668
361,1,44.45
362,0,3.88
363,1,74.93
364,30,19.19
365,52,38.57033333333334
366,48,37.29464285714286
367,75,48.43
368,1,87.49209523809523
369,62,21.21
370,56,76.03166666666667
371,7,31.51
372,49,62.56
373,82,72.39
374,20,7.92
375,24,30.602000000000004
376,8,25.000500000000002
377,43,50.76
378,49,49.89
379,0,9.12
380,66,76.03166666666667
381,49,64.27
382,0,66.265
383,23,42.415142857142854
384,62,59.83
385,50,54.843333333333334
386,17,22.018333333333334
387,39,44.38
388,35,1.98
389,94,83.91
390,1,28.46
391,63,63.69
392,47,38.09
393,1,26.705
394,70,62.38
395,45,62.57
396,42,54.61
397,0,37.03433333333333
398,39,22.688499999999998
399,30,60.75333333333335
400,74,37.53666666666666
401,62,55.0985
402,1,29.03
403,0,3.557
404,1,5.47
405,0,3.77
406,44,13.39
407,55,74.16
408,20,5.33
409,85,80.63
410,66,59.105
411,29,38.138000000000005
412,46,54.92
413,99,59.67
414,75,5.71
415,96,75.88
416,70,60.43333333333335
417,1,15.78
418,58,59.01
419,29,43.95333333333334
420,0,32.791
421,41,21.008499999999998
422,90,75.69
423,0,5.95
424,27,20.406166666666667
425,0,27.185
426,42,46.54
427,82,71.88
428,62,59.81
429,40,6.04
430,1,54.92
431,65,77.08
432,82,66.35
433,98,68.91666666666667
434,44,64.967
435,19,69.49
436,15,25.568166666666666
437,0,62.02
438,66,73.33
439,65,59.71
440,0,72.62
441,83,58.665
442,36,50.55
443,62,22.108
444,82,36.93
445,96,62.02
446,31,53.86875
447,26,8.57
448,70,64.99
449,82,61.07400000000003
