,Yields,Predicted Yields
0,53.0,1.8490694
1,41.0,1.7610798
2,98.0,1.6034397
3,25.0,1.397147
4,76.0,1.7277741
5,48.0,2.5043488
6,0.0,2.4090896
7,0.0,1.7019426
8,43.0,2.8484979
9,69.0,1.61904
10,65.0,1.7295668
11,69.0,2.3683732
12,17.0,2.7792277
13,0.0,1.6948189
14,69.0,2.266992
15,94.0,1.2648829
16,48.0,1.4595543
17,47.0,1.354807
18,33.0,2.4605846
19,59.0,1.733418
20,72.0,1.6104277
21,73.0,1.5826837
22,50.0,1.6540886
23,44.0,2.227099
24,28.0,1.938989
25,71.0,2.540863
26,99.0,2.2385607
27,49.0,2.601735
28,67.0,1.5394788
29,46.0,2.539528
30,30.0,2.7484713
31,58.0,2.144846
32,61.0,2.3276598
33,82.0,1.6439697
34,46.0,2.5401502
35,75.0,2.4614859
36,91.0,1.9447278
37,74.0,2.4057844
38,88.0,2.490477
39,72.0,1.6212939
40,1.0,2.263114
41,43.0,2.0831084
42,34.0,1.903473
43,81.0,1.9197682
44,71.0,1.6812836
45,76.0,1.7168249
46,0.0,1.710869
47,34.0,1.8117706
48,90.0,2.411373
49,66.0,1.7425598
50,45.0,2.4580016
51,19.0,1.5907363
52,81.0,2.3720968
53,51.0,1.8063811
54,95.0,2.4567063
55,66.0,1.9434022
56,92.0,1.9373091
57,20.0,2.4666648
58,1.0,2.5081048
59,45.0,2.020942
60,0.0,1.8299618
61,75.0,2.0900853
62,90.0,1.3358856
63,31.0,2.5230103
64,36.0,2.3268232
65,50.0,2.269408
66,86.0,2.1991882
67,55.0,2.4057844
68,34.0,2.3883812
69,48.0,1.7610798
70,1.0,2.2974792
71,54.0,1.9368705
72,96.0,2.293406
73,21.0,2.4604945
74,33.0,1.7567803
75,50.0,2.4625301
76,56.0,1.2753464
77,23.0,2.29671
78,0.0,1.8261756
79,53.0,2.4057844
80,0.0,2.2558837
81,31.0,2.7383249
82,47.0,1.7518891
83,81.0,2.4878669
84,99.0,1.544092
85,70.0,1.8510433
86,75.0,1.8734024
87,49.0,2.4601421
88,51.0,2.0407033
89,65.0,2.5734577
90,78.0,1.7581614
91,92.0,1.544092
92,1.0,2.3683732
93,1.0,2.4701385
94,91.0,2.5974154
95,96.0,2.3683732
96,0.0,1.9346268
97,23.0,2.1902862
98,0.0,1.8371948
99,0.0,2.5078003
100,50.0,2.3406868
101,84.0,1.6626662
102,78.0,2.1444507
103,83.0,2.3679357
104,0.0,2.5824647
105,60.0,1.9373091
106,1.0,2.3666031
107,0.0,2.607058
108,35.0,2.3755217
109,58.0,1.9007338
110,93.0,1.8698001
111,54.0,2.4221258
112,70.0,1.5905248
113,1.0,2.4562805
114,60.0,1.782607
115,1.0,1.3118107
116,1.0,2.1472251
117,10.0,2.166551
118,75.0,1.855355
119,31.0,2.289384
120,25.0,1.849833
121,0.0,2.1072154
122,53.0,1.6931013
123,50.0,2.4057844
124,96.0,1.7892644
125,1.0,1.8698617
126,95.0,1.5060738
127,56.0,0.91196513
128,79.0,1.8607321
129,95.0,1.106273
130,35.0,1.3582009
131,28.0,1.4475188
132,0.0,1.6992819
133,75.0,1.698583
134,74.0,1.3413374
135,65.0,1.1747385
136,86.0,1.4417423
137,31.0,0.7529933
138,85.0,1.4071484
139,55.0,1.7133125
140,63.0,1.1594555
141,74.0,1.255236
142,45.0,1.5110556
143,72.0,1.1729611
144,99.0,1.4272505
145,95.0,1.47254
146,0.0,0.95872444
147,45.0,1.7643937
148,1.0,1.2813338
149,67.0,1.7149707
150,42.0,1.7592949
151,65.0,1.2388318
152,33.0,1.8043312
153,1.0,1.7183454
154,72.0,1.0345894
155,84.0,1.3006529
156,0.0,1.481409
157,92.0,1.2264427
158,20.0,1.38424
159,90.0,0.96953005
160,32.0,1.8284554
161,83.0,1.1588539
162,90.0,1.7752479
163,78.0,0.78331876
164,0.0,1.6148236
165,91.0,1.9096428
166,45.0,1.4305836
167,89.0,1.2589976
168,58.0,1.5747035
169,49.0,1.1825701
170,55.0,1.7173244
171,91.0,1.2531441
172,58.0,1.4220933
173,1.0,1.454934
174,8.0,1.7707908
175,41.0,1.3006529
176,64.0,2.129884
177,80.0,2.0150104
178,0.0,1.1548089
179,36.0,1.1397713
180,56.0,1.0740081
181,0.0,0.8030848
182,1.0,1.4475335
183,69.0,1.2545699
184,34.0,1.3920349
185,40.0,1.5819672
186,30.0,1.5376257
187,88.0,1.212166
188,1.0,1.1458164
189,53.0,2.2875764
190,92.0,1.2313663
191,56.0,1.1966816
192,58.0,1.7183454
193,60.0,1.5196173
194,85.0,1.0244623
195,1.0,1.7183454
196,86.0,1.1993482
197,38.0,1.6695546
198,76.0,1.2543617
