,Yields,Predicted Yields
0,53.0,54.374207
1,41.0,50.967827
2,98.0,65.44682
3,25.0,51.324135
4,76.0,61.808426
5,48.0,30.806957
6,0.0,46.91973
7,0.0,25.393627
8,43.0,91.08804
9,69.0,71.88436
10,65.0,69.22203
11,69.0,35.486954
12,17.0,86.11502
13,0.0,28.742567
14,69.0,44.735935
15,94.0,49.207138
16,48.0,45.308258
17,47.0,56.676323
18,33.0,52.317276
19,59.0,62.81214
20,72.0,56.313416
21,73.0,52.04386
22,50.0,54.271503
23,44.0,38.988293
24,28.0,30.345896
25,71.0,61.128403
26,99.0,48.358925
27,49.0,63.229195
28,67.0,54.564205
29,46.0,66.10102
30,30.0,41.96431
31,58.0,72.138016
32,61.0,77.0899
33,82.0,67.53969
34,46.0,49.21861
35,75.0,59.985832
36,91.0,91.34902
37,74.0,35.33035
38,88.0,70.99234
39,72.0,64.782135
40,1.0,41.11216
41,43.0,38.887154
42,34.0,47.318306
43,81.0,86.89325
44,71.0,76.835884
45,76.0,60.959267
46,0.0,27.197395
47,34.0,33.012383
48,90.0,71.57919
49,66.0,58.88621
50,45.0,41.61132
51,19.0,66.669914
52,81.0,55.005516
53,51.0,80.9444
54,95.0,48.44917
55,66.0,60.876976
56,92.0,63.51654
57,20.0,50.128914
58,1.0,32.02772
59,45.0,51.198997
60,0.0,46.633797
61,75.0,65.43933
62,90.0,57.44584
63,31.0,52.65828
64,36.0,44.58288
65,50.0,58.38097
66,86.0,50.44669
67,55.0,35.33035
68,34.0,21.850594
69,48.0,50.967827
70,1.0,53.430946
71,54.0,56.472218
72,96.0,98.185394
73,21.0,18.066994
74,33.0,46.472626
75,50.0,85.36847
76,56.0,53.971466
77,23.0,38.454704
78,0.0,63.563892
79,53.0,35.33035
80,0.0,30.32008
81,31.0,74.56386
82,47.0,59.552517
83,81.0,71.81706
84,99.0,52.64553
85,70.0,48.519833
86,75.0,63.22521
87,49.0,68.61639
88,51.0,75.20689
89,65.0,83.64699
90,78.0,51.432304
91,92.0,52.64553
92,1.0,35.486954
93,1.0,48.659294
94,91.0,68.40328
95,96.0,35.486954
96,0.0,26.72214
97,23.0,50.824974
98,0.0,61.036953
99,0.0,10.821132
100,50.0,48.278214
101,84.0,64.82857
102,78.0,43.619953
103,83.0,31.232471
104,0.0,30.61332
105,60.0,63.51654
106,1.0,32.567276
107,0.0,-4.810921
108,35.0,63.799316
109,58.0,66.334595
110,93.0,57.132835
111,54.0,53.29406
112,70.0,61.61547
113,1.0,19.694698
114,60.0,59.529293
115,1.0,50.215546
116,1.0,33.797077
117,10.0,44.619495
118,75.0,53.12152
119,31.0,48.640457
120,25.0,-9.534025
121,0.0,34.780685
122,53.0,65.24608
123,50.0,35.33035
124,96.0,45.387024
125,1.0,28.134087
126,95.0,54.434616
127,56.0,54.657616
128,79.0,65.65745
129,95.0,58.62229
130,35.0,13.930281
131,28.0,32.6474
132,0.0,41.671066
133,75.0,50.422916
134,74.0,59.1691
135,65.0,71.66026
136,86.0,90.97907
137,31.0,40.068268
138,85.0,65.522606
139,55.0,47.72803
140,63.0,69.96437
141,74.0,52.79316
142,45.0,48.63964
143,72.0,53.613655
144,99.0,75.07095
145,95.0,91.77756
146,0.0,30.944702
147,45.0,41.677006
148,1.0,60.018276
149,67.0,32.875443
150,42.0,29.653954
151,65.0,68.5187
152,33.0,26.704168
153,1.0,38.392124
154,72.0,58.672188
155,84.0,50.899445
156,0.0,41.94573
157,92.0,72.853455
158,20.0,41.921158
159,90.0,55.60248
160,32.0,68.50354
161,83.0,67.54277
162,90.0,57.773098
163,78.0,49.37262
164,0.0,31.76098
165,91.0,57.61778
166,45.0,56.035496
167,89.0,64.46303
168,58.0,65.29773
169,49.0,62.96684
170,55.0,37.53907
171,91.0,72.515564
172,58.0,60.882137
173,1.0,17.157986
174,8.0,26.617634
175,41.0,50.899445
176,64.0,59.114708
177,80.0,92.44768
178,0.0,38.179802
179,36.0,59.089413
180,56.0,59.30932
181,0.0,35.385845
182,1.0,13.5459795
183,69.0,59.876774
184,34.0,43.60046
185,40.0,49.873135
186,30.0,55.522167
187,88.0,69.6469
188,1.0,59.33323
189,53.0,71.602295
190,92.0,71.514824
191,56.0,65.11707
192,58.0,38.392124
193,60.0,77.597435
194,85.0,54.255436
195,1.0,38.392124
196,86.0,62.373394
197,38.0,34.193302
198,76.0,59.15319
199,39.0,59.34484
200,80.0,50.825554
201,30.0,46.906975
202,55.0,57.238228
203,1.0,50.76843
204,81.0,54.411167
205,83.0,60.663593
206,77.0,59.761734
207,30.0,48.642258
208,31.0,41.265144
209,96.0,68.91197
210,43.0,57.254787
211,56.0,26.70417
212,1.0,32.65958
213,73.0,52.508076
214,81.0,71.5314
215,23.0,38.487423
216,97.0,37.53907
217,59.0,65.41295
218,1.0,53.259712
219,0.0,58.578457
220,51.0,43.786324
221,26.0,38.268387
222,89.0,56.609978
223,33.0,35.31311
224,88.0,67.46528
225,76.0,58.428017
226,56.0,26.70417
227,94.0,78.54305
228,96.0,102.171906
229,25.0,22.033764
230,24.0,23.54221
231,36.0,54.59298
232,81.0,68.69715
233,23.0,33.39371
234,1.0,21.898315
235,17.0,27.980717
236,33.0,46.229034
237,92.0,59.028248
238,0.0,36.83247
239,75.0,62.36551
240,73.0,61.89126
241,69.0,43.82253
242,86.0,54.255436
243,50.0,57.149574
244,1.0,11.98866
245,78.0,46.715565
246,38.0,30.688665
247,0.0,26.984062
248,0.0,45.66009
249,74.0,65.77905
250,65.0,58.2624
251,81.0,61.722107
252,65.0,57.47318
253,61.0,26.70417
254,93.0,71.52793
255,72.0,15.09192
256,0.0,63.82533
257,82.0,62.00055
258,1.0,63.31054
259,20.0,50.57896
260,1.0,48.38201
261,43.0,44.467537
262,39.0,49.06781
263,91.0,72.20647
264,46.0,55.99887
265,88.0,96.97127
266,77.0,55.79316
267,58.0,28.973728
268,0.0,24.878359
269,96.0,61.056995
270,29.0,17.743263
271,55.0,62.391808
272,75.0,76.07709
273,44.0,40.69641
274,0.0,42.512436
275,0.0,23.505821
276,80.0,68.56557
277,29.0,34.729828
278,60.0,58.81309
279,41.0,24.417458
280,89.0,58.822838
281,0.0,50.44845
282,82.0,55.997902
283,38.0,22.249826
284,65.0,89.93388
285,98.0,58.813087
286,28.0,39.82537
287,51.0,45.27613
288,34.0,22.763412
289,34.0,65.56598
290,19.0,62.596867
291,0.0,42.34758
292,50.0,70.951004
293,55.0,40.428463
294,34.0,9.779861
295,51.0,62.426517
296,45.0,55.34339
297,99.0,77.66627
298,63.0,61.117
299,65.0,29.738071
300,35.0,61.290222
301,8.0,2.911518
302,36.0,58.02865
303,1.0,40.69641
304,66.0,58.142265
305,76.0,-1.3396063
306,66.0,57.212395
307,52.0,31.642847
308,0.0,-0.26532727
309,43.0,29.373064
310,75.0,71.79843
311,81.0,58.126694
312,45.0,38.23005
313,34.0,39.7333
314,12.0,9.0352545
315,25.0,14.938338
316,74.0,73.075714
317,89.0,58.795002
318,0.0,21.952986
319,35.0,58.032425
320,45.0,57.29455
321,50.0,48.647354
322,69.0,65.56598
323,90.0,84.79858
324,1.0,40.428463
325,0.0,39.29339
326,53.0,64.48374
327,98.0,69.36388
328,75.0,71.75812
329,52.0,56.841385
330,87.0,58.81309
331,20.0,7.2227798
332,23.0,50.091476
333,75.0,52.03218
334,26.0,53.067772
335,0.0,3.124524
336,57.0,36.431976
337,97.0,40.428463
338,0.0,13.034189
339,0.0,23.453941
340,80.0,49.6036
341,50.0,30.969707
342,72.0,60.28459
343,58.0,48.062286
344,37.0,66.220764
345,1.0,38.76058
346,80.0,25.585932
347,78.0,25.585932
348,60.0,62.104702
349,21.0,38.526337
350,1.0,34.147743
351,88.0,61.27761
352,10.0,14.948539
353,1.0,54.98659
354,78.0,53.113247
355,68.0,58.354424
356,92.0,85.639496
357,88.0,73.32063
358,18.0,21.610683
359,73.0,51.759205
360,58.0,41.683468
361,7.0,20.60243
362,0.0,59.1443
363,48.0,25.893326
364,0.0,44.421124
365,60.0,71.32687
366,31.0,48.480507
367,1.0,40.69641
368,31.0,54.09675
369,48.0,49.88832
