,Yields,Predicted Yields
0,35.0,65.72916
1,72.0,67.74424
2,95.0,76.17069
3,40.0,33.835796
4,73.0,69.20925
5,69.0,51.741737
6,85.0,82.480156
7,0.0,17.878918
8,0.0,33.8518
9,32.0,32.761837
10,86.0,55.09045
11,54.0,58.782555
12,50.0,69.60582
13,78.0,40.442406
14,19.0,61.85747
15,40.0,40.433037
16,69.0,38.919838
17,23.0,88.92374
18,52.0,24.475626
19,92.0,81.03611
20,40.0,52.20773
21,51.0,39.21263
22,0.0,-0.28563595
23,20.0,63.71635
24,82.0,-3.910997
25,1.0,30.433794
26,80.0,66.78998
27,58.0,22.575651
28,31.0,35.320244
29,0.0,24.940311
30,34.0,26.799791
31,85.0,83.96515
32,74.0,56.81456
33,23.0,40.750168
34,95.0,53.801018
35,74.0,62.784275
36,78.0,68.71765
37,78.0,81.78906
38,90.0,68.72048
39,95.0,40.936127
40,78.0,88.96796
41,45.0,54.067165
42,30.0,11.560113
43,79.0,67.99535
44,96.0,89.75941
45,80.0,66.30536
46,46.0,50.10536
47,78.0,58.4792
48,50.0,59.48877
49,0.0,10.5930195
50,96.0,116.07503
51,83.0,53.950974
52,20.0,41.804363
53,86.0,69.06656
54,86.0,59.56782
55,86.0,76.040665
56,78.0,65.502914
57,12.0,15.525677
58,85.0,77.1566
59,35.0,50.998672
60,52.0,47.41221
61,34.0,28.573069
62,46.0,65.46387
63,1.0,21.984076
64,98.0,48.39306
65,93.0,46.64132
66,1.0,-52.954193
67,90.0,101.03841
68,20.0,36.342598
69,1.0,32.535706
70,90.0,75.72894
71,31.0,38.919838
72,1.0,58.24607
73,37.0,49.90593
74,73.0,53.76375
75,74.0,71.902695
76,52.0,86.57525
77,47.0,-2.298967
78,13.0,50.301003
79,56.0,46.311096
80,90.0,53.58249
81,1.0,32.456924
82,53.0,78.96666
83,53.0,72.88869
84,61.0,46.232933
85,1.0,19.892014
86,84.0,46.026245
87,51.0,56.27552
88,19.0,99.420815
89,70.0,63.28453
90,14.0,-14.554643
91,18.0,13.667236
92,35.0,-17.616987
93,1.0,62.719948
94,59.0,77.95799
95,60.0,47.880997
96,66.0,58.36228
97,31.0,62.290894
98,41.0,8.398768
99,68.0,53.09765
100,58.0,71.175446
101,1.0,21.01587
102,0.0,16.6696
103,94.0,56.498314
104,65.0,53.950974
105,69.0,55.924553
106,99.0,81.54062
107,71.0,58.429413
108,76.0,90.36803
109,1.0,39.675262
110,65.0,94.064545
111,61.0,62.06093
112,98.0,74.00215
113,43.0,70.69695
114,49.0,51.143932
115,80.0,75.47176
116,25.0,66.13562
117,1.0,40.632004
118,96.0,38.919838
119,27.0,37.767002
120,0.0,28.377974
121,39.0,48.116837
122,0.0,7.2683015
123,80.0,84.100525
124,25.0,11.440317
125,41.0,48.145782
126,86.0,100.13004
127,52.0,40.174614
128,80.0,75.11063
129,88.0,92.16874
130,95.0,56.4719
131,78.0,76.78605
132,70.0,91.92842
133,0.0,58.884476
134,75.0,86.66956
135,94.0,59.76252
136,98.0,95.12102
137,17.0,63.383987
138,95.0,24.629454
139,86.0,58.22026
140,48.0,69.37334
141,95.0,25.652523
142,54.0,52.690865
143,70.0,35.261654
144,33.0,4.5129294
145,89.0,44.246033
146,98.0,42.784447
147,47.0,67.1154
148,65.0,89.37051
149,53.0,49.662674
150,15.0,50.301003
151,0.0,46.92752
152,17.0,2.1667194
153,94.0,58.917965
154,0.0,68.927086
155,65.0,81.44357
156,15.0,28.10235
157,0.0,50.091576
158,88.0,80.44331
159,11.0,15.745365
160,85.0,80.64523
161,49.0,7.0108333
162,70.0,72.37781
163,90.0,65.277855
164,60.0,68.66041
165,75.0,76.25495
166,0.0,-0.5985036
167,0.0,21.630566
168,0.0,50.157837
169,37.0,73.87933
170,44.0,35.061165
171,1.0,45.81923
172,72.0,64.86001
173,0.0,42.999626
174,45.0,49.534855
175,0.0,49.75597
176,12.0,33.319504
177,58.0,41.077522
178,93.0,86.12302
179,35.0,61.89508
180,49.0,29.73026
181,42.0,17.61978
182,85.0,110.23161
183,96.0,109.04229
184,75.0,43.76847
185,93.0,67.384705
186,8.0,45.669388
187,53.0,50.04648
188,69.0,80.16942
189,84.0,50.34266
190,0.0,62.883854
191,0.0,-1.6297283
192,81.0,83.6358
193,31.0,43.587334
194,48.0,72.90434
195,42.0,62.243114
196,0.0,44.95015
197,1.0,36.77277
198,39.0,29.085953
199,83.0,103.69973
200,80.0,73.56797
201,27.0,31.505035
202,0.0,51.431686
203,60.0,44.931503
204,75.0,63.801468
205,23.0,55.63108
206,64.0,63.113914
207,98.0,68.0897
208,98.0,64.59425
209,64.0,64.71335
210,86.0,90.04746
211,77.0,63.086838
212,58.0,65.876816
213,31.0,41.076393
214,54.0,24.064001
215,81.0,48.87158
216,74.0,37.76532
217,1.0,33.158756
218,20.0,55.462128
219,41.0,36.222023
220,80.0,65.62876
221,33.0,25.033945
222,86.0,71.71512
223,70.0,65.61064
224,0.0,78.17445
225,0.0,35.71809
226,96.0,94.99019
227,23.0,25.2918
228,90.0,70.49049
229,35.0,30.921106
230,0.0,29.79171
231,70.0,83.76189
232,0.0,9.533209
233,22.0,29.016497
234,86.0,59.69537
235,85.0,80.39131
236,45.0,55.021954
237,1.0,69.372665
238,10.0,31.810637
239,92.0,62.673874
240,73.0,82.946
241,81.0,91.38089
242,82.0,63.113914
243,56.0,33.87892
244,35.0,8.93275
245,12.0,40.152016
246,92.0,63.113914
247,29.0,31.600853
