,Yields,Predicted Yields
0,35.0,51.657875
1,72.0,60.88057
2,95.0,44.863632
3,40.0,150.03511
4,73.0,80.65251
5,69.0,38.490074
6,85.0,93.24024
7,0.0,30.950571
8,0.0,31.295507
9,32.0,41.525703
10,86.0,40.542725
11,54.0,45.803947
12,50.0,82.907845
13,78.0,10.51353
14,19.0,70.2798
15,40.0,40.644188
16,69.0,27.205557
17,23.0,83.64195
18,52.0,-1.6617851
19,92.0,103.96687
20,40.0,40.00244
21,51.0,42.070114
22,0.0,14.135349
23,20.0,36.02455
24,82.0,-7.350367
25,1.0,34.494663
26,80.0,58.0137
27,58.0,48.840153
28,31.0,31.87812
29,0.0,21.192919
30,34.0,23.766668
31,85.0,72.66646
32,74.0,66.27766
33,23.0,37.61488
34,95.0,79.788086
35,74.0,59.025173
36,78.0,71.788216
37,78.0,92.391655
38,90.0,74.31555
39,95.0,50.543377
40,78.0,84.53466
41,45.0,81.36276
42,30.0,11.126609
43,79.0,37.570747
44,96.0,73.83481
45,80.0,64.60118
46,46.0,48.840153
47,78.0,74.201324
48,50.0,23.874092
49,0.0,31.889235
50,96.0,58.276115
51,83.0,43.745934
52,20.0,34.081264
53,86.0,68.32822
54,86.0,48.27585
55,86.0,91.074745
56,78.0,81.09615
57,12.0,35.15924
58,85.0,69.46807
59,35.0,118.34085
60,52.0,48.05506
61,34.0,16.678741
62,46.0,66.95928
63,1.0,8.760992
64,98.0,50.543377
65,93.0,47.007904
66,1.0,28.711525
67,90.0,102.81434
68,20.0,38.22188
69,1.0,38.84838
70,90.0,82.55613
71,31.0,27.205557
72,1.0,50.543377
73,37.0,40.237774
74,73.0,72.41765
75,74.0,70.78052
76,52.0,100.823074
77,47.0,11.161393
78,13.0,58.39972
79,56.0,51.91884
80,90.0,40.09042
81,1.0,44.93014
82,53.0,73.6396
83,53.0,67.1049
84,61.0,32.068672
85,1.0,26.843807
86,84.0,84.213806
87,51.0,32.332558
88,19.0,80.85106
89,70.0,60.451057
90,14.0,31.015377
91,18.0,19.249985
92,35.0,56.432518
93,1.0,53.18727
94,59.0,99.51466
95,60.0,88.529785
96,66.0,54.969734
97,31.0,29.136415
98,41.0,26.503212
99,68.0,52.821205
100,58.0,57.88663
101,1.0,13.175002
102,0.0,20.2655
103,94.0,51.91884
