,Yields,Predicted Yields
0,35.0,49.039024
1,72.0,70.62541
2,95.0,58.727135
3,40.0,72.188774
4,73.0,66.79694
5,69.0,43.574665
6,85.0,61.750572
7,0.0,67.30506
8,0.0,36.46533
9,32.0,65.12411
10,86.0,55.222683
11,54.0,67.37337
12,50.0,78.95898
13,78.0,67.53469
14,19.0,65.62791
15,40.0,55.925682
16,69.0,26.755249
17,23.0,67.60023
18,52.0,52.85621
19,92.0,72.31775
20,40.0,46.199623
21,51.0,68.3791
22,0.0,32.11641
23,20.0,31.252455
24,82.0,38.395145
25,1.0,60.3966
26,80.0,65.12411
27,58.0,50.099285
28,31.0,28.82369
29,0.0,26.058645
30,34.0,33.52335
31,85.0,84.80544
32,74.0,56.18545
33,23.0,57.805153
34,95.0,77.53893
35,74.0,66.38
36,78.0,64.87849
37,78.0,58.429882
38,90.0,65.10132
39,95.0,46.952496
40,78.0,88.08344
41,45.0,52.48643
42,30.0,27.299992
43,79.0,43.201492
44,96.0,62.156956
45,80.0,72.46415
46,46.0,50.099285
47,78.0,47.732872
48,50.0,60.286976
49,0.0,34.639893
50,96.0,55.925682
51,83.0,42.069675
52,20.0,33.569286
53,86.0,64.79127
54,86.0,44.16809
55,86.0,68.17721
56,78.0,75.570244
57,12.0,60.3966
58,85.0,58.229816
59,35.0,69.83816
60,52.0,50.099285
61,34.0,50.3995
62,46.0,79.613365
63,1.0,26.35802
64,98.0,46.952496
65,93.0,60.804417
66,1.0,33.54435
67,90.0,87.76074
68,20.0,28.82369
69,1.0,26.75525
70,90.0,56.366055
71,31.0,26.75525
72,1.0,46.952496
73,37.0,60.3966
74,73.0,64.356834
75,74.0,81.59287
76,52.0,49.13741
77,47.0,26.75525
78,13.0,60.3966
79,56.0,53.999268
80,90.0,29.54632
81,1.0,32.652634
82,53.0,46.952496
83,53.0,69.02332
84,61.0,75.82291
85,1.0,33.54435
86,84.0,64.697426
87,51.0,71.1138
88,19.0,60.3966
89,70.0,47.21428
90,14.0,34.388927
91,18.0,29.048916
92,35.0,84.805435
93,1.0,51.825966
94,59.0,74.9278
95,60.0,58.62254
96,66.0,55.925682
97,31.0,64.35796
98,41.0,28.82369
99,68.0,50.099285
100,58.0,59.483913
101,1.0,26.75525
102,0.0,37.331745
103,94.0,53.999268
104,65.0,42.069675
105,69.0,65.12411
106,99.0,58.526352
107,71.0,67.97747
108,76.0,60.524845
109,1.0,37.407387
110,65.0,70.29091
111,61.0,81.59359
112,98.0,73.86787
113,43.0,83.5048
114,49.0,28.853922
115,80.0,76.02252
116,25.0,64.65098
117,1.0,50.099285
118,96.0,26.75525
119,27.0,44.776554
120,0.0,47.961273
121,39.0,28.82369
122,0.0,29.909437
123,80.0,60.3966
124,25.0,24.251371
125,41.0,29.54632
126,86.0,74.50589
127,52.0,55.925682
128,80.0,49.044495
129,88.0,59.7746
130,95.0,50.099285
131,78.0,47.21233
132,70.0,67.07427
133,0.0,67.69049
