,Dataset,model_type,featurisation_method,epoch,learnin_rate,test_size,iterations,Stratified_split,RMSE,MAE,Correlation,Accuracy,Precession
0,Dataset2.4,knn_classification,DRFP,,,0.2,5,,,,,0.45077720207253885,0.4351749199310175
1,Dataset2.4,knn_classification_HPT,DRFP,,,0.2,5,,,,,0.44559585492227977,0.4241650132275132
2,Dataset2.4,knn_classification,DRFP,,,0.2,10,,,,,0.533678756476684,0.5207093253968254
3,Dataset2.4,knn_classification_HPT,DRFP,,,0.2,10,,,,,0.5647668393782384,0.5510695972652495
4,Dataset2.4,knn_classification,DRFP,,,0.3,5,,,,,0.4359861591695502,0.39739450140332333
5,Dataset2.4,knn_classification_HPT,DRFP,,,0.3,5,,,,,0.4359861591695502,0.40386801061888167
6,Dataset2.4,knn_classification,DRFP,,,0.3,10,,,,,0.5086505190311419,0.48380623279379775
7,Dataset2.4,knn_classification_HPT,DRFP,,,0.3,10,,,,,0.5259515570934256,0.5057789885376092
8,Dataset2.4,random_forest,DRFP,,,0.2,5,,24.463979067728545,19.13055493224272,0.3940722476075649,,
9,Dataset2.4,random_forest_h_tuning_grid,DRFP,,,0.2,5,,25.373459874153372,19.28803827146729,0.3673390617518185,,
10,Dataset2.4,random_forest_h_tuning_bayes_strat,DRFP,,,0.2,5,,25.21349079107648,19.066141811961238,0.35981130072900036,,
11,Dataset2.4,random_forest,DRFP,,,0.2,10,,24.47890213238991,19.14136725011555,0.3933327884286515,,
12,Dataset2.4,random_forest_h_tuning_grid,DRFP,,,0.2,10,,25.339342486087272,19.450616852441513,0.36963140493271485,,
13,Dataset2.4,random_forest_h_tuning_bayes_strat,DRFP,,,0.2,10,,25.34931770114984,19.135765817117857,0.35119766408593156,,
14,Dataset2.4,random_forest,DRFP,,,0.3,5,,24.36907513686581,18.90081880388083,0.4106181528896645,,
15,Dataset2.4,random_forest_h_tuning_grid,DRFP,,,0.3,5,,25.49764093925312,19.685359766482698,0.35915557802243836,,
