,Yields,Predicted Yields
0,AVERAGE YIELD,AVERAGE YIELD
1,GOOD YIELD,GOOD YIELD
2,GOOD YIELD,GOOD YIELD
3,AVERAGE YIELD,GOOD YIELD
4,BELOW AVERAGE YIELD,POOR YIELD
5,GOOD YIELD,AVERAGE YIELD
6,BELOW AVERAGE YIELD,AVERAGE YIELD
7,AVERAGE YIELD,AVERAGE YIELD
8,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
9,BELOW AVERAGE YIELD,AVERAGE YIELD
10,GOOD YIELD,GOOD YIELD
11,BELOW AVERAGE YIELD,POOR YIELD
12,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
13,AVERAGE YIELD,AVERAGE YIELD
14,GOOD YIELD,AVERAGE YIELD
15,AVERAGE YIELD,GOOD YIELD
16,POOR YIELD,BELOW AVERAGE YIELD
17,GOOD YIELD,GOOD YIELD
18,POOR YIELD,POOR YIELD
19,AVERAGE YIELD,POOR YIELD
20,BELOW AVERAGE YIELD,AVERAGE YIELD
21,GOOD YIELD,GOOD YIELD
22,POOR YIELD,POOR YIELD
23,GOOD YIELD,GOOD YIELD
24,AVERAGE YIELD,AVERAGE YIELD
25,BELOW AVERAGE YIELD,POOR YIELD
26,GOOD YIELD,GOOD YIELD
27,POOR YIELD,GOOD YIELD
28,GOOD YIELD,GOOD YIELD
29,AVERAGE YIELD,GOOD YIELD
30,AVERAGE YIELD,GOOD YIELD
31,GOOD YIELD,GOOD YIELD
32,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
33,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
34,AVERAGE YIELD,AVERAGE YIELD
35,AVERAGE YIELD,POOR YIELD
36,AVERAGE YIELD,AVERAGE YIELD
37,GOOD YIELD,AVERAGE YIELD
38,AVERAGE YIELD,AVERAGE YIELD
39,AVERAGE YIELD,AVERAGE YIELD
40,AVERAGE YIELD,GOOD YIELD
41,BELOW AVERAGE YIELD,POOR YIELD
42,BELOW AVERAGE YIELD,AVERAGE YIELD
43,GOOD YIELD,GOOD YIELD
44,POOR YIELD,GOOD YIELD
45,POOR YIELD,GOOD YIELD
46,POOR YIELD,BELOW AVERAGE YIELD
47,GOOD YIELD,GOOD YIELD
48,GOOD YIELD,GOOD YIELD
49,BELOW AVERAGE YIELD,AVERAGE YIELD
50,BELOW AVERAGE YIELD,POOR YIELD
51,GOOD YIELD,POOR YIELD
52,BELOW AVERAGE YIELD,AVERAGE YIELD
53,POOR YIELD,POOR YIELD
54,AVERAGE YIELD,AVERAGE YIELD
55,POOR YIELD,POOR YIELD
56,POOR YIELD,BELOW AVERAGE YIELD
57,GOOD YIELD,GOOD YIELD
58,GOOD YIELD,AVERAGE YIELD
59,AVERAGE YIELD,BELOW AVERAGE YIELD
60,BELOW AVERAGE YIELD,POOR YIELD
61,AVERAGE YIELD,BELOW AVERAGE YIELD
62,POOR YIELD,AVERAGE YIELD
63,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
64,POOR YIELD,POOR YIELD
65,GOOD YIELD,GOOD YIELD
66,BELOW AVERAGE YIELD,GOOD YIELD
67,POOR YIELD,POOR YIELD
68,GOOD YIELD,GOOD YIELD
69,GOOD YIELD,GOOD YIELD
70,GOOD YIELD,GOOD YIELD
71,AVERAGE YIELD,POOR YIELD
72,POOR YIELD,GOOD YIELD
73,BELOW AVERAGE YIELD,GOOD YIELD
74,POOR YIELD,BELOW AVERAGE YIELD
75,POOR YIELD,BELOW AVERAGE YIELD
76,GOOD YIELD,GOOD YIELD
77,GOOD YIELD,GOOD YIELD
78,GOOD YIELD,GOOD YIELD
79,GOOD YIELD,GOOD YIELD
80,AVERAGE YIELD,GOOD YIELD
81,GOOD YIELD,AVERAGE YIELD
82,AVERAGE YIELD,BELOW AVERAGE YIELD
83,GOOD YIELD,GOOD YIELD
84,POOR YIELD,GOOD YIELD
85,BELOW AVERAGE YIELD,AVERAGE YIELD
86,GOOD YIELD,GOOD YIELD
87,GOOD YIELD,GOOD YIELD
88,GOOD YIELD,GOOD YIELD
89,POOR YIELD,POOR YIELD
90,POOR YIELD,GOOD YIELD
91,AVERAGE YIELD,GOOD YIELD
92,POOR YIELD,POOR YIELD
93,POOR YIELD,GOOD YIELD
94,POOR YIELD,POOR YIELD
95,GOOD YIELD,GOOD YIELD
96,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
97,POOR YIELD,AVERAGE YIELD
98,BELOW AVERAGE YIELD,AVERAGE YIELD
99,POOR YIELD,POOR YIELD
100,AVERAGE YIELD,BELOW AVERAGE YIELD
101,BELOW AVERAGE YIELD,POOR YIELD
102,AVERAGE YIELD,AVERAGE YIELD
103,POOR YIELD,GOOD YIELD
104,GOOD YIELD,GOOD YIELD
105,AVERAGE YIELD,GOOD YIELD
106,POOR YIELD,AVERAGE YIELD
107,POOR YIELD,POOR YIELD
108,GOOD YIELD,GOOD YIELD
109,GOOD YIELD,GOOD YIELD
110,BELOW AVERAGE YIELD,POOR YIELD
111,AVERAGE YIELD,GOOD YIELD
112,AVERAGE YIELD,GOOD YIELD
113,GOOD YIELD,GOOD YIELD
114,AVERAGE YIELD,BELOW AVERAGE YIELD
115,POOR YIELD,POOR YIELD
