,Yields,Predicted Yields
0,GOOD YIELD,BELOW AVERAGE YIELD
1,GOOD YIELD,AVERAGE YIELD
2,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
3,AVERAGE YIELD,GOOD YIELD
4,POOR YIELD,BELOW AVERAGE YIELD
5,GOOD YIELD,GOOD YIELD
6,GOOD YIELD,POOR YIELD
7,AVERAGE YIELD,AVERAGE YIELD
8,POOR YIELD,GOOD YIELD
9,AVERAGE YIELD,GOOD YIELD
10,POOR YIELD,GOOD YIELD
11,POOR YIELD,GOOD YIELD
12,GOOD YIELD,GOOD YIELD
13,POOR YIELD,GOOD YIELD
14,GOOD YIELD,GOOD YIELD
15,POOR YIELD,POOR YIELD
16,POOR YIELD,POOR YIELD
17,AVERAGE YIELD,POOR YIELD
18,GOOD YIELD,GOOD YIELD
19,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
20,AVERAGE YIELD,GOOD YIELD
21,GOOD YIELD,GOOD YIELD
22,GOOD YIELD,POOR YIELD
23,BELOW AVERAGE YIELD,POOR YIELD
24,POOR YIELD,BELOW AVERAGE YIELD
25,GOOD YIELD,AVERAGE YIELD
26,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
27,GOOD YIELD,AVERAGE YIELD
28,GOOD YIELD,GOOD YIELD
29,BELOW AVERAGE YIELD,AVERAGE YIELD
30,GOOD YIELD,GOOD YIELD
31,POOR YIELD,BELOW AVERAGE YIELD
32,GOOD YIELD,GOOD YIELD
33,AVERAGE YIELD,GOOD YIELD
34,GOOD YIELD,BELOW AVERAGE YIELD
35,GOOD YIELD,AVERAGE YIELD
36,GOOD YIELD,GOOD YIELD
37,AVERAGE YIELD,GOOD YIELD
38,POOR YIELD,AVERAGE YIELD
39,GOOD YIELD,GOOD YIELD
40,AVERAGE YIELD,BELOW AVERAGE YIELD
41,GOOD YIELD,AVERAGE YIELD
42,AVERAGE YIELD,GOOD YIELD
43,AVERAGE YIELD,BELOW AVERAGE YIELD
44,POOR YIELD,GOOD YIELD
45,GOOD YIELD,AVERAGE YIELD
46,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
47,AVERAGE YIELD,BELOW AVERAGE YIELD
48,AVERAGE YIELD,AVERAGE YIELD
49,AVERAGE YIELD,AVERAGE YIELD
50,GOOD YIELD,POOR YIELD
51,POOR YIELD,GOOD YIELD
52,POOR YIELD,BELOW AVERAGE YIELD
53,POOR YIELD,GOOD YIELD
54,GOOD YIELD,GOOD YIELD
55,POOR YIELD,BELOW AVERAGE YIELD
56,POOR YIELD,BELOW AVERAGE YIELD
57,AVERAGE YIELD,AVERAGE YIELD
58,POOR YIELD,POOR YIELD
59,GOOD YIELD,BELOW AVERAGE YIELD
60,GOOD YIELD,AVERAGE YIELD
61,GOOD YIELD,GOOD YIELD
62,AVERAGE YIELD,BELOW AVERAGE YIELD
63,AVERAGE YIELD,BELOW AVERAGE YIELD
64,GOOD YIELD,POOR YIELD
65,AVERAGE YIELD,GOOD YIELD
66,BELOW AVERAGE YIELD,POOR YIELD
67,AVERAGE YIELD,AVERAGE YIELD
68,GOOD YIELD,BELOW AVERAGE YIELD
69,POOR YIELD,POOR YIELD
70,GOOD YIELD,BELOW AVERAGE YIELD
71,POOR YIELD,BELOW AVERAGE YIELD
72,GOOD YIELD,GOOD YIELD
73,GOOD YIELD,GOOD YIELD
74,AVERAGE YIELD,AVERAGE YIELD
75,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
76,GOOD YIELD,GOOD YIELD
77,GOOD YIELD,GOOD YIELD
78,GOOD YIELD,GOOD YIELD
79,GOOD YIELD,AVERAGE YIELD
80,POOR YIELD,GOOD YIELD
81,AVERAGE YIELD,GOOD YIELD
82,AVERAGE YIELD,BELOW AVERAGE YIELD
83,AVERAGE YIELD,BELOW AVERAGE YIELD
84,AVERAGE YIELD,GOOD YIELD
85,GOOD YIELD,GOOD YIELD
86,POOR YIELD,BELOW AVERAGE YIELD
87,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
88,POOR YIELD,GOOD YIELD
89,GOOD YIELD,GOOD YIELD
90,AVERAGE YIELD,BELOW AVERAGE YIELD
91,POOR YIELD,BELOW AVERAGE YIELD
92,GOOD YIELD,GOOD YIELD
93,POOR YIELD,POOR YIELD
94,POOR YIELD,GOOD YIELD
95,AVERAGE YIELD,BELOW AVERAGE YIELD
96,POOR YIELD,POOR YIELD
97,AVERAGE YIELD,GOOD YIELD
98,BELOW AVERAGE YIELD,AVERAGE YIELD
99,GOOD YIELD,GOOD YIELD
100,AVERAGE YIELD,BELOW AVERAGE YIELD
101,GOOD YIELD,BELOW AVERAGE YIELD
102,AVERAGE YIELD,GOOD YIELD
103,GOOD YIELD,AVERAGE YIELD
104,AVERAGE YIELD,BELOW AVERAGE YIELD
105,AVERAGE YIELD,AVERAGE YIELD
106,GOOD YIELD,AVERAGE YIELD
107,GOOD YIELD,GOOD YIELD
108,BELOW AVERAGE YIELD,AVERAGE YIELD
109,POOR YIELD,GOOD YIELD
110,GOOD YIELD,BELOW AVERAGE YIELD
111,GOOD YIELD,GOOD YIELD
112,GOOD YIELD,GOOD YIELD
113,GOOD YIELD,GOOD YIELD
114,AVERAGE YIELD,POOR YIELD
115,POOR YIELD,POOR YIELD
116,BELOW AVERAGE YIELD,GOOD YIELD
117,GOOD YIELD,POOR YIELD
118,AVERAGE YIELD,BELOW AVERAGE YIELD
119,AVERAGE YIELD,AVERAGE YIELD
120,BELOW AVERAGE YIELD,GOOD YIELD
121,GOOD YIELD,POOR YIELD
122,AVERAGE YIELD,GOOD YIELD
123,GOOD YIELD,GOOD YIELD
124,AVERAGE YIELD,AVERAGE YIELD
125,POOR YIELD,POOR YIELD
126,GOOD YIELD,GOOD YIELD
127,GOOD YIELD,GOOD YIELD
128,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
129,BELOW AVERAGE YIELD,AVERAGE YIELD
130,GOOD YIELD,GOOD YIELD
131,AVERAGE YIELD,AVERAGE YIELD
132,POOR YIELD,POOR YIELD
133,AVERAGE YIELD,BELOW AVERAGE YIELD
134,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
135,GOOD YIELD,GOOD YIELD
136,GOOD YIELD,GOOD YIELD
137,POOR YIELD,BELOW AVERAGE YIELD
138,POOR YIELD,AVERAGE YIELD
139,POOR YIELD,POOR YIELD
140,AVERAGE YIELD,AVERAGE YIELD
141,GOOD YIELD,GOOD YIELD
142,AVERAGE YIELD,GOOD YIELD
143,BELOW AVERAGE YIELD,AVERAGE YIELD
144,GOOD YIELD,POOR YIELD
145,POOR YIELD,POOR YIELD
146,AVERAGE YIELD,BELOW AVERAGE YIELD
147,AVERAGE YIELD,AVERAGE YIELD
148,GOOD YIELD,GOOD YIELD
149,AVERAGE YIELD,AVERAGE YIELD
150,AVERAGE YIELD,AVERAGE YIELD
151,GOOD YIELD,BELOW AVERAGE YIELD
152,POOR YIELD,BELOW AVERAGE YIELD
153,AVERAGE YIELD,AVERAGE YIELD
154,AVERAGE YIELD,AVERAGE YIELD
155,POOR YIELD,BELOW AVERAGE YIELD
156,BELOW AVERAGE YIELD,GOOD YIELD
157,AVERAGE YIELD,GOOD YIELD
158,AVERAGE YIELD,GOOD YIELD
159,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
160,GOOD YIELD,AVERAGE YIELD
161,POOR YIELD,BELOW AVERAGE YIELD
162,GOOD YIELD,GOOD YIELD
163,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
164,GOOD YIELD,AVERAGE YIELD
165,POOR YIELD,BELOW AVERAGE YIELD
166,GOOD YIELD,GOOD YIELD
167,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
