,Yields,Predicted Yields
0,BELOW AVERAGE YIELD,AVERAGE YIELD
1,BELOW AVERAGE YIELD,POOR YIELD
2,POOR YIELD,POOR YIELD
3,GOOD YIELD,AVERAGE YIELD
4,AVERAGE YIELD,AVERAGE YIELD
5,BELOW AVERAGE YIELD,GOOD YIELD
6,GOOD YIELD,GOOD YIELD
7,AVERAGE YIELD,AVERAGE YIELD
8,GOOD YIELD,GOOD YIELD
9,POOR YIELD,POOR YIELD
10,AVERAGE YIELD,GOOD YIELD
11,AVERAGE YIELD,BELOW AVERAGE YIELD
12,AVERAGE YIELD,AVERAGE YIELD
13,BELOW AVERAGE YIELD,AVERAGE YIELD
14,GOOD YIELD,GOOD YIELD
15,GOOD YIELD,GOOD YIELD
16,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
17,AVERAGE YIELD,GOOD YIELD
18,GOOD YIELD,GOOD YIELD
19,GOOD YIELD,GOOD YIELD
20,POOR YIELD,BELOW AVERAGE YIELD
21,GOOD YIELD,GOOD YIELD
22,POOR YIELD,POOR YIELD
23,GOOD YIELD,BELOW AVERAGE YIELD
24,POOR YIELD,POOR YIELD
25,GOOD YIELD,GOOD YIELD
26,POOR YIELD,AVERAGE YIELD
27,GOOD YIELD,GOOD YIELD
28,AVERAGE YIELD,AVERAGE YIELD
29,AVERAGE YIELD,GOOD YIELD
30,AVERAGE YIELD,AVERAGE YIELD
31,AVERAGE YIELD,AVERAGE YIELD
32,BELOW AVERAGE YIELD,GOOD YIELD
33,AVERAGE YIELD,AVERAGE YIELD
34,POOR YIELD,GOOD YIELD
35,POOR YIELD,POOR YIELD
36,AVERAGE YIELD,POOR YIELD
37,POOR YIELD,GOOD YIELD
38,POOR YIELD,GOOD YIELD
39,POOR YIELD,AVERAGE YIELD
40,GOOD YIELD,AVERAGE YIELD
41,POOR YIELD,AVERAGE YIELD
42,GOOD YIELD,GOOD YIELD
43,POOR YIELD,GOOD YIELD
44,AVERAGE YIELD,AVERAGE YIELD
45,GOOD YIELD,BELOW AVERAGE YIELD
46,GOOD YIELD,GOOD YIELD
47,GOOD YIELD,GOOD YIELD
48,POOR YIELD,GOOD YIELD
49,GOOD YIELD,AVERAGE YIELD
50,POOR YIELD,AVERAGE YIELD
51,POOR YIELD,POOR YIELD
52,GOOD YIELD,POOR YIELD
53,GOOD YIELD,GOOD YIELD
54,BELOW AVERAGE YIELD,AVERAGE YIELD
55,GOOD YIELD,BELOW AVERAGE YIELD
56,GOOD YIELD,GOOD YIELD
57,GOOD YIELD,AVERAGE YIELD
58,AVERAGE YIELD,BELOW AVERAGE YIELD
59,POOR YIELD,GOOD YIELD
60,GOOD YIELD,GOOD YIELD
61,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
62,GOOD YIELD,GOOD YIELD
63,GOOD YIELD,GOOD YIELD
64,POOR YIELD,GOOD YIELD
65,AVERAGE YIELD,GOOD YIELD
66,POOR YIELD,GOOD YIELD
67,POOR YIELD,POOR YIELD
68,AVERAGE YIELD,POOR YIELD
69,BELOW AVERAGE YIELD,AVERAGE YIELD
70,GOOD YIELD,GOOD YIELD
71,GOOD YIELD,GOOD YIELD
72,BELOW AVERAGE YIELD,AVERAGE YIELD
73,GOOD YIELD,GOOD YIELD
74,AVERAGE YIELD,GOOD YIELD
75,AVERAGE YIELD,AVERAGE YIELD
76,AVERAGE YIELD,AVERAGE YIELD
77,GOOD YIELD,GOOD YIELD
78,AVERAGE YIELD,BELOW AVERAGE YIELD
79,GOOD YIELD,GOOD YIELD
80,AVERAGE YIELD,GOOD YIELD
81,AVERAGE YIELD,BELOW AVERAGE YIELD
82,GOOD YIELD,GOOD YIELD
83,AVERAGE YIELD,BELOW AVERAGE YIELD
