,Yields,Predicted Yields
0,GOOD YIELD,GOOD YIELD
1,GOOD YIELD,GOOD YIELD
2,POOR YIELD,BELOW AVERAGE YIELD
3,POOR YIELD,AVERAGE YIELD
4,POOR YIELD,BELOW AVERAGE YIELD
5,AVERAGE YIELD,AVERAGE YIELD
6,AVERAGE YIELD,BELOW AVERAGE YIELD
7,POOR YIELD,BELOW AVERAGE YIELD
8,BELOW AVERAGE YIELD,GOOD YIELD
9,POOR YIELD,POOR YIELD
10,AVERAGE YIELD,POOR YIELD
11,AVERAGE YIELD,GOOD YIELD
12,AVERAGE YIELD,GOOD YIELD
13,GOOD YIELD,GOOD YIELD
14,AVERAGE YIELD,POOR YIELD
15,GOOD YIELD,GOOD YIELD
16,AVERAGE YIELD,AVERAGE YIELD
17,BELOW AVERAGE YIELD,GOOD YIELD
18,POOR YIELD,BELOW AVERAGE YIELD
19,POOR YIELD,POOR YIELD
20,POOR YIELD,POOR YIELD
21,BELOW AVERAGE YIELD,GOOD YIELD
22,GOOD YIELD,GOOD YIELD
23,POOR YIELD,POOR YIELD
24,GOOD YIELD,GOOD YIELD
25,AVERAGE YIELD,AVERAGE YIELD
26,POOR YIELD,GOOD YIELD
27,GOOD YIELD,GOOD YIELD
28,POOR YIELD,POOR YIELD
29,GOOD YIELD,GOOD YIELD
30,GOOD YIELD,GOOD YIELD
31,BELOW AVERAGE YIELD,GOOD YIELD
32,AVERAGE YIELD,AVERAGE YIELD
33,AVERAGE YIELD,GOOD YIELD
34,AVERAGE YIELD,BELOW AVERAGE YIELD
35,BELOW AVERAGE YIELD,AVERAGE YIELD
36,BELOW AVERAGE YIELD,AVERAGE YIELD
37,GOOD YIELD,GOOD YIELD
38,AVERAGE YIELD,GOOD YIELD
39,GOOD YIELD,AVERAGE YIELD
40,BELOW AVERAGE YIELD,AVERAGE YIELD
41,POOR YIELD,GOOD YIELD
42,POOR YIELD,AVERAGE YIELD
43,BELOW AVERAGE YIELD,POOR YIELD
44,BELOW AVERAGE YIELD,GOOD YIELD
45,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
46,AVERAGE YIELD,GOOD YIELD
47,AVERAGE YIELD,BELOW AVERAGE YIELD
48,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
49,BELOW AVERAGE YIELD,AVERAGE YIELD
50,BELOW AVERAGE YIELD,POOR YIELD
51,BELOW AVERAGE YIELD,GOOD YIELD
52,GOOD YIELD,AVERAGE YIELD
53,GOOD YIELD,GOOD YIELD
54,AVERAGE YIELD,GOOD YIELD
55,AVERAGE YIELD,AVERAGE YIELD
56,GOOD YIELD,GOOD YIELD
57,POOR YIELD,GOOD YIELD
58,POOR YIELD,AVERAGE YIELD
59,GOOD YIELD,GOOD YIELD
60,AVERAGE YIELD,GOOD YIELD
61,POOR YIELD,BELOW AVERAGE YIELD
62,GOOD YIELD,GOOD YIELD
63,AVERAGE YIELD,BELOW AVERAGE YIELD
64,BELOW AVERAGE YIELD,GOOD YIELD
65,POOR YIELD,POOR YIELD
66,AVERAGE YIELD,AVERAGE YIELD
67,GOOD YIELD,GOOD YIELD
68,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
69,POOR YIELD,POOR YIELD
70,POOR YIELD,AVERAGE YIELD
71,GOOD YIELD,GOOD YIELD
72,AVERAGE YIELD,GOOD YIELD
73,AVERAGE YIELD,GOOD YIELD
74,GOOD YIELD,BELOW AVERAGE YIELD
75,GOOD YIELD,GOOD YIELD
76,AVERAGE YIELD,GOOD YIELD
77,GOOD YIELD,GOOD YIELD
78,BELOW AVERAGE YIELD,POOR YIELD
79,GOOD YIELD,GOOD YIELD
80,GOOD YIELD,GOOD YIELD
81,POOR YIELD,GOOD YIELD
82,BELOW AVERAGE YIELD,AVERAGE YIELD
